"","true","gods","naive","chao","l","N","S","comsize","saddef"
"1",7.96901007366471,9.37205962462239,9.52380952380952,10.4210526315789,-1,100,30,162755,1
"2",12.9865654450149,14.6416484470118,12.9387486959255,15.5251139899798,0,100,30,162755,1
"3",30,28.2283883702687,21,36.84,1,100,30,162755,1
"4",7.96901007366471,7.48392270575384,6.46621403168445,6.64884731039091,-1,200,30,162755,1
"5",12.9865654450149,11.4602714475019,10.3510992985739,11.2794163897445,0,200,30,162755,1
"6",30,25.1446073329017,24,31.96,1,200,30,162755,1
"7",7.96901007366471,8.01549631429827,7.81521361583883,7.9975035663338,-1,300,30,162755,1
"8",12.9865654450149,13.2508356521583,12.4797165340934,13.2472955256967,0,300,30,162755,1
"9",30,30.2850646417,26,34.97,1,300,30,162755,1
"10",14.2044399956382,14.0139679018958,12.0481927710843,13.5616438356164,-1,100,30,162755,2
"11",18.9582986659407,19.0602931427098,15.6765407940136,18.6739089005585,0,100,30,162755,2
"12",30,38.386664039285,24,32.019,1,100,30,162755,2
"13",14.2044399956382,13.1368131837088,11.2676056338028,11.8805970149254,-1,200,30,162755,2
"14",18.9582986659407,17.527992968181,15.6869829119126,16.7848006441411,0,200,30,162755,2
"15",30,26.663718837711,24,26.23875,1,200,30,162755,2
"16",14.2044399956382,14.2898659647361,13.6736554238833,14.2788920725883,-1,300,30,162755,2
"17",18.9582986659407,19.2675274710383,18.1455202326087,19.002132443488,0,300,30,162755,2
"18",30,28.3252229888863,27,27.3322222222222,1,300,30,162755,2
"19",23.0444421297029,22.9084618654445,20,24.7499999999999,-1,100,30,162755,3
"20",26.1083146614713,26.1661228436084,22.8840868742853,26.6667033579603,0,100,30,162755,3
"21",30,30.3415107148528,27,28.98,1,100,30,162755,3
"22",23.0444421297029,22.3598806685365,19.047619047619,20.9473684210526,-1,200,30,162755,3
"23",26.1083146614713,24.7305201834329,22.7469076604733,24.5354665079672,0,200,30,162755,3
"24",30,27.7535958918488,29,29.6633333333333,1,200,30,162755,3
"25",23.0444421297029,24.0407624269567,23.5478806907378,25.4684838160136,-1,300,30,162755,3
"26",26.1083146614713,27.2625787135396,26.1431599516959,27.4702823385812,0,300,30,162755,3
"27",30,31.2191555411144,30,30,1,300,30,162755,3
"28",10.2642683273163,11.1812306738966,11.3122171945701,12.6275510204081,-1,100,30,162755,4
"29",14.0903967251867,15.6269225403185,14.0402943588118,16.2507002320165,0,100,30,162755,4
"30",30,35.0051979749771,21,27.06375,1,100,30,162755,4
"31",10.2642683273163,10.7453441573532,10.8695652173913,11.4367816091954,-1,200,30,162755,4
"32",14.0903967251867,15.3679507310483,14.346669141569,15.4144489203611,0,200,30,162755,4
"33",30,36.6749462910039,24,27.109375,1,200,30,162755,4
"34",10.2642683273163,9.8716372767451,9.33029234916027,9.59768885084526,-1,300,30,162755,4
"35",14.0903967251867,13.2571634850898,12.8202410406974,13.6468789542924,0,300,30,162755,4
"36",30,26.9430443643373,25,37.2091666666667,1,300,30,162755,4
"37",15.6260927483376,13.7490791990214,10.5042016806723,11.6197183098591,-1,100,30,162755,5
"38",19.2767778523902,16.9825965430225,14.3474823158973,16.2569733224074,0,100,30,162755,5
"39",30,25.6260490968706,20,23.96,1,100,30,162755,5
"40",15.6260927483376,15.0666359943142,13.9567341242149,14.9287321830458,-1,200,30,162755,5
"41",19.2767778523902,18.5834719638708,17.4595536439548,18.6786725658523,0,200,30,162755,5
"42",30,28.4058483238613,24,26.23875,1,200,30,162755,5
"43",15.6260927483376,16.856539290497,17.208413001912,18.1947261663286,-1,300,30,162755,5
"44",19.2767778523902,21.1444698388359,19.8413853756706,20.6902643688494,0,300,30,162755,5
"45",30,35.1707056765767,25,25.2491666666667,1,300,30,162755,5
"46",2.16146422929904,2.18193201295311,2.19202104340202,2.21873599282832,-1,100,30,162755,6
"47",3.56852896749805,3.35325741571928,3.21029295831959,3.32578248922145,0,100,30,162755,6
"48",30,8.55796191047693,7,7.495,1,100,30,162755,6
"49",2.16146422929904,2.15033703763476,2.13424394408281,2.14647826555927,-1,200,30,162755,6
"50",3.56852896749805,3.40696128268802,3.29048271764538,3.3958501806407,0,200,30,162755,6
"51",30,12.7146375412861,10,12.23875,1,200,30,162755,6
"52",2.16146422929904,2.16549804326153,2.16450216450216,2.17296511627907,-1,300,30,162755,6
"53",3.56852896749805,3.42290825238491,3.31275998862667,3.36167082248072,0,300,30,162755,6
"54",30,10.6508286534091,9,9.24916666666667,1,300,30,162755,6
"55",8.19777022744558,8.91884945718618,8.56164383561644,9.2696629213483,-1,100,30,162755,7
"56",14.679730568001,15.8957128555309,13.4022881734763,16.7828167680282,0,100,30,162755,7
"57",30,33.4047859282678,25,42.82,1,100,30,162755,7
"58",8.19777022744558,7.68681818482369,7.02493853178785,7.24426647251547,-1,200,30,162755,7
"59",14.679730568001,13.9613509712436,12.744765579202,13.820750655592,0,200,30,162755,7
"60",30,33.7542035441001,29,30.5546875,1,200,30,162755,7
"61",8.19777022744558,8.43470649418762,8.52757248436612,8.74780573434758,-1,300,30,162755,7
"62",14.679730568001,15.2614890855766,14.6082127990998,15.381244604015,0,300,30,162755,7
"63",30,31.5129525378851,30,30.2847619047619,1,300,30,162755,7
"64",14.3069092719687,13.0987304078389,11.2107623318386,12.5,-1,100,30,162755,8
"65",19.1937808605482,17.3940451876189,16.2158511429539,18.6815714748706,0,100,30,162755,8
"66",30,24.3777184350162,24,26.475,1,100,30,162755,8
"67",14.3069092719687,14.5681102004519,13.5961930659415,14.5149525893509,-1,200,30,162755,8
"68",19.1937808605482,18.9252672473456,17.3304626085892,18.8019743193315,0,200,30,162755,8
"69",30,26.0435545288396,25,32.96,1,200,30,162755,8
"70",14.3069092719687,14.9181566032928,14.9402390438247,15.6708595387841,-1,300,30,162755,8
"71",19.1937808605482,19.3695368517227,18.5307436498152,19.4463255665347,0,300,30,162755,8
"72",30,25.7652832726902,26,28.2425,1,300,30,162755,8
"73",3.4407778920893,3.58078295181657,3.63636363636364,3.73584905660377,-1,100,30,162755,9
"74",4.353351009306,4.3572684707401,4.04480747781523,4.12829574617537,0,100,30,162755,9
"75",30,6.31974988652979,5,5,1,100,30,162755,9
"76",3.4407778920893,3.48655121591747,3.51246926589392,3.557382910261,-1,200,30,162755,9
"77",4.353351009306,4.55566057545405,4.46976259489189,4.55183637251347,0,200,30,162755,9
"78",30,12.3261393058822,8,8,1,200,30,162755,9
"79",3.4407778920893,3.50856782828731,3.56040826014716,3.59116022099447,-1,300,30,162755,9
"80",4.353351009306,4.39478114693231,4.33308138216181,4.3773328985472,0,300,30,162755,9
"81",30,7.63129651484162,7,7,1,300,30,162755,9
"82",9.70474255078269,9.82808772121576,9.57854406130268,10.4872881355932,-1,100,30,162755,10
"83",13.9193222978454,13.0036187297551,11.697078044579,13.1917317220205,0,100,30,162755,10
"84",30,23.0838562228588,17,23.1875,1,100,30,162755,10
"85",9.70474255078269,9.77855189352611,9.55566172957477,9.98494731560462,-1,200,30,162755,10
"86",13.9193222978454,14.2594592058802,13.323140257282,14.3161105749069,0,200,30,162755,10
"87",30,32.6622605674207,24,27.109375,1,200,30,162755,10
"88",9.70474255078269,9.59168663522772,9.29176130497626,9.55678670360111,-1,300,30,162755,10
"89",13.9193222978454,13.7507414919592,13.1878944340601,13.9880105299628,0,300,30,162755,10
"90",30,31.7527326393219,28,32.8836666666667,1,300,30,162755,10
