"","true","gods","naive","chao","l","N","S","comsize","saddef"
"1",26.1877400809739,25.7679832093112,21.0970464135021,26.470588235294,-1,100,150,8103,1
"2",52.7611295617646,53.5698472134466,29.9485771538345,45.548825615927,0,100,150,8103,1
"3",150,162.500845354223,43,78.64,1,100,150,8103,1
"4",26.1877400809739,27.4738501703765,25.6081946222791,29.2217327459618,-1,200,150,8103,1
"5",52.7611295617646,57.95220508192,41.0892562394364,51.9998979506878,0,200,150,8103,1
"6",150,191.529086110396,66,82.8155,1,200,150,8103,1
"7",26.1877400809739,27.9629139682284,27.2232304900181,29.8403193612774,-1,300,150,8103,1
"8",52.7611295617646,57.5200819534717,45.8586799924446,56.6909270555905,0,300,150,8103,1
"9",150,149.297088774507,81,115.019555555556,1,300,150,8103,1
"10",26.1877400809739,27.7207602939365,27.6732344476422,29.2359971877198,-1,500,150,8103,1
"11",52.7611295617646,58.6826761628522,49.7549016899342,56.753290723491,0,500,150,8103,1
"12",150,188.577838331325,99,117.7125,1,500,150,8103,1
"13",73.1954737350214,75.9846211552888,43.1034482758621,74.9999999999998,-1,100,150,8103,2
"14",96.2264093541027,105.113295737667,51.4953454172741,104.244220444297,0,100,150,8103,2
"15",150,182.697241163882,61,140.2,1,100,150,8103,2
"16",73.1954737350214,74.8406760875589,55.0964187327824,75.6653992395438,-1,200,150,8103,2
"17",96.2264093541027,104.862360103326,69.7673991714927,100.814395010247,0,200,150,8103,2
"18",150,178.183304888031,89,130.79,1,200,150,8103,2
"19",73.1954737350214,71.8287385870047,58.3657587548638,72.2222222222222,-1,300,150,8103,2
"20",96.2264093541027,94.123788899191,73.1476356641002,92.6771026418113,0,300,150,8103,2
"21",150,138.626741709223,97,127.319649122807,1,300,150,8103,2
"22",73.1954737350214,75.4919132443914,67.0600858369099,77.292441140025,-1,500,150,8103,2
"23",96.2264093541027,101.836898822537,85.4892572236258,100.720576198133,0,500,150,8103,2
"24",150,179.187541023409,117,151.252785714286,1,500,150,8103,2
"25",112.219098502289,113.61469433539,58.1395348837209,137.5,-1,100,150,8103,3
"26",128.808412263475,129.850664943883,65.1689034412622,149.095954875185,0,100,150,8103,3
"27",150,147.929007557866,72,157.833,1,100,150,8103,3
"28",112.219098502289,111.427392739274,74.6268656716418,118.452380952381,-1,200,150,8103,3
"29",128.808412263475,127.512060641507,88.5004803487505,135.484974518092,0,200,150,8103,3
"30",150,147.712357318049,105,148.394838709677,1,200,150,8103,3
"31",112.219098502289,112.167774086379,85.7142857142857,119.6,-1,300,150,8103,3
"32",128.808412263475,128.867300516151,103.356248997578,138.609344564127,0,300,150,8103,3
"33",150,149.155498752025,126,154.499279279279,1,300,150,8103,3
"34",112.219098502289,110.905806027757,93.1445603576751,114.239926739927,-1,500,150,8103,3
"35",128.808412263475,126.601880398951,111.684988422511,131.451284967505,0,500,150,8103,3
"36",150,146.700080670898,138,148.881419354839,1,500,150,8103,3
"37",54.2828281241603,53.5735537190083,33.112582781457,49.0099009900989,-1,100,150,8103,4
"38",81.4703012762244,86.8463362318382,43.2162074551234,80.2974956337677,0,100,150,8103,4
"39",150,203.118682926732,55,122.375,1,100,150,8103,4
"40",54.2828281241603,57.6336285074149,48.3091787439613,63.375796178344,-1,200,150,8103,4
"41",81.4703012762244,90.6860857078949,64.3746969829104,92.234957308265,0,200,150,8103,4
"42",150,206.524111889894,85,129.222222222222,1,200,150,8103,4
"43",54.2828281241603,56.6155064396674,49.9445061043285,59.7203728362184,-1,300,150,8103,4
"44",81.4703012762244,88.3665299696835,67.1349375956378,85.1294386374561,0,300,150,8103,4
"45",150,192.301822831364,95,127.292,1,300,150,8103,4
"46",54.2828281241603,50.6159112488131,42.4160162877502,46.255098257323,-1,500,150,8103,4
"47",81.4703012762244,73.5100808142459,63.3117968701161,71.5723574761087,0,500,150,8103,4
"48",150,136.754629509618,102,111.66064,1,500,150,8103,4
"49",76.05670085777,83.4930448222566,47.1698113207547,88.3928571428569,-1,100,150,8103,5
"50",98.6355448815055,106.06885641982,55.9617871227733,117.908532128643,0,100,150,8103,5
"51",150,151.403326235676,65,144.86,1,100,150,8103,5
"52",76.05670085777,69.0557354695756,46.4037122969838,60.1208459214502,-1,200,150,8103,5
"53",98.6355448815055,88.0840328473764,61.8346754331879,91.4712642087612,0,200,150,8103,5
"54",150,134.906356441611,84,145.325166666667,1,200,150,8103,5
"55",76.05670085777,77.3383812674981,66.7655786350148,85.5916030534351,-1,300,150,8103,5
"56",98.6355448815055,101.48371084668,82.4016683312847,103.087966631435,0,300,150,8103,5
"57",150,173.349113914573,105,119.512070707071,1,300,150,8103,5
"58",76.05670085777,75.6229584694354,64.5661157024793,73.9916963226574,-1,500,150,8103,5
"59",98.6355448815055,99.3031220200052,83.8919599881321,99.5708520986956,0,500,150,8103,5
"60",150,179.097766627192,119,157.2046875,1,500,150,8103,5
"61",5.02409520181092,4.50059152535783,3.77073906485671,3.87931034482759,-1,100,150,8103,6
"62",9.79836067235081,8.44455987378166,6.59096839251352,7.44485099932596,0,100,150,8103,6
"63",150,125.362751919417,18,22.0425,1,100,150,8103,6
"64",5.02409520181092,4.96262566564899,4.80422772039395,4.89785872507999,-1,200,150,8103,6
"65",9.79836067235081,8.64169640825732,7.60149212464729,8.55842974062542,0,200,150,8103,6
"66",150,59.7920147126535,24,47.88,1,200,150,8103,6
"67",5.02409520181092,4.75852105893683,4.40744368266406,4.45825049701789,-1,300,150,8103,6
"68",9.79836067235081,9.0165185401458,7.65274508245711,9.45760709716259,0,300,150,8103,6
"69",150,236.215155180699,34,264.23,1,300,150,8103,6
"70",5.02409520181092,5.09973528956401,5.12022283209765,5.16285229483096,-1,500,150,8103,6
"71",9.79836067235081,11.2175512602464,9.94611225811323,10.6504946189696,0,500,150,8103,6
"72",150,187.628803347541,46,62.0234444444445,1,500,150,8103,6
"73",59.7618477232948,64.3964078518636,42.0168067226891,71.7391304347824,-1,100,150,8103,7
"74",86.8417352494263,93.9409746638975,50.0300212429535,92.8849799691027,0,100,150,8103,7
"75",150,182.585257074375,59,117.32,1,100,150,8103,7
"76",59.7618477232948,57.2589478147193,41.3223140495868,51.8229166666667,-1,200,150,8103,7
"77",86.8417352494263,80.8185760572846,52.3750919460883,67.9372260460256,0,200,150,8103,7
"78",150,137.489701091491,70,92.66734375,1,200,150,8103,7
"79",59.7618477232948,58.1680266085999,46.6804979253112,55.0982800982801,-1,300,150,8103,7
"80",86.8417352494263,82.8692388178786,65.15704511954,82.2127526545731,0,300,150,8103,7
"81",150,135.628289478893,94,124.522916666667,1,300,150,8103,7
"82",59.7618477232948,60.573214125527,55.8534405719392,62.7515090543261,-1,500,150,8103,7
"83",86.8417352494263,89.0222133389753,77.0134401511018,90.1684478888428,0,500,150,8103,7
"84",150,158.353783741498,117,141.451,1,500,150,8103,7
"85",71.5791339024755,67.3510098911146,35.4609929078014,54.3956043956043,-1,100,150,8103,8
"86",92.8306478735637,88.506048931297,45.3322710825922,76.7544449620108,0,100,150,8103,8
"87",150,203.168096840712,56,94.5039285714286,1,100,150,8103,8
"88",71.5791339024755,71.0540161346896,54.6448087431694,74.812030075188,-1,200,150,8103,8
"89",92.8306478735637,93.615878739227,67.2374132791692,93.4344197326784,0,200,150,8103,8
"90",150,157.771429919594,85,115.958068181818,1,200,150,8103,8
"91",71.5791339024755,72.0907473309609,56.390977443609,69.2129629629629,-1,300,150,8103,8
"92",92.8306478735637,92.4836274069151,70.7282330641699,87.23229913432,0,300,150,8103,8
"93",150,162.211342952946,94,111.94,1,300,150,8103,8
"94",71.5791339024755,69.5106886730947,57.4448529411765,64.7715472481829,-1,500,150,8103,8
"95",92.8306478735637,90.3349901917142,75.9670754572449,88.5105366755869,0,500,150,8103,8
"96",150,144.131101486443,112,137.876714285714,1,500,150,8103,8
"97",1.80250701478611,1.8709521005784,1.93348801237432,1.95189274447949,-1,100,150,8103,9
"98",2.95061618763454,2.87685459940766,2.74969428279136,2.83364905388771,0,100,150,8103,9
"99",150,12.7077789290243,6,6.495,1,100,150,8103,9
"100",1.80250701478611,1.77798549832635,1.75238762814335,1.7590382745514,-1,200,150,8103,9
"101",2.95061618763454,2.87483350186182,2.65691819770522,2.75758956051906,0,200,150,8103,9
"102",150,166.968303046056,9,14.97,1,200,150,8103,9
"103",1.80250701478611,1.81173705106238,1.81965224423777,1.8246541903987,-1,300,150,8103,9
"104",2.95061618763454,3.02496506968262,2.81118967621258,2.91306965816523,0,300,150,8103,9
"105",150,169.070918285069,11,23.4583333333333,1,300,150,8103,9
"106",1.80250701478611,1.91871178500578,2.03390933645742,2.03813227029147,-1,500,150,8103,9
"107",2.95061618763454,3.46840310071811,3.20316154623649,3.40540123332309,0,500,150,8103,9
"108",150,201.83146974875,18,95.844,1,500,150,8103,9
"109",51.2910198192512,49.8891762098264,32.8947368421053,48.5294117647058,-1,100,150,8103,10
"110",79.0283081715791,79.5465685015733,43.3458689699814,70.2309175798816,0,100,150,8103,10
"111",150,144.922061368016,54,85.8214285714286,1,100,150,8103,10
"112",51.2910198192512,56.6643356643357,46.189376443418,59.7597597597598,-1,200,150,8103,10
"113",79.0283081715791,81.0181101824684,56.3063243715214,73.417585949176,0,200,150,8103,10
"114",150,122.034789105873,72,94.66734375,1,200,150,8103,10
"115",51.2910198192512,50.9665380744717,42.2932330827068,49.070021881838,-1,300,150,8103,10
"116",79.0283081715791,78.4299199377945,58.5941022396953,70.4392802450099,0,300,150,8103,10
"117",150,150.261869288355,84,99.1073684210526,1,300,150,8103,10
"118",51.2910198192512,52.6907870779795,48.151001540832,53.1756180733164,-1,500,150,8103,10
"119",79.0283081715791,82.9094943737487,71.0380185928137,81.5176040142184,0,500,150,8103,10
"120",150,153.769769784566,110,124.666260869565,1,500,150,8103,10
"121",84.530455941139,92.4788860990641,47.1698113207547,88.3928571428569,-1,100,150,8103,11
"122",102.820731645436,111.574844245602,56.142214438483,112.822697171191,0,100,150,8103,11
"123",150,159.253407675974,65,130.375357142857,1,100,150,8103,11
"124",84.530455941139,82.8188879803761,57.8034682080925,80.8943089430895,-1,200,150,8103,11
"125",102.820731645436,98.3516434560187,68.1935075742536,93.6642273109291,0,200,150,8103,11
"126",150,128.193600317691,83,113.09875,1,200,150,8103,11
"127",84.530455941139,83.3784942548448,61.3079019073569,76.7979452054794,-1,300,150,8103,11
"128",102.820731645436,102.089792420542,75.6897814243741,94.385613184488,0,300,150,8103,11
"129",150,148.464366590256,98,117.954097222222,1,300,150,8103,11
"130",84.530455941139,81.9130223812701,71.8803910293272,83.7810611148424,-1,500,150,8103,11
"131",102.820731645436,98.6614052631627,88.9858724699899,103.842096780953,0,500,150,8103,11
"132",150,139.977381320557,118,141.012705882353,1,500,150,8103,11
"133",51.7696014697012,42.0694667981932,26.0416666666667,34.8591549295774,-1,100,150,8103,12
"134",84.8216517236625,74.3479895255458,39.7458468327597,80.1602915437998,0,100,150,8103,12
"135",150,160.351739288601,56,144,1,100,150,8103,12
"136",51.7696014697012,51.4590543930397,40.0801603206413,49.874686716792,-1,200,150,8103,12
"137",84.8216517236625,85.4814339252046,57.7528364310466,77.0786167678924,0,200,150,8103,12
"138",150,148.120593451984,80,100.837596153846,1,200,150,8103,12
"139",51.7696014697012,48.3453323256832,37.5626043405676,42.7958015267175,-1,300,150,8103,12
"140",84.8216517236625,84.3360292187672,62.2237490693998,81.1966181061613,0,300,150,8103,12
"141",150,166.078561109471,99,142.877063492063,1,300,150,8103,12
"142",51.7696014697012,48.1851050165315,41.6805601867289,45.3801382320845,-1,500,150,8103,12
"143",84.8216517236625,79.0552974664576,68.6837207644364,80.6879254510143,0,500,150,8103,12
"144",150,146.125438201373,116,145.108333333333,1,500,150,8103,12
"145",38.9466807421117,37.3706293706294,26.3157894736842,35.3571428571428,-1,100,150,13360,1
"146",60.800508442903,57.7262934352789,32.6975867403432,45.7172664252161,0,100,150,13360,1
"147",150,131.154171432706,42,59.8695,1,100,150,13360,1
"148",38.9466807421117,41.6523772408418,35.650623885918,43.1670281995662,-1,200,150,13360,1
"149",60.800508442903,71.915023280791,48.8624963049613,63.9819770884384,0,200,150,13360,1
"150",150,200.355449612025,69,96.86,1,200,150,13360,1
"151",38.9466807421117,36.9598495048044,32.2118826055834,35.9663191659984,-1,300,150,13360,1
"152",60.800508442903,57.3199874280664,46.4537863286453,55.8443954049852,0,300,150,13360,1
"153",150,140.12286965634,73,101.314393939394,1,300,150,13360,1
"154",38.9466807421117,41.8664410391401,41.1861614497529,44.7935368043089,-1,500,150,13360,1
"155",60.800508442903,69.0095861057535,59.4960622049835,67.2776986401909,0,500,150,13360,1
"156",150,161.672603468042,97,111.3712,1,500,150,13360,1
"157",82.9132152320219,78.523568825673,35.2112676056338,53.8043478260868,-1,100,150,13360,2
"158",103.963275251645,104.091618285809,44.3190571841953,76.3434477402927,0,100,150,13360,2
"159",150,163.770355716805,55,99.92125,1,100,150,13360,2
"160",82.9132152320219,78.5512699905927,53.3333333333333,72.3636363636364,-1,200,150,13360,2
"161",103.963275251645,100.167410872743,66.7411730749955,91.2380403241785,0,200,150,13360,2
"162",150,144.255724278757,84,110.141363636364,1,200,150,13360,2
"163",82.9132152320219,84.4500632111252,69.6594427244582,90.4233870967741,-1,300,150,13360,2
"164",103.963275251645,109.787713364946,85.4138608966787,107.878387130848,0,300,150,13360,2
"165",150,178.417808801404,107,124.59632183908,1,300,150,13360,2
"166",82.9132152320219,83.6034592808601,74.0521327014218,86.7524339360225,-1,500,150,13360,2
"167",103.963275251645,101.871512623973,89.3337165166256,102.549790895188,0,500,150,13360,2
"168",150,140.438614098682,115,126.500761904762,1,500,150,13360,2
"169",109.668468570319,115.761199202842,53.1914893617021,112.5,-1,100,150,13360,3
"170",129.894691945809,135.421568383501,63.0124187968444,172.706861372572,0,100,150,13360,3
"171",150,155.893705640625,72,221.7375,1,100,150,13360,3
"172",109.668468570319,117.177564355567,78.7401574803149,129.220779220779,-1,200,150,13360,3
"173",129.894691945809,135.286772211782,90.1913806153174,132.788629815126,0,200,150,13360,3
"174",150,153.034316728517,104,134.077428571429,1,200,150,13360,3
"175",109.668468570319,108.470906630582,83.4879406307978,115.295629820051,-1,300,150,13360,3
"176",129.894691945809,130.240985961939,100.345713696605,130.182396158661,0,300,150,13360,3
"177",150,151.379077288319,120,138.452571428571,1,300,150,13360,3
"178",109.668468570319,110.812514515112,91.441111923921,111.683079677708,-1,500,150,13360,3
"179",129.894691945809,131.726793499919,109.716581807217,128.811409151622,0,500,150,13360,3
"180",150,153.163460763297,136,146.754310344828,1,500,150,13360,3
"181",38.9914668155638,37.7785318402896,27.1739130434783,36.9402985074626,-1,100,150,13360,4
"182",66.3859064097995,63.15171208032,38.9546461589095,79.544673426474,0,100,150,13360,4
"183",150,121.82602052209,54,156.111428571429,1,100,150,13360,4
"184",38.9914668155638,38.4057033619364,33.5570469798658,40.1209677419355,-1,200,150,13360,4
"185",66.3859064097995,64.6524383970397,48.7648868219504,65.6024928380653,0,200,150,13360,4
"186",150,126.121691190543,71,107.388571428571,1,200,150,13360,4
"187",38.9914668155638,33.8922854461047,27.027027027027,29.6039603960396,-1,300,150,13360,4
"188",66.3859064097995,56.0318599256154,43.8892607408689,54.0039825617189,0,300,150,13360,4
"189",150,149.620330877657,78,111.9178125,1,300,150,13360,4
"190",38.9914668155638,43.0113065650192,42.3872499152255,46.2208225268619,-1,500,150,13360,4
"191",66.3859064097995,72.1226289852211,60.7884160007689,70.1415868520582,0,500,150,13360,4
"192",150,159.953481252297,101,129.387555555556,1,500,150,13360,4
"193",72.0024462088201,75.0014034693763,41.3223140495868,69.7183098591548,-1,100,150,13360,5
"194",98.7741870960773,105.506501962908,52.0219812623692,91.8523571744252,0,100,150,13360,5
"195",150,146.888941245483,62,99.62,1,100,150,13360,5
"196",72.0024462088201,72.0876274753143,55.5555555555556,76.5384615384616,-1,200,150,13360,5
"197",98.7741870960773,101.453613260865,70.5399345851383,102.250608387885,0,200,150,13360,5
"198",150,165.010656271225,89,133.015657894737,1,200,150,13360,5
"199",72.0024462088201,69.350959458758,53.1914893617021,64.4396551724137,-1,300,150,13360,5
"200",98.7741870960773,98.4599228980798,79.1575939785978,102.789961472286,0,300,150,13360,5
"201",150,140.348338864135,109,138.530864197531,1,300,150,13360,5
"202",72.0024462088201,72.1764216486046,63.6780438104941,72.8254524226505,-1,500,150,13360,5
"203",98.7741870960773,97.3726441243078,84.9781292302592,97.3957958871332,0,500,150,13360,5
"204",150,131.395303116068,116,125.169125,1,500,150,13360,5
"205",1.78295653553977,1.98083218674384,2.18340611353712,2.20982142857142,-1,100,150,13360,6
"206",4.29788297588401,6.39964662606036,4.67341994872458,6.35327910260741,0,100,150,13360,6
"207",150,250.845581391123,21,76.6875,1,100,150,13360,6
"208",1.78295653553977,1.77440958712437,1.76211453744493,1.76888888888889,-1,200,150,13360,6
"209",4.29788297588401,3.93878232219152,3.49827837119429,3.86000008830989,0,200,150,13360,6
"210",150,53.258061052809,22,37.049375,1,200,150,13360,6
"211",1.78295653553977,1.83747851002865,1.88948605979174,1.8951238063044,-1,300,150,13360,6
"212",4.29788297588401,4.48188523844684,4.00042632826314,4.40324243832188,0,300,150,13360,6
"213",150,169.802725772654,29,57.03125,1,300,150,13360,6
"214",1.78295653553977,1.734413966706,1.68624964588757,1.68857185397745,-1,500,150,13360,6
"215",4.29788297588401,3.84227437048644,3.61507169333053,3.87088849263669,0,500,150,13360,6
"216",150,109.630864162829,40,62.517375,1,500,150,13360,6
"217",49.0402389676387,48.6738560186535,30.3030303030303,43.0434782608695,-1,100,150,13360,7
"218",79.3147156464511,70.8273784679562,38.2615284166247,62.3884055725077,0,100,150,13360,7
"219",150,111.250763814111,49,92.12,1,100,150,13360,7
"220",49.0402389676387,49.3936705116829,40.3225806451613,50.2525252525253,-1,200,150,13360,7
"221",79.3147156464511,85.3505541259963,58.6274280016262,84.4047875659245,0,200,150,13360,7
"222",150,192.217960556072,84,129.993875,1,200,150,13360,7
"223",49.0402389676387,47.4695912735542,39.2670157068063,45.0301204819277,-1,300,150,13360,7
"224",79.3147156464511,77.6652210510587,59.4529642941965,78.3357608391549,0,300,150,13360,7
"225",150,157.415170369374,95,151.75137254902,1,300,150,13360,7
"226",49.0402389676387,49.1776727476184,44.9640287769784,49.308300395257,-1,500,150,13360,7
"227",79.3147156464511,77.9483184265783,65.9251493762148,74.4808426905279,0,500,150,13360,7
"228",150,141.224139869426,101,111.479,1,500,150,13360,7
"229",72.1263355262094,72.5968592077379,42.0168067226891,71.7391304347824,-1,100,150,13360,8
"230",96.4301395001427,94.3719241307362,48.2437796695464,82.5573620050803,0,100,150,13360,8
"231",150,129.125674155353,56,99.245,1,100,150,13360,8
"232",72.1263355262094,65.541601255887,43.1034482758621,54.6703296703297,-1,200,150,13360,8
"233",96.4301395001427,88.3160791617892,57.3106321307576,81.6018714850616,0,200,150,13360,8
"234",150,202.786155594522,79,129.4465,1,200,150,13360,8
"235",72.1263355262094,66.9014672252917,52.5087514585764,63.4370579915134,-1,300,150,13360,8
"236",96.4301395001427,90.0890710945757,69.7433611945489,87.2942126730758,0,300,150,13360,8
"237",150,146.58611251198,97,119.156666666667,1,300,150,13360,8
"238",72.1263355262094,68.7922227714615,58.1665891112145,65.6924697209059,-1,500,150,13360,8
"239",96.4301395001427,91.6135322141886,77.1965970802454,88.2861610261789,0,500,150,13360,8
"240",150,139.471591166449,108,122.665055555556,1,500,150,13360,8
"241",2.43618675058666,2.43324512212669,2.42013552758955,2.45535714285714,-1,100,150,13360,9
"242",4.08073976057611,3.93284658174529,3.44377786496274,3.56242515261134,0,100,150,13360,9
"243",150,148.208869270453,7,7.2475,1,100,150,13360,9
"244",2.43618675058666,2.39562833691213,2.35211101964013,2.36820183267881,-1,200,150,13360,9
"245",4.08073976057611,3.50847692061458,3.35562599092886,3.45410063812918,0,200,150,13360,9
"246",150,13.0957470382904,9,11.23875,1,200,150,13360,9
"247",2.43618675058666,2.42096234461263,2.39693192713327,2.40818298969072,-1,300,150,13360,9
"248",4.08073976057611,4.24884675990142,3.95573296086231,4.13218042903726,0,300,150,13360,9
"249",150,146.844347851433,18,24.1045833333333,1,300,150,13360,9
"250",2.43618675058666,2.35839647398544,2.28123003923716,2.28710239251994,-1,500,150,13360,9
"251",4.08073976057611,3.71891744914101,3.53433787513165,3.67976670056611,0,500,150,13360,9
"252",150,151.555255096715,20,40.1263333333333,1,500,150,13360,9
"253",49.1463727588224,49.391844430478,34.2465753424658,51.5624999999999,-1,100,150,13360,10
"254",76.5516230418576,81.0610477830422,44.5435873180251,80.2829707570052,0,100,150,13360,10
"255",150,170.761102496949,56,111.125,1,100,150,13360,10
"256",49.1463727588224,48.1806051426305,38.6847195357834,47.7218225419665,-1,200,150,13360,10
"257",76.5516230418576,71.5688601130565,51.1521820409235,66.1613764813357,0,200,150,13360,10
"258",150,125.228084995619,70,91.3339705882353,1,200,150,13360,10
"259",49.1463727588224,52.4463171117886,45.5927051671732,53.584229390681,-1,300,150,13360,10
"260",76.5516230418576,81.1446269413719,61.2365166925803,81.838043267709,0,300,150,13360,10
"261",150,166.244089187107,91,170.914545454545,1,300,150,13360,10
"262",49.1463727588224,51.9238243295764,48.2439212659205,53.2891926527126,-1,500,150,13360,10
"263",76.5516230418576,81.4250428287525,67.1215775019081,76.8872485765703,0,500,150,13360,10
"264",150,158.466046721273,101,123.7356875,1,500,150,13360,10
"265",75.5271126397016,79.8183773449636,46.2962962962963,85.3448275862067,-1,100,150,13360,11
"266",99.0960366873406,104.549158489076,53.8179454211622,98.6823970561555,0,100,150,13360,11
"267",150,269.461013259231,62,109.652,1,100,150,13360,11
"268",75.5271126397016,77.4986948198851,56.1797752808989,77.7343750000001,-1,200,150,13360,11
"269",99.0960366873406,103.72044351216,72.0553629212918,103.738771441624,0,200,150,13360,11
"270",150,157.853933902065,90,129.8,1,200,150,13360,11
"271",75.5271126397016,71.6059528701338,57.618437900128,71.0776545166402,-1,300,150,13360,11
"272",99.0960366873406,91.5139710264446,73.935110834586,91.7457671309628,0,300,150,13360,11
"273",150,132.430522132517,98,115.25,1,300,150,13360,11
"274",75.5271126397016,72.3523167905032,60.1539942252166,68.2439824945297,-1,500,150,13360,11
"275",99.0960366873406,95.5415281434819,79.5101242168861,92.7033364884716,0,500,150,13360,11
"276",150,189.389624620584,115,138.97695,1,500,150,13360,11
"277",71.3407079009342,89.2391957785051,51.5463917525773,105.31914893617,-1,100,150,13360,12
"278",98.7793636623521,121.326851879243,56.0545057903612,86.3639799054711,0,100,150,13360,12
"279",150,168.955432553973,61,74.3820689655172,1,100,150,13360,12
"280",71.3407079009342,68.5339078690879,50.3778337531486,67.003367003367,-1,200,150,13360,12
"281",98.7793636623521,94.416975823973,66.6618887209492,102.483157803096,0,200,150,13360,12
"282",150,145.564555797071,89,160.64,1,200,150,13360,12
"283",71.3407079009342,73.160046728972,58.8235294117647,72.9268292682927,-1,300,150,13360,12
"284",98.7793636623521,101.452232893429,76.9301940701417,98.8411442786144,0,300,150,13360,12
"285",150,147.166515641744,103,134.009924242424,1,300,150,13360,12
"286",71.3407079009342,76.8699654775604,73.4861845972957,85.9751895244661,-1,500,150,13360,12
"287",98.7793636623521,108.381700436973,93.8657353934793,110.598840842152,0,500,150,13360,12
"288",150,165.642796526498,126,148.83519047619,1,500,150,13360,12
"289",33.9650257560145,32.496791041473,25,32.9999999999999,-1,100,150,22026,1
"290",60.392971753223,56.6486246587546,33.4219695932642,50.1329226116974,0,100,150,22026,1
"291",150,118.761535592219,45,73.512,1,100,150,22026,1
"292",33.9650257560145,31.2175348833913,25.1256281407035,28.5919540229885,-1,200,150,22026,1
"293",60.392971753223,55.1148860107189,39.8233667913749,52.672968181349,0,200,150,22026,1
"294",150,134.141423265967,65,102.3125,1,200,150,22026,1
"295",33.9650257560145,34.2342902438645,30.7797537619699,34.1844512195122,-1,300,150,22026,1
"296",60.392971753223,58.1220939966171,45.7340748321279,57.1765056206446,0,300,150,22026,1
"297",150,136.877591365404,79,122.056,1,300,150,22026,1
"298",33.9650257560145,35.2179335486553,33.665499596014,36.023678891135,-1,500,150,22026,1
"299",60.392971753223,62.7708172623573,54.5136630024079,62.2438048333403,0,500,150,22026,1
"300",150,145.409801076354,100,118.7125,1,500,150,22026,1
"301",71.6613376378368,77.3873937179397,39.3700787401575,64.2857142857141,-1,100,150,22026,2
"302",94.6801439609424,98.5394545742933,48.4157373338356,82.979736923254,0,100,150,22026,2
"303",150,130.677212611098,58,96.148,1,100,150,22026,2
"304",71.6613376378368,70.3178125049883,52.3560209424084,70.5673758865249,-1,200,150,22026,2
"305",94.6801439609424,89.9061985929645,63.712930236677,86.3878598632682,0,200,150,22026,2
"306",150,128.534914416918,80,108.302222222222,1,200,150,22026,2
"307",71.6613376378368,72.9885565324968,56.390977443609,69.2129629629629,-1,300,150,22026,2
"308",94.6801439609424,92.1110853519852,68.9312776221933,84.9721221286941,0,300,150,22026,2
"309",150,123.962085437173,90,112.981960784314,1,300,150,22026,2
"310",71.6613376378368,67.2697509070696,56.0035842293907,62.9414732593342,-1,500,150,22026,2
"311",94.6801439609424,87.3107563484307,74.5893638719271,86.8262823120924,0,500,150,22026,2
