"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.309,200,210.134410393071,153,249.515396773213,180.759000232649,1,316,50
0.7555,200,190.31835443038,152,223.792138712293,164.516217267766,1,316,50
0.939,200,178.497766195086,150,208.424975365804,155.810000151145,1,316,50
0.9475,200,176.167820411392,147,206.106097102131,153.162755200056,1,316,50
0.9415,200,176.410700158228,145,207.463866948459,153.1521580877,1,316,50
0.921,200,178.504746835443,145,211.368082787755,154.624959613461,1,316,50
0.392,200,206.570662241433,152,247.922884801146,176.923258988625,1,316,50
0.363,200,207.499208860759,151,249.26783411658,175.611752686995,1,316,50
0.8585,200,185.243792599805,153,217.399659298318,161.465272867096,1,316,50
0.8385,200,185.217902350814,151,218.258142357251,160.497115854087,1,316,50
0.648,200,195.004781232801,152,229.750145575142,168.428745258686,1,316,50
0.6425,200,195.367088607595,150,233.863639297031,168.140374347228,1,316,50
0.8305,200,186.854788631478,153,219.852849484515,162.339003566244,1,316,50
0.5885,200,198.005114807183,152,233.389814495061,171.57728897444,1,316,50
0.6455,200,195.543584579977,152,229.884374343025,170.015950687962,1,316,50
0.7345,200,191.567014147431,154,226.768564975114,165.814249058066,1,316,50
0.88,200,181.880933544304,140,215.62199465249,155.520728829705,1,316,50
0.546,200,200.219936708861,147,239.961694347655,170.939398605423,1,316,50
0.277,200,211.620081177766,157,253.98014384157,180.698656499798,1,316,50
0.8305,200,186.618444846293,150,219.759824210595,162.29742659332,1,316,50
0.8115,200,187.522030185005,146,220.975452378206,162.175937974016,1,316,50
0.648,200,195.805587941372,147,236.585271424911,168.070398007189,1,316,50
0.767,200,190.12308461026,146,224.036997991003,164.877406109728,1,316,50
0.7805,200,189.505842259007,155,220.539225946972,164.904853989816,1,316,50
0.8535,200,184.365232473223,151,216.910983478484,159.743809671279,1,316,50
0.9715,200,172.460084786243,148,200.844681100904,150.526571852415,1,316,50
0.6275,200,196.556226081837,152,233.480615324679,169.938480179481,1,316,50
0.7765,200,189.348653223432,149,221.034277311992,164.44326033846,1,316,50
0.637,200,196.212915348101,155,230.779907201497,170.367921442003,1,316,50
0.9745,200,169.977774506918,141,200.322064147934,147.898602269806,1,316,50
0.942,200,176.29746835443,144,207.884973895727,152.067028996248,1,316,50
0.8705,200,184.735699785049,152,216.841621359412,160.555228954349,1,316,50
0.6535,200,195.617088607595,150,233.644970462393,168.006916664924,1,316,50
0.82,200,187.505842259007,153,220.21866629495,163.155919063937,1,316,50
0.9755,200,171.428707905422,146,199.624251132261,149.129058824569,1,316,50
0.707,200,193.130519576097,150,225.120177257505,166.768414064095,1,316,50
0.7835,200,189.505842259007,155,223.027410632872,164.809337665491,1,316,50
0.384,200,205.693037974684,154,242.565447040187,176.967104992856,1,316,50
0.905,200,179.371835443038,139,214.002302974419,155.05926141992,1,316,50
0.919,200,179.898734177215,148,212.004191408181,155.78719104304,1,316,50
0.0325,200,232.35996835443,162,276.170565750718,198.458932514495,1,316,50
0.935,200,177.256127120926,144,208.736852676166,153.292232423001,1,316,50
0.566,200,198.477185752134,151,234.312775250991,170.321785499545,1,316,50
0.771,200,190.364947877885,154,221.38277576331,165.521639536667,1,316,50
0.169,200,219.993143459916,142,269.76224392897,184.929569878337,1,316,50
0.984,200,167.705916985575,141,196.22625092855,146.250406867602,1,316,50
0.747,200,191.234447360296,146,226.228793141386,165.241451369234,1,316,50
0.47,200,202.639068519538,154,241.124551296494,175.088037177701,1,316,50
0.947,200,176.452066269546,149,206.730681036048,155.064629277284,1,316,50
0.1105,200,222.778481012658,153,268.95666310669,190.298909376022,1,316,50
