"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.931,15.85,15.3683894714774,15.3463392535418,16.0021169551958,14.7503009501994,-1,10000,50
0.9775,15.85,15.2255371193083,15.2039087424908,15.8423662845094,14.5939928563521,-1,10000,50
0.4875,15.85,15.8658528574244,15.8423019244912,16.5058651778093,15.2510309891907,-1,10000,50
0.4535,15.85,15.8930330055014,15.8693986577028,16.5462606734322,15.2638793525356,-1,10000,50
0.4675,15.85,15.8782486572804,15.8546597003406,16.5347091971016,15.2593305635679,-1,10000,50
0.9115,15.85,15.414798206278,15.3926100694761,16.0449779422572,14.8075436776828,-1,10000,50
0.963,15.85,15.2734931344892,15.2517235972837,15.9079476199962,14.6429555847737,-1,10000,50
0.7575,15.85,15.6323186110109,15.6094783249906,16.2513626996855,15.0154727419588,-1,10000,50
0.629,15.85,15.7503856080005,15.7271874001324,16.428779348668,15.1419516833916,-1,10000,50
0.5875,15.85,15.7761058341772,15.7528292869041,16.4151573615371,15.1227914184638,-1,10000,50
0.787,15.85,15.5870417574962,15.5643379926736,16.2264201897749,14.966286118074,-1,10000,50
0.499,15.85,15.8572677795987,15.8337431633855,16.5598743986261,15.2365145499556,-1,10000,50
0.5665,15.85,15.7933392827527,15.7700101716566,16.4554786621142,15.1478260119646,-1,10000,50
0.622,15.85,15.7545001715837,15.731289440309,16.4075959136778,15.1134746487646,-1,10000,50
0.7465,15.85,15.6445135931563,15.6216364663983,16.3012648786349,15.0306768219175,-1,10000,50
0.9025,15.85,15.4350765085206,15.4128279734197,16.0682923596909,14.8367080980849,-1,10000,50
0.052,15.85,16.3941790908715,16.3689803893067,17.0737080677781,15.7493065365592,-1,10000,50
0.9775,15.85,15.1905034058995,15.1689778626971,15.8390314628185,14.5623387191269,-1,10000,50
0.917,15.85,15.4160197714809,15.3938279986022,16.0179066621246,14.7888995411671,-1,10000,50
0.087,15.85,16.3194785600994,16.2945162109253,16.9853852893166,15.6678250942886,-1,10000,50
0.1415,15.85,16.2166107137644,16.1919720202723,16.8304776715735,15.5976256061443,-1,10000,50
0.965,15.85,15.2578219417215,15.2360985836523,15.8932555821488,14.6298235446646,-1,10000,50
0.6505,15.85,15.7204572846609,15.6973500675457,16.344162331433,15.0877558043702,-1,10000,50
0.237,15.85,16.0994426781589,16.0751700672617,16.7464433904314,15.4458283361515,-1,10000,50
0.5945,15.85,15.776489165517,15.7532114496861,16.4506432002112,15.1623764627848,-1,10000,50
0.829,15.85,15.5402679285797,15.5177047700804,16.1712597514546,14.8955746324256,-1,10000,50
0.4605,15.85,15.8900880748536,15.8664627720424,16.5537582532549,15.2609162493329,-1,10000,50
0.1835,15.85,16.1526852809443,16.1282466563725,16.8149664987729,15.52718911121,-1,10000,50
0.454,15.85,15.8935230913069,15.8698872381032,16.5373051089771,15.2080753488174,-1,10000,50
0.9155,15.85,15.3930137054628,15.3708903618984,16.0796007327259,14.7683285941364,-1,10000,50
0.442,15.85,15.8951754589555,15.8715345297931,16.571406510969,15.2359864453548,-1,10000,50
0.688,15.85,15.6922184550156,15.6691969285867,16.3380946884459,15.0565910725807,-1,10000,50
0.286,15.85,16.0526914868237,16.0285641836604,16.7339778237502,15.4199444674472,-1,10000,50
0.088,15.85,16.3193240773926,16.2943622158508,17.0290992480176,15.6614043661129,-1,10000,50
0.4155,15.85,15.9132222500555,15.889525847015,16.5615616004745,15.2835698386348,-1,10000,50
0.3615,15.85,15.9687466761722,15.9448791904338,16.6392437076156,15.3174898623221,-1,10000,50
0.018,15.85,16.5390824522634,16.5134221094906,17.1884590857413,15.8884228876782,-1,10000,50
0.7745,15.85,15.6015611859246,15.5788136858009,16.2326641006384,14.959900145085,-1,10000,50
0.674,15.85,15.7041322018107,15.6810745424968,16.3761658307254,15.0804582624306,-1,10000,50
0.778,15.85,15.6003295119105,15.5775857234542,16.2533111813111,14.9660810278582,-1,10000,50
0.175,15.85,16.1387685533698,16.1143733764769,16.7978678331397,15.5019620037058,-1,10000,50
0.9445,15.85,15.3117008406964,15.2898185098543,15.9880739624348,14.6784922134813,-1,10000,50
0.3935,15.85,15.9409666102194,15.9171847975605,16.6039260014774,15.3036414780979,-1,10000,50
0.7715,15.85,15.595409624765,15.572680659447,16.2591094008537,14.9426413624441,-1,10000,50
0.4,15.85,15.9366372436295,15.9128687687991,16.5986156236806,15.3135960595586,-1,10000,50
0.5995,15.85,15.7785554928909,15.7552714775073,16.4665846290576,15.1397561667495,-1,10000,50
0.5885,15.85,15.7810009311722,15.757709459353,16.467513532493,15.133945686258,-1,10000,50
0.329,15.85,16.0056781019465,15.9816964826523,16.661816729255,15.3454136205754,-1,10000,50
0.898,15.85,15.4374404634166,15.4151848820199,16.0690059636511,14.8144049207294,-1,10000,50
0.515,15.85,15.8362569987418,15.8127967271306,16.4748509902491,15.1912823454196,-1,10000,50
