"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.1455,32.4280418869807,37.9276491630492,26.4584910614563,49.7536197586964,28.4232285039667,0,100,50
0.989,32.4280418869807,23.9621758640573,18.3855440958156,30.8713481670606,18.2932237076445,0,100,50
0.8385,32.4280418869807,29.2079720972396,22.8060162927459,35.8756440666021,23.5572023232729,0,100,50
0.496,32.4280418869807,33.142012852225,22.3150562891396,46.6308535206818,23.8008788452056,0,100,50
0.0325,32.4280418869807,43.9749292391679,27.546969266489,59.8216401030616,31.8754872116372,0,100,50
0.9255,32.4280418869807,26.5878736574203,19.5126231062801,35.0601824839223,19.8860954258598,0,100,50
0.9315,32.4280418869807,27.3795174474625,21.1000975221945,34.3886545769312,21.6051050386346,0,100,50
0.442,32.4280418869807,33.6118509386463,23.0163869393536,44.7796644379792,24.9717703505553,0,100,50
0.669,32.4280418869807,30.97013177092,22.7569673097857,39.9009717618165,23.2687300295425,0,100,50
0.9945,32.4280418869807,24.8604613665031,20.2985427712705,30.4602228621612,19.9756847985472,0,100,50
0.594,32.4280418869807,31.8536254388018,21.0439983999119,44.888009308026,22.4533621233203,0,100,50
0.985,32.4280418869807,24.8458295969607,19.2767070689978,31.3424098684941,19.0534702802742,0,100,50
0.4155,32.4280418869807,33.9261733979134,23.1160480903571,45.4963056526204,24.8230203237545,0,100,50
0.9755,32.4280418869807,25.6288570130957,19.5270799400379,32.4105933726187,19.8537519843709,0,100,50
0.7455,32.4280418869807,30.0945924281552,22.2324866041055,38.2069649424095,23.1417259971111,0,100,50
0.7855,32.4280418869807,29.56888310712,22.2897415692823,37.4334397728169,22.8542356169279,0,100,50
0.0105,32.4280418869807,44.8999327050646,30.0240603669554,57.5901754724547,34.1417722201011,0,100,50
0.932,32.4280418869807,26.6998538088299,19.8028935445665,34.5850054454777,20.0827923459079,0,100,50
0.3305,32.4280418869807,34.0700627735808,25.7564342227934,41.1065806628823,27.3232911738871,0,100,50
0.945,32.4280418869807,26.2317552915169,19.7030041087464,34.5032239689376,19.7410928178138,0,100,50
0.97,32.4280418869807,26.2855720625963,20.5451878544877,32.6862525450248,20.6062993657373,0,100,50
0.414,32.4280418869807,33.8033975638926,23.7909335301797,43.8919930812126,25.6649759875741,0,100,50
0.606,32.4280418869807,31.5593925112202,23.5864902671906,40.0518899524396,24.3852931690725,0,100,50
0.528,32.4280418869807,32.2105388460226,24.7761716819708,39.400964664938,25.5290171173048,0,100,50
0.8645,32.4280418869807,29.4405711411736,23.7435588200755,34.835681550917,24.3607389260368,0,100,50
0.9925,32.4280418869807,24.5234280097615,19.4221191448127,31.1395490808774,19.2633121582737,0,100,50
0.912,32.4280418869807,26.918121985985,19.835935034668,35.4809536471404,19.877898269067,0,100,50
0.4125,32.4280418869807,33.8464702668953,23.8563307704908,43.9758487892589,25.6251229892429,0,100,50
0.9305,32.4280418869807,27.430705838071,21.1412117074719,33.8650368599458,21.4336951043042,0,100,50
0.477,32.4280418869807,32.9507515341856,23.380562772108,42.5502849382444,24.9212439429484,0,100,50
0.026,32.4280418869807,41.2440340098753,29.0963763629781,52.0536809242486,32.4127892402563,0,100,50
0.268,32.4280418869807,34.8865936975388,26.1680814036369,42.3492934852757,27.8522893600255,0,100,50
0.7135,32.4280418869807,30.2719576964942,21.4872073069187,39.4421919956244,22.8100618267065,0,100,50
0.6185,32.4280418869807,31.4226577996233,21.6423256168858,42.922235386397,23.0913502640846,0,100,50
0.091,32.4280418869807,40.8432953480229,26.2293393510338,58.3106571136416,29.4750988595162,0,100,50
0.932,32.4280418869807,27.55941478625,21.7005390547036,34.2278587210833,21.5454623825248,0,100,50
0.7055,32.4280418869807,30.3818678804707,21.9432950315575,40.2472253404303,22.4685832227128,0,100,50
0.8525,32.4280418869807,27.7556339355418,19.7867970952108,37.3300008796129,20.3216646969215,0,100,50
0.2415,32.4280418869807,36.7107283789544,24.5083284027316,49.8501767159891,26.9245054181664,0,100,50
0.825,32.4280418869807,28.8582315217486,20.9381203129891,38.169563479311,21.4545597302328,0,100,50
0.9735,32.4280418869807,25.7651771450497,19.9927856805433,32.5299220268168,20.058159679058,0,100,50
0.767,32.4280418869807,29.650962823019,22.0374894044612,38.3706168742654,22.730376546558,0,100,50
0.8355,32.4280418869807,28.5275944932856,21.0741618707439,37.0480695878811,21.2050617346297,0,100,50
0.266,32.4280418869807,35.3955926346288,24.9558779868509,45.5968040840435,27.2415474966534,0,100,50
0.342,32.4280418869807,34.5499030526984,23.9147213695299,45.2372513046077,25.550346093467,0,100,50
0.2625,32.4280418869807,37.0826952683549,23.4827262639773,54.3803419291169,26.0261351773886,0,100,50
0.3755,32.4280418869807,36.3833814253519,19.6873009116958,59.2994407461174,22.8290555630246,0,100,50
0.7545,32.4280418869807,29.6084089195825,20.9775987227996,39.4201983915672,21.9009974419374,0,100,50
0.897,32.4280418869807,27.8351702290099,20.9256634608517,35.5040995091599,21.6085706460325,0,100,50
0.682,32.4280418869807,30.5595165930122,21.0365718067426,41.7389716765997,22.1617767551377,0,100,50
