"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.005,100,100,100,100.003500015,100.003500015,1,1e+05,50
0.051,100,100,100,100.050500005,99.050500005,1,1e+05,50
0.008,100,100,100,100.0077500025,100.0077500025,1,1e+05,50
5e-04,100,100,100,100.0005,100.0005,1,1e+05,50
0.018,100,100,100,100.018,100.018,1,1e+05,50
0.1295,100,100,100,100.129000005,99.129000005,1,1e+05,50
0.373,100,100,100,100.36200013,99.36200013,1,1e+05,50
0.008,100,100,100,100.008,100.008,1,1e+05,50
0.0085,100,100,100,100.0085,100.0085,1,1e+05,50
0.0245,100,100,100,100.01550009,100.01550009,1,1e+05,50
5e-04,100,100,100,100.0005,100.0005,1,1e+05,50
0.02,100,100,100,100.0197500025,100.0197500025,1,1e+05,50
0.0525,100,100,100,100.0492500325,99.0492500325,1,1e+05,50
0.048,100,100,100,100.0472500075,99.0472500075,1,1e+05,50
0.3705,100,100,100,100.8497452075,99.3497502075,1,1e+05,50
0.0215,100,100,100,100.0207500075,100.0207500075,1,1e+05,50
0.145,100,100,100,100.145,99.145,1,1e+05,50
0.0235,100,100,100,100.0235,100.0235,1,1e+05,50
0.0185,100,100,100,100.0167500175,100.0167500175,1,1e+05,50
0.0095,100,100,100,100.0082500125,100.0082500125,1,1e+05,50
0.1345,100,100,100,100.1337500075,99.1337500075,1,1e+05,50
0.0175,100,100,100,100.0172500025,100.0172500025,1,1e+05,50
0.007,100,100,100,100.0057500125,100.0057500125,1,1e+05,50
0.0175,100,100,100,100.0132500425,100.0132500425,1,1e+05,50
0.357,100,100,100,100.3562500075,99.3562500075,1,1e+05,50
0.02,100,100,100,100.0192500075,100.0192500075,1,1e+05,50
0.021,100,100,100,100.021,100.021,1,1e+05,50
0.006,100,100,100,100.0057500025,100.0057500025,1,1e+05,50
0.052,100,100,100,100.052,99.052,1,1e+05,50
0.0525,100,100,100,100.0442500825,99.0442500825,1,1e+05,50
0.0055,100,100,100,100.0055,100.0055,1,1e+05,50
0.0045,100,100,100,100.0042500025,100.0042500025,1,1e+05,50
0.0025,100,100,100,100.0025,100.0025,1,1e+05,50
0.0025,100,100,100,100.0025,100.0025,1,1e+05,50
0.004,100,100,100,100.0027500125,100.0027500125,1,1e+05,50
0.002,100,100,100,100.001500005,100.001500005,1,1e+05,50
0.48080903571099,100,100,100,100,100,1,1e+05,50
0.001,100,100,100,100.001,100.001,1,1e+05,50
0.05,100,100,100,100.049500005,99.049500005,1,1e+05,50
0.0435,100,100,100,100.0377500575,99.0377500575,1,1e+05,50
0.0045,100,100,100,100.0045,100.0045,1,1e+05,50
0.004,100,100,100,100.0037500025,100.0037500025,1,1e+05,50
0.051,100,100,100,100.051,99.051,1,1e+05,50
0.005,100,100,100,100.005,100.005,1,1e+05,50
0.153,100,100,100,100.140500125,99.140500125,1,1e+05,50
1,100,99,99,99,99,1,1e+05,50
0.002,100,100,100,100.002,100.002,1,1e+05,50
0.1325,100,100,100,100.1262500625,99.1262500625,1,1e+05,50
0.056,100,100,100,100.0557500025,99.0557500025,1,1e+05,50
0.0035,100,100,100,100.003000005,100.003000005,1,1e+05,50
