"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.261,75.25,75.4217342722429,75.3656458515545,75.9469300674723,74.9234490686264,-1,1e+05,50
0.1,75.25,75.5828470813408,75.5265172544709,76.0777344347021,75.0986996161753,-1,1e+05,50
0.2415,75.25,75.4304033970815,75.374302000045,75.9428942230279,74.9150263378533,-1,1e+05,50
0.2365,75.25,75.4386556516077,75.3825419008205,75.9096473262743,74.9515012926459,-1,1e+05,50
0.294,75.25,75.3858228456157,75.3297881628428,75.8957918357803,74.9059801045536,-1,1e+05,50
0.097,75.25,75.5874141887191,75.5310775110945,76.0948890280506,75.0606174829697,-1,1e+05,50
0.4395,75.25,75.2942252923031,75.2383275597196,75.7936826403471,74.7934433914403,-1,1e+05,50
0.7895,75.25,75.047881777871,74.9923515300674,75.5727858599404,74.5380546442912,-1,1e+05,50
0.1015,75.25,75.5856876041318,75.5293535164684,76.0811713011096,75.0543112586994,-1,1e+05,50
0.528,75.25,75.235286039067,75.1794763397633,75.7326445541863,74.7109536522668,-1,1e+05,50
0.5855,75.25,75.1944717674646,75.1387229888501,75.6971593120909,74.6783308094563,-1,1e+05,50
0.0985,75.25,75.5805905832688,75.5242641410386,76.0651064371857,75.0731845902716,-1,1e+05,50
0.8505,75.25,74.959006758042,74.9036087929526,75.4821982846047,74.4241449014838,-1,1e+05,50
0.808,75.25,75.0287145264818,74.9732128207912,75.5234265075291,74.5493263136884,-1,1e+05,50
0.693,75.25,75.110892953514,75.05526882358,75.6061975020366,74.5770421472089,-1,1e+05,50
0.86,75.25,74.9750847804245,74.9196628962797,75.4869809511376,74.470686934086,-1,1e+05,50
0.711,75.25,75.1117708127073,75.0561453742665,75.6205291300876,74.610416908689,-1,1e+05,50
0.249,75.25,75.4279648265022,75.3718670797829,75.9495701693334,74.9343273347734,-1,1e+05,50
0.3825,75.25,75.328636515747,75.2726873535683,75.8375246427774,74.8375815889979,-1,1e+05,50
0.3725,75.25,75.330929067447,75.2749764780754,75.842501005609,74.8044162641296,-1,1e+05,50
0.4475,75.25,75.2815883273105,75.2257094754815,75.7993043116942,74.7499563925279,-1,1e+05,50
0.019,75.25,75.7756070880304,75.7189877552553,76.2489760492993,75.2828680531443,-1,1e+05,50
0.479,75.25,75.2689941286738,75.213134090532,75.7580071731706,74.76332512487,-1,1e+05,50
0.6655,75.25,75.147884625261,75.0922053434802,75.6233842389615,74.6387009877547,-1,1e+05,50
0.541,75.25,75.2222987842437,75.1665084737385,75.7341594750231,74.7053992217815,-1,1e+05,50
0.8935,75.25,74.9335594950688,74.8781993769834,75.422096301109,74.4536682842919,-1,1e+05,50
0.8955,75.25,74.9352215999041,74.8798590102111,75.4505621202962,74.4258406688579,-1,1e+05,50
0.1285,75.25,75.5419996263959,75.4857310530362,76.0617169409856,75.0320243441412,-1,1e+05,50
0.1965,75.25,75.4635918185421,75.4074407296762,75.9370691625498,74.9884045165803,-1,1e+05,50
0.4525,75.25,75.2789134217293,75.2230385660395,75.7804633840415,74.7501016137975,-1,1e+05,50
0.3525,75.25,75.3466867583129,75.2907106095378,75.8314886073425,74.8498755938077,-1,1e+05,50
0.66,75.25,75.142425249935,75.0867541093967,75.6494788420966,74.652463613186,-1,1e+05,50
0.5645,75.25,75.2087605484351,75.1529904457101,75.703518122462,74.6885683494981,-1,1e+05,50
0.79,75.25,75.052388967699,74.996852007137,75.573118795466,74.5399210976094,-1,1e+05,50
0.315,75.25,75.3673766756561,75.3113695857564,75.8601719771791,74.8709294648741,-1,1e+05,50
0.241,75.25,75.4278248666666,75.3717273294507,75.9192740705984,74.8964994768535,-1,1e+05,50
0.3295,75.25,75.3737868693813,75.3177701915042,75.8925599946737,74.8458018378633,-1,1e+05,50
0.597,75.25,75.1815415560881,75.1258120705874,75.6831231352663,74.6760005564172,-1,1e+05,50
0.246,75.25,75.4303999832001,75.374298591274,75.9418558097528,74.9231481769667,-1,1e+05,50
0.6685,75.25,75.138690879761,75.0830253077248,75.6467142715027,74.6219230968632,-1,1e+05,50
0.2035,75.25,75.4595863013585,75.4034412109756,75.9683692825374,74.9227264103719,-1,1e+05,50
0.432,75.25,75.3000265435249,75.2441201422866,75.8071755436023,74.8130512792079,-1,1e+05,50
0.7145,75.25,75.1049921961379,75.0493768612715,75.6060808829379,74.5859052477681,-1,1e+05,50
0.214,75.25,75.4544857763101,75.3983483237816,75.9414943833405,74.9542814946465,-1,1e+05,50
0.8305,75.25,75.0001811272489,74.9447218972994,75.5321484870329,74.4734772480207,-1,1e+05,50
0.1725,75.25,75.4945478349262,75.4383503769187,76.0084739263854,74.9745010415407,-1,1e+05,50
0.737,75.25,75.081100788241,75.0255210563701,75.5585837898374,74.5541688811108,-1,1e+05,50
0.595,75.25,75.1894748600275,75.1337335376731,75.6908986409025,74.6847182025711,-1,1e+05,50
0.178,75.25,75.4920891577133,75.4358953832674,75.9857186488222,74.9704068260531,-1,1e+05,50
0.149,75.25,75.5189426662309,75.4627086536348,76.0265604725024,74.9943623562305,-1,1e+05,50
