"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.108,85.15,97.0588235294115,49.5049504950495,117.627998803288,78.3242883131365,-1,100,50
0.184,85.15,93.3962264150941,48.5436893203883,113.266562265748,76.7136158767364,-1,100,50
0.6405,85.15,82.4999999999998,45.4545454545455,108.312537932548,62.7204326693905,-1,100,50
0.823,85.15,76.153846153846,43.4782608695652,96.1466612048403,58.6466612048404,-1,100,50
0.344,85.15,89.9999999999998,47.6190476190476,111.911786610566,71.7194789182579,-1,100,50
0.2895,85.15,91.6666666666664,48.0769230769231,116.045091776712,72.652234633855,-1,100,50
0.4245,85.15,88.3928571428569,47.1698113207547,115.796516210827,67.1733278050304,-1,100,50
0.395,85.15,88.3928571428569,47.1698113207547,111.810133144382,69.5087838190443,-1,100,50
0.351,85.15,89.9999999999998,47.6190476190476,112.790493737837,73.0886172245201,-1,100,50
0.5915,85.15,83.8983050847455,45.8715596330275,101.079447362289,69.2596717662161,-1,100,50
0.061,85.15,107.608695652174,52.0833333333333,144.954051890933,79.8377728211657,-1,100,50
0.075,85.15,105.31914893617,51.5463917525773,139.105290320997,80.0478236278176,-1,100,50
0,85.15,112.5,53.1914893617021,134.877275238214,92.710608571547,-1,100,50
0.0145,85.15,112.5,53.1914893617021,144.146598005106,86.8857014961204,-1,100,50
0.022,85.15,107.608695652174,52.0833333333333,134.656378129298,85.6563781292981,-1,100,50
0.6355,85.15,82.4999999999998,45.4545454545455,106.219511295249,63.9178448659659,-1,100,50
0.049,85.15,105.31914893617,51.5463917525773,135.400261899762,81.7752618997621,-1,100,50
0.5145,85.15,85.3448275862067,46.2962962962963,110.435771255089,65.6647141606852,-1,100,50
0.0335,85.15,101.020408163265,50.5050505050505,119.814762680198,84.1724815742072,-1,100,50
0.225,85.15,93.3962264150941,48.5436893203883,117.316246458679,74.6705697669495,-1,100,50
0.0345,85.15,98.9999999999997,50,115.391846573828,83.8128992054071,-1,100,50
0.9275,85.15,66.8918918918917,40.3225806451613,94.032919392092,46.5588477962407,-1,100,50
0.1795,85.15,97.0588235294115,49.5049504950495,125.643615103636,75.2829047817714,-1,100,50
0.361,85.15,89.9999999999998,47.6190476190476,114.943644885898,68.4999402854141,-1,100,50
0.8675,85.15,72.7941176470587,42.3728813559322,95.7953735669678,54.3211887843592,-1,100,50
0.0115,85.15,105.31914893617,51.5463917525773,126.819067899436,87.5731164824321,-1,100,50
0.021,85.15,103.125,51.0204081632653,123.070774321213,86.2553584997119,-1,100,50
0.299,85.15,89.9999999999998,47.6190476190476,108.456753122628,74.9753207618859,-1,100,50
0.644,85.15,82.4999999999998,45.4545454545455,98.058724359915,68.9223801818329,-1,100,50
0.0965,85.15,101.020408163265,50.5050505050505,130.385731020875,78.5285881637319,-1,100,50
0.5255,85.15,85.3448275862067,46.2962962962963,103.413440703803,70.5386778954541,-1,100,50
0.8375,85.15,73.8805970149252,42.7350427350427,101.163521872775,53.1347820054203,-1,100,50
0.021,85.15,105.31914893617,51.5463917525773,129.434899716339,85.6965819593303,-1,100,50
0.744,85.15,78.5714285714284,44.2477876106195,101.726031375789,59.8642046778969,-1,100,50
0.401,85.15,88.3928571428569,47.1698113207547,111.025883818283,68.7697862573077,-1,100,50
0.531,85.15,85.3448275862067,46.2962962962963,109.825590545692,65.730762959485,-1,100,50
0.054,85.15,101.020408163265,50.5050505050505,123.318231340752,82.7378083205853,-1,100,50
0.1395,85.15,97.0588235294115,49.5049504950495,123.789954006777,76.6554098346736,-1,100,50
0.003,85.15,107.608695652174,52.0833333333333,126.962553452641,90.6604022140487,-1,100,50
0.4075,85.15,88.3928571428569,47.1698113207547,114.670460892658,66.5215061888252,-1,100,50
0.1545,85.15,98.9999999999998,50,127.653647239381,75.5948237099694,-1,100,50
0.2245,85.15,91.6666666666664,48.0769230769231,109.297804408147,75.9909778850247,-1,100,50
0.4085,85.15,88.3928571428569,47.1698113207547,111.09821784086,70.9059101485527,-1,100,50
0.803,85.15,78.5714285714284,44.2477876106195,94.4642073234813,64.5955941847952,-1,100,50
0.57,85.15,83.8983050847456,45.8715596330275,99.9431625464068,69.2012306400078,-1,100,50
0.566,85.15,83.8983050847456,45.8715596330275,104.545565504707,66.8018155047067,-1,100,50
0.0805,85.15,97.0588235294115,49.5049504950495,116.859138582142,81.6150234993173,-1,100,50
0.949,85.15,69.7183098591547,41.3223140495868,88.2330918238133,54.6461688259723,-1,100,50
0.182,85.15,93.3962264150941,48.5436893203883,114.485233049791,76.9852330497913,-1,100,50
0.985,85.15,60.3658536585364,37.8787878787879,82.8141310036121,42.655400844882,-1,100,50
