"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.1095,30.85,31.1381101154103,31.1287285049359,31.5866347155006,30.6839911754917,-1,1e+05,125
0.6065,30.85,30.7767568505653,30.7675952585363,31.2123412760889,30.3255784147997,-1,1e+05,125
0.612,30.85,30.7804275695315,30.7712637556165,31.2296677932718,30.3265810629726,-1,1e+05,125
0.3225,30.85,30.9536623436371,30.9443933645343,31.4018993825374,30.5217106126189,-1,1e+05,125
0.147,30.85,31.0950369169257,31.0856816695513,31.5406780450795,30.6461771906009,-1,1e+05,125
0.892,30.85,30.5619384462714,30.5529064148833,31.0256101651325,30.118384921138,-1,1e+05,125
0.721,30.85,30.7094029625153,30.700282091998,31.1556434914144,30.2516253004975,-1,1e+05,125
0.1555,30.85,31.0768916306193,31.0675474780319,31.513755208575,30.6381877914936,-1,1e+05,125
0.138,30.85,31.0975390971346,31.0881823193064,31.5551060971914,30.663193864769,-1,1e+05,125
0.205,30.85,31.0308526903712,31.0215366583949,31.4647335911113,30.5741802539883,-1,1e+05,125
0.6915,30.85,30.7385452603139,30.7294067817699,31.1716222568366,30.3052518350436,-1,1e+05,125
0.39,30.85,30.919043691377,30.9097957760738,31.3931589961031,30.4654244051987,-1,1e+05,125
0.3245,30.85,30.9630635815407,30.9537888780981,31.4231074421382,30.5096811302765,-1,1e+05,125
0.309,30.85,30.9632969359648,30.9540220904121,31.4077927106391,30.5022320405685,-1,1e+05,125
0.3845,30.85,30.907606362575,30.8983654010783,31.3618850989253,30.4556907281808,-1,1e+05,125
0.588,30.85,30.7986524001119,30.7894775507207,31.2413134413631,30.3368758644781,-1,1e+05,125
0.5225,30.85,30.8452644420577,30.8360613380078,31.2937512420075,30.4085711285935,-1,1e+05,125
0.774,30.85,30.6821731502184,30.6730687168513,31.1192159227606,30.2194680742199,-1,1e+05,125
0.715,30.85,30.7241035110069,30.7149737604129,31.1836988596323,30.2399218660997,-1,1e+05,125
0.7395,30.85,30.7083933376222,30.6992730768247,31.1731203576899,30.2653197643243,-1,1e+05,125
0.3375,30.85,30.9448197163697,30.9355561198613,31.3793255523704,30.4873730534206,-1,1e+05,125
0.457,30.85,30.8686798223258,30.8594625082743,31.3029629775272,30.4163709883427,-1,1e+05,125
0.9015,30.85,30.5722724374781,30.5632341945963,31.0105274361341,30.1311866366569,-1,1e+05,125
0.5855,30.85,30.7983957201629,30.7892210262423,31.2477074138193,30.3538915077468,-1,1e+05,125
0.916,30.85,30.5402685560939,30.5312495429854,30.9783347166528,30.1129917391375,-1,1e+05,125
0.7605,30.85,30.685502696712,30.6763962542746,31.1155701622089,30.2553882293063,-1,1e+05,125
0.6055,30.85,30.7835076398135,30.7743419613243,31.2173956082532,30.34403279998,-1,1e+05,125
0.9485,30.85,30.489054384047,30.4800661007782,30.9141630324913,30.0554610245001,-1,1e+05,125
0.439,30.85,30.8881736667619,30.878944514199,31.3475944111569,30.4448536312305,-1,1e+05,125
0.878,30.85,30.5888668417767,30.5798186199647,31.0478153802886,30.1432941141091,-1,1e+05,125
0.211,30.85,31.0351124780519,31.025793845973,31.4974393288551,30.5775118331573,-1,1e+05,125
0.4255,30.85,30.8866391865491,30.8774109661434,31.3139404105854,30.4630622633654,-1,1e+05,125
0.9455,30.85,30.4845359365242,30.4755503619258,30.9449223903886,30.0427101353681,-1,1e+05,125
0.4,30.85,30.9053231978436,30.8960836241803,31.3496113153296,30.4643790685523,-1,1e+05,125
0.129,30.85,31.1116495830995,31.1022841722771,31.5633379557829,30.6729814746796,-1,1e+05,125
0.3505,30.85,30.9304372520657,30.9211824069678,31.353025158476,30.4960903492981,-1,1e+05,125
0.573,30.85,30.8083602427026,30.7991795123217,31.266826784453,30.3630620387818,-1,1e+05,125
0.3845,30.85,30.9228882325805,30.9136379792393,31.3906738732388,30.4600260154092,-1,1e+05,125
0.822,30.85,30.6531135389928,30.644026630983,31.1224873474101,30.2311617739413,-1,1e+05,125
0.038,30.85,31.2549822893435,31.2455289600904,31.6965627330815,30.8015582123462,-1,1e+05,125
0.3945,30.85,30.9173147722058,30.9080679082396,31.3950747605949,30.4631699018575,-1,1e+05,125
0.676,30.85,30.7454844224264,30.7363417486794,31.1733035351362,30.3197126329244,-1,1e+05,125
0.5885,30.85,30.8050254293099,30.795846719364,31.2577607846675,30.3735676013122,-1,1e+05,125
0.7865,30.85,30.6699450303213,30.6608479735816,31.1112760913728,30.2389931791033,-1,1e+05,125
0.651,30.85,30.7621069512438,30.7529542241169,31.2169976655609,30.2956874054813,-1,1e+05,125
0.2425,30.85,31.0096089754019,31.0003059048186,31.4592481709299,30.5675170967464,-1,1e+05,125
0.155,30.85,31.075563349661,31.0662200089819,31.5316957968112,30.6294130564354,-1,1e+05,125
0.1815,30.85,31.051788050324,31.0424592362687,31.4926416512363,30.6061635551638,-1,1e+05,125
0.1395,30.85,31.0942251196526,31.0848703687856,31.5491644364649,30.6270890252786,-1,1e+05,125
0.5895,30.85,30.7984975948413,30.7893228392155,31.2213681481654,30.3700117380745,-1,1e+05,125
0.979,30.85,30.3679987769106,30.3590829218094,30.8231762053286,29.9173069217376,-1,1e+05,125
0.7185,30.85,30.7183210229967,30.7091947659126,31.150324419596,30.2752667848093,-1,1e+05,125
0.6065,30.85,30.7863204739865,30.7771530925336,31.2367882129101,30.3312740711275,-1,1e+05,125
