"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.9655,170,166.43942632704,161.682419959398,170.252960183634,162.428145796191,-1,5623,5000
0.294,170,171.0596415662,166.038056578111,175.119210690356,167.049325962397,-1,5623,5000
0.234,170,171.445571295312,166.401571487966,175.261179184104,167.424258136525,-1,5623,5000
0.215,170,171.47719062239,166.431352216321,175.135806723082,167.829811690164,-1,5623,5000
0.464,170,170.247116099222,165.272564280823,174.082454058253,166.380776170975,-1,5623,5000
0.854,170,167.737636896171,162.906990164205,172.001799546521,163.434516951403,-1,5623,5000
0.542,170,169.706062981136,164.762710981183,173.482876202679,165.518953926868,-1,5623,5000
0.429,170,170.384755519145,165.402251528832,174.224714729498,166.449086107668,-1,5623,5000
0.6285,170,169.324288423015,164.402894119727,173.207913109677,165.362758839191,-1,5623,5000
0.0865,170,172.653475188151,167.539007317681,176.364844367282,168.891349352783,-1,5623,5000
0.3925,170,170.55021687995,165.558145136376,174.413488514042,166.585193998444,-1,5623,5000
0.19,170,171.685798077446,166.627821431018,175.508159107418,167.960993031799,-1,5623,5000
0.0895,170,172.495203692993,167.389996241179,176.239994261722,168.737157199713,-1,5623,5000
0.1845,170,171.741761286467,166.680525902379,175.543337383682,167.913350842133,-1,5623,5000
0.7585,170,168.582049914676,163.703209539046,172.474058611006,164.622556312622,-1,5623,5000
0.9945,170,164.535350696396,159.88535814518,168.560564662301,160.428617785586,-1,5623,5000
0.85,170,167.899777992586,163.059895309559,171.690415359592,163.866579842091,-1,5623,5000
0.708,170,168.863007991112,163.968080858368,172.624041050942,164.817731714343,-1,5623,5000
0.8745,170,167.775026270818,162.942250508903,171.652398691377,163.861659026738,-1,5623,5000
0.316,170,171.00782213567,165.989243134558,174.797703576534,167.184229272488,-1,5623,5000
0.6205,170,169.384167774015,164.459332657148,173.225263463192,165.38466190698,-1,5623,5000
0.388,170,170.478477517608,165.490555174634,174.031931197082,166.425301614665,-1,5623,5000
0.243,170,171.404669471676,166.36304753887,175.088147152442,167.574529899897,-1,5623,5000
0.488,170,170.041988058738,165.079276156067,174.004474674824,165.955993991854,-1,5623,5000
0.2205,170,171.473470096226,166.427848047963,175.177200035784,167.356725741919,-1,5623,5000
0.716,170,168.866616097947,163.971482209442,172.8829460434,164.989053601866,-1,5623,5000
0.1355,170,172.127029587603,167.043332399977,175.806586387031,168.167577592745,-1,5623,5000
0.883,170,167.710940401286,162.881813545439,171.421631318823,163.848799092826,-1,5623,5000
0.094,170,172.572418988558,167.462694709412,176.388240961794,168.877828137386,-1,5623,5000
0.7355,170,168.709805847005,163.823653763452,172.441695543827,164.675636836961,-1,5623,5000
0.5615,170,169.700596938009,164.757559651289,173.384497960657,165.901991736428,-1,5623,5000
0.615,170,169.40050585701,164.474731711377,173.128149895701,165.434614358863,-1,5623,5000
0.858,170,167.864115716698,163.026265178272,171.83567805567,163.810331738081,-1,5623,5000
0.9995,170,163.549619742356,158.954563050178,167.700533051168,159.285189691121,-1,5623,5000
0.7375,170,168.736821316481,163.849122406994,172.672963449909,164.567204142499,-1,5623,5000
0.283,170,171.039280187853,166.018876444612,174.666621127436,167.257679022068,-1,5623,5000
0.611,170,169.378722446662,164.454200279828,173.270812416698,165.228184752807,-1,5623,5000
0.142,170,172.02399764921,166.946312126764,175.514451478588,168.211398391662,-1,5623,5000
0.6785,170,169.023718120088,164.119577686306,172.911974389751,165.05489175033,-1,5623,5000
0.1015,170,172.423699970547,167.322673510968,176.21741887964,168.651221513457,-1,5623,5000
0.102,170,172.549812235274,167.441410573476,176.242958810725,168.574717671869,-1,5623,5000
0.0955,170,172.530977798153,167.423677925984,176.200371203791,168.652611745794,-1,5623,5000
0.555,170,169.686022544284,164.743824346222,173.494048996589,165.791818842795,-1,5623,5000
0.7855,170,168.397057413465,163.528795080399,172.302235565597,164.345326504177,-1,5623,5000
0.4925,170,170.032842082616,165.070657763531,174.080886604271,165.916247547422,-1,5623,5000
0.528,170,169.815457836892,164.865805267467,173.655499459431,165.648439960325,-1,5623,5000
0.9645,170,166.098369096909,161.360617922193,170.274265344197,161.839166280924,-1,5623,5000
0.5575,170,169.676914819387,164.735240943454,173.515944708731,165.918673571738,-1,5623,5000
0.2085,170,171.592607067253,166.540054673879,175.338352202631,167.614927245686,-1,5623,5000
0.2325,170,171.453010087862,166.408577759299,175.347022838219,167.522024490069,-1,5623,5000
0.464,170,170.197620329493,165.225926642036,173.999876758978,166.229294028025,-1,5623,5000
0.378,170,170.62570031413,165.629260805565,174.584328320865,166.965169721448,-1,5623,5000
0.593,170,169.525869280766,164.592887000973,173.379269497623,165.747797898301,-1,5623,5000
0.339,170,170.780558166672,165.77515217927,174.640123416975,166.987652794116,-1,5623,5000
0.6115,170,169.371462554783,164.447357608351,173.290999176283,165.231732623823,-1,5623,5000
0.9735,170,166.229379410435,161.484236224253,170.060527190872,162.247535816525,-1,5623,5000
0.609,170,169.476791936954,164.54663211087,173.100410610434,165.625371654453,-1,5623,5000
0.027,170,173.630215084474,168.458418357833,177.235220260471,169.902582115694,-1,5623,5000
0.5355,170,169.795391556558,164.846894991215,173.594296276804,165.895217958198,-1,5623,5000
0.983,170,165.546905602279,160.840208361947,169.659747015943,161.503205418265,-1,5623,5000
0.7715,170,168.571262504533,163.693039268981,172.466171487668,164.584083318154,-1,5623,5000
0.908,170,167.316823508241,162.510107369925,171.132733667873,163.401930875523,-1,5623,5000
0.3405,170,170.810086776101,165.802970156846,174.642855022556,166.836505133627,-1,5623,5000
0.2925,170,171.013372715765,165.994471773495,174.690191671456,167.236772890025,-1,5623,5000
0.9625,170,166.495528519514,161.735351137892,170.345202899279,162.319425340373,-1,5623,5000
0.9285,170,166.973928567656,162.186669334031,170.891656736871,163.044245674228,-1,5623,5000
0.5195,170,169.921340342504,164.965585787703,173.80084751373,166.07969300241,-1,5623,5000
0.614,170,169.433191480239,164.505538472745,173.20326882157,165.55571616097,-1,5623,5000
0.14,170,172.085802005422,167.004510761917,175.715985099497,168.102068669457,-1,5623,5000
0.116,170,172.397371434804,167.297884048616,176.239386480527,168.528950028528,-1,5623,5000
0.4965,170,169.946917973916,164.989688838794,173.608139299909,166.049882402126,-1,5623,5000
0.859,170,167.764341891591,162.932174567266,171.71107839939,163.690918187266,-1,5623,5000
0.3805,170,170.566780692573,165.57375066113,174.3980258015,166.655415277521,-1,5623,5000
0.749,170,168.655800851482,163.772740222002,172.634217543057,164.55243207641,-1,5623,5000
0.532,170,169.82458044137,164.874402281888,173.538929394067,166.032136690709,-1,5623,5000
0.0925,170,172.630847194767,167.517703780233,176.235103225175,168.843156689259,-1,5623,5000
0.1145,170,172.49708617077,167.391768623569,176.327299343879,168.585349901296,-1,5623,5000
0.0785,170,172.68742830298,167.57097278533,176.431507771005,169.056170930558,-1,5623,5000
0.8435,170,167.933671192708,163.091856788417,171.695056790675,163.906431439327,-1,5623,5000
0.855,170,167.989000010628,163.14403137174,171.896888889999,164.088168842231,-1,5623,5000
0.6685,170,169.076150439638,164.169002310548,172.983270155516,164.828999145396,-1,5623,5000
0.6975,170,168.976737473408,164.075291248281,172.898061397949,165.155449127471,-1,5623,5000
0.29,170,171.074452886551,166.052008549926,174.890206304499,166.991216028356,-1,5623,5000
0.952,170,166.74669803359,161.972311443749,170.71883897899,162.682816777591,-1,5623,5000
0.707,170,168.832345307143,163.939175070645,172.747146987174,164.817365932781,-1,5623,5000
0.453,170,170.144490252856,165.17586367222,173.936011365357,166.141199296287,-1,5623,5000
0.2725,170,171.20045274354,166.170695046643,175.136779484243,167.261306949932,-1,5623,5000
0.2575,170,171.141135581109,166.114821450149,174.851634726843,167.330575289304,-1,5623,5000
0.416,170,170.4490634402,165.462841921827,174.171203822384,166.831795171654,-1,5623,5000
0.3055,170,170.983773784927,165.966589504958,174.89311464775,167.077685830614,-1,5623,5000
0.7465,170,168.589242288494,163.709990421208,172.468627585215,164.479571660977,-1,5623,5000
0.9365,170,167.003919869831,162.21496036734,170.881503309429,163.117826285731,-1,5623,5000
0.7585,170,168.441921183316,163.571094521958,172.576634615664,164.140202032946,-1,5623,5000
0.656,170,169.306151522617,164.385799179582,172.935132632621,165.70071003041,-1,5623,5000
0.572,170,169.594989270387,164.658030548424,173.288768778823,165.786694780051,-1,5623,5000
0.9145,170,167.341622995077,162.533498172547,171.145067872834,163.455205992991,-1,5623,5000
0.087,170,172.495203692993,167.389996241179,176.20705752004,168.825700867773,-1,5623,5000
0.3975,170,170.533656284053,165.542542553024,174.343455404076,166.841527574667,-1,5623,5000
0.891,170,167.584692211455,162.762749731029,171.325711187215,163.531159613957,-1,5623,5000
0.5935,170,169.520414838966,164.587746284584,173.215453273599,165.834160439282,-1,5623,5000
0.781,170,168.492196993924,163.618495883421,172.158477584931,164.440937081481,-1,5623,5000
0.1615,170,171.894913705915,166.824755050678,175.609881059105,168.024406158292,-1,5623,5000
0.151,170,172.01838127265,166.941023353063,175.699510582528,167.917136491724,-1,5623,5000
0.887,170,167.563373264073,162.742643463401,171.563988528089,163.306095715503,-1,5623,5000
0.653,170,169.211902238495,164.296962768583,173.217172290432,165.098377273248,-1,5623,5000
0.456,170,170.274626190374,165.298485458414,174.106259095843,166.455219636478,-1,5623,5000
0.2,170,171.609373982151,166.555845866147,175.24962928387,167.766214805009,-1,5623,5000
0.0875,170,172.51779613844,167.411267307336,175.996326726471,168.891931011944,-1,5623,5000
0.3275,170,170.898733903491,165.886480133892,174.715459577474,167.148953454019,-1,5623,5000
0.0205,170,173.758099090879,168.578773386224,177.078957762485,170.17922960293,-1,5623,5000
0.397,170,170.507901748633,165.518277712341,174.26386435839,166.552177644607,-1,5623,5000
0.6425,170,169.288018507214,164.368707794199,173.329895560487,165.221660725263,-1,5623,5000
0.7385,170,168.798088423751,163.906880660228,172.755614631332,164.799200707156,-1,5623,5000
0.602,170,169.458622353257,164.52950726689,173.287992223148,165.39226324121,-1,5623,5000
0.7625,170,168.583847950597,163.704904706924,172.492391112241,164.594175669068,-1,5623,5000
0.4005,170,170.461930850032,165.474965327751,174.230899018991,166.674668398739,-1,5623,5000
0.784,170,168.366563698339,163.500043954226,172.469095753316,164.383646620442,-1,5623,5000
0.0215,170,173.786755651333,168.60574210647,177.247248447004,170.115458905908,-1,5623,5000
0.2345,170,171.39723487313,166.356045100835,175.266503101478,167.449295706613,-1,5623,5000
0.7655,170,168.528126665956,163.652370822399,172.321748266741,164.487069672286,-1,5623,5000
0.0645,170,172.984142097315,167.850300736313,176.810760740485,169.018416100192,-1,5623,5000
0.0775,170,172.755374610635,167.634940327549,176.661727323966,168.858485518582,-1,5623,5000
0.3115,170,170.950487232455,165.935233147026,174.751309617853,166.957923522798,-1,5623,5000
0.142,170,172.0820550227,167.000982416851,175.879375074377,168.389395926601,-1,5623,5000
0.4305,170,170.283798196568,165.307127657906,174.107338869491,166.330786234847,-1,5623,5000
0.1385,170,172.080181592528,166.999218300226,175.597738512142,168.298283142519,-1,5623,5000
0.9805,170,165.66836461969,160.954836312175,169.820930884283,161.459566518103,-1,5623,5000
0.971,170,166.039045758225,161.304639951024,170.140478948576,161.903516520999,-1,5623,5000
0.0875,170,172.544161472377,167.436090384829,176.280318735214,168.751799000693,-1,5623,5000
0.365,170,170.645963336428,165.648351015062,174.55016463266,166.764549149081,-1,5623,5000
0.603,170,169.416847092114,164.490133649639,173.123133829248,165.467385369328,-1,5623,5000
0.3735,170,170.649648039385,165.651822435048,174.391577101639,166.600163969772,-1,5623,5000
0.7545,170,168.605427373676,163.725249460172,172.68661137011,164.459134541852,-1,5623,5000
0.9325,170,167.182325876567,162.383246110943,171.033694437799,163.042217703379,-1,5623,5000
0.68,170,169.050834224599,164.145138431028,173.024501329989,165.226526116048,-1,5623,5000
0.8025,170,168.25544484895,163.395272522441,172.188908497904,164.142754058095,-1,5623,5000
0.178,170,171.715640582733,166.655926333932,175.506905859744,167.922472522368,-1,5623,5000
0.5965,170,169.513142795861,164.580892495562,173.169783535099,165.620392413054,-1,5623,5000
0.624,170,169.431375281381,164.503826683246,173.261319111801,165.668187744798,-1,5623,5000
0.465,170,170.131670720944,165.163784052028,174.004582904645,165.949076843298,-1,5623,5000
0.635,170,169.309778591857,164.389217883195,173.079339502098,165.334579372398,-1,5623,5000
0.7935,170,168.343252425634,163.478064619537,172.093724824381,164.320945347634,-1,5623,5000
0.025,170,173.584451668168,168.415347903206,177.217827156612,169.997314521716,-1,5623,5000
0.136,170,172.085802005422,167.004510761917,175.783889538633,168.213756120231,-1,5623,5000
0.6305,170,169.266264015164,164.348202822465,173.110209097408,165.262956647302,-1,5623,5000
0.3845,170,170.517098903944,165.526942910243,174.262783017836,166.478927561365,-1,5623,5000
0.265,170,171.215288459456,166.184669319191,175.280768872436,167.403046032485,-1,5623,5000
0.0965,170,172.529094580582,167.421904867807,176.305373519976,168.682901857025,-1,5623,5000
0.4865,170,170.027354969182,165.065487159943,173.683947381718,166.17447358292,-1,5623,5000
0.7275,170,168.796285814975,163.905181306861,172.757838789349,164.813515165172,-1,5623,5000
0.536,170,169.793567584407,164.8451760903,173.413963170065,166.019213395357,-1,5623,5000
0.464,170,170.117022192565,165.14998093507,173.952994182653,166.127912259879,-1,5623,5000
0.895,170,167.558044374715,162.737617672642,171.277881820327,163.618868267656,-1,5623,5000
0.706,170,168.911730446584,164.014011007537,172.797345750699,164.826868968954,-1,5623,5000
0.3055,170,170.95233614536,165.936974856069,174.874258642742,167.080111810038,-1,5623,5000
0.317,170,170.906125317619,165.893443096021,174.678462088009,167.172551169589,-1,5623,5000
0.7455,170,168.585646024873,163.706599909909,172.40797953485,164.387978809314,-1,5623,5000
0.389,170,170.581506782789,165.587624708686,174.589380138372,166.523968930918,-1,5623,5000
0.5275,170,169.884814221687,164.931165071334,173.703319272139,165.845208158364,-1,5623,5000
0.1925,170,171.661558678512,166.604993176273,175.441552677133,167.78193198131,-1,5623,5000
0.764,170,168.528126665956,163.652370822399,172.504058519971,164.394276768605,-1,5623,5000
0.437,170,170.320496104652,165.34170549446,174.246733422689,166.270657332309,-1,5623,5000
0.388,170,170.553897449178,165.561612776541,174.471850981402,166.777879096872,-1,5623,5000
