"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.9975,200,91.2497975,71,149.292433212015,70.3764757120154,1,1e+05,5000
1,200,74.166625,70,94.6357856627411,65.6360556627411,1,1e+05,5000
1,200,75.166585,67,106.687250842696,63.1876458426964,1,1e+05,5000
1,200,75.99994,70,101.895408462679,66.3957234626786,1,1e+05,5000
1,200,85.99982,68,124.909164729393,69.5763247293929,1,1e+05,5000
1,200,78.399936,72,107.100624358114,67.7260181081136,1,1e+05,5000
1,200,69.599984,68,86.8250785054197,62.9502872554197,1,1e+05,5000
0.999,200,83.499865,70,129.498075880948,66.6653208809481,1,1e+05,5000
1,200,78.99991,70,110.727634534625,67.478017034625,1,1e+05,5000
0.988,200,102.2496975,72,178.90695376017,72.5079677601696,1,1e+05,5000
1,200,73.599964,70,98.1784772727768,65.1787872727768,1,1e+05,5000
1,200,87.499865,74,132.962899890371,71.9634798903709,1,1e+05,5000
1,200,71.33332,70,89.6801050620179,64.5553063120179,1,1e+05,5000
1,200,72.599984,71,88.2052723008839,66.3721173008839,1,1e+05,5000
1,200,78.166585,70,110.06297630008,65.5633613000803,1,1e+05,5000
1,200,73.499955,69,97.9001858973393,64.4004908973393,1,1e+05,5000
1,200,72.0833125,70,91.0246134077768,64.4248494077768,1,1e+05,5000
1,200,77.166585,69,110.16633963692,64.1667296369196,1,1e+05,5000
1,200,70.12496875,67,90.0581448411428,62.0583848411429,1,1e+05,5000
0.999,200,84.499875,72,130.21816988383,67.3020523838304,1,1e+05,5000
1,200,75.899951,71,101.577190473964,66.0774954739643,1,1e+05,5000
0.894,200,144.99928,73,251.965034891893,98.1331498918929,1,1e+05,5000
1,200,68.12498875,67,82.4623724088571,62.4625524088571,1,1e+05,5000
1,200,80.66656,70,118.620996051777,66.5214870517768,1,1e+05,5000
1,200,72.166625,68,92.4121346352321,63.4124046352321,1,1e+05,5000
1,200,69.499995,69,80.2946510346875,64.7947760346875,1,1e+05,5000
1,200,72.499955,68,97.47544492875,62.97575992875,1,1e+05,5000
1,200,68.499985,67,83.0655008417857,63.0656808417857,1,1e+05,5000
1,200,72.599964,69,98.8539463985179,63.5209263985179,1,1e+05,5000
1,200,69.12498875,68,83.4358512018571,63.5360302018571,1,1e+05,5000
1,200,74.599964,71,96.2206925570536,66.3043050570536,1,1e+05,5000
1,200,73.599964,70,95.9593520048628,64.9595820048628,1,1e+05,5000
1,200,66.499995,66,76.4331823092768,62.0333063092768,1,1e+05,5000
0.999,200,91.2497975,71,145.030035716339,69.0307157163393,1,1e+05,5000
1,200,80.166585,72,110.767979127437,68.1683751274375,1,1e+05,5000
1,200,80.166585,72,111.350651063835,67.6010485638352,1,1e+05,5000
1,200,77.399936,71,107.64120620839,66.0416022083904,1,1e+05,5000
1,200,73.12496875,70,94.2095604514911,65.1098014514911,1,1e+05,5000
1,200,79.166585,71,111.180893366125,66.681278366125,1,1e+05,5000
1,200,67.12498875,66,81.6807231331072,61.6809031331072,1,1e+05,5000
1,200,73.599964,70,94.9921073189375,65.0923563189375,1,1e+05,5000
1,200,73.499955,69,97.9792078679821,64.4795128679821,1,1e+05,5000
1,200,74.599964,71,96.5477914851607,66.4480624851607,1,1e+05,5000
1,200,71.499975,69,90.5243845239018,64.1496282739018,1,1e+05,5000
1,200,73.99994,68,99.7019783628839,64.2022933628839,1,1e+05,5000
0.9965,200,104.99964,69,166.470906161268,77.6383911612679,1,1e+05,5000
1,200,73.0832925,69,97.784304258,63.534616758,1,1e+05,5000
1,200,76.166585,68,108.195068891857,63.3621338918571,1,1e+05,5000
1,200,84.99982,67,122.915736087714,68.9162160877143,1,1e+05,5000
1,200,73.166625,69,93.4911891699821,64.9914141699821,1,1e+05,5000
1,200,76.33328,71,105.348359066437,66.2487100664375,1,1e+05,5000
