"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
1,200,60.1652142984172,52,90.6935775262951,48.2004244051853,1,5623,5000
1,200,53.9989329539392,48,79.6738137080774,44.3460527263951,1,5623,5000
1,200,60.1652142984172,52,89.5780828411044,48.4183816140015,1,5623,5000
1,200,58.4993775564645,55,81.3932832318254,49.5403831530672,1,5623,5000
1,200,50.9996443179797,49,65.745512552082,44.8736914601382,1,5623,5000
1,200,53.9989329539392,48,79.5239596737041,44.0295616655234,1,5623,5000
1,200,62.0985594878179,54,98.3106343156162,49.2108019942829,1,5623,5000
0.9945,200,79.9957318157567,56,142.796428181641,56.3109222239673,1,5623,5000
1,200,54.4991997154544,50,79.169328163347,45.6747523141561,1,5623,5000
1,200,60.9985772719189,53,90.4483379596343,50.0171402004311,1,5623,5000
1,200,63.2478214476258,51,102.912583846426,48.6713425161751,1,5623,5000
1,200,51.666192423973,49,66.3841430397475,45.3871663369198,1,5623,5000
1,200,49.666192423973,47,65.2674147356097,43.270438032782,1,5623,5000
1,200,52.666192423973,50,68.3467298464851,46.3499309846676,1,5623,5000
1,200,50.9996443179797,49,65.6365606752242,45.1396728929016,1,5623,5000
1,200,53.1659256624578,49,72.8592290031164,44.8634971873597,1,5623,5000
0.987,200,84.1616574782145,56,166.720280204814,56.3228944676626,1,5623,5000
1,200,47.9996443179797,46,62.7536164715709,41.9230989542313,1,5623,5000
1,200,51.666192423973,49,68.3699964477317,44.7901458341802,1,5623,5000
0.9995,200,69.9962653387871,49,108.112372111354,51.6211752413557,1,5623,5000
1,200,67.9971545438378,52,114.706799902823,50.8837517079088,1,5623,5000
1,200,57.0826071492086,53,79.3156493458376,48.2199353141819,1,5623,5000
1,200,58.9985772719189,51,91.3725722365836,47.0045747263577,1,5623,5000
1,200,59.9985772719189,52,91.5098390419239,48.0163302387939,1,5623,5000
1,200,60.6647696958919,50,99.7917959977208,46.925132295071,1,5623,5000
1,200,59.9985772719189,52,90.629353470065,48.8027484549485,1,5623,5000
1,200,49.4997332384848,48,64.1188537756282,44.1220549138106,1,5623,5000
1,200,59.7487995731816,53,92.063040508198,48.1699585234923,1,5623,5000
1,200,49.1247999288636,48,64.3141357627686,43.3171590599409,1,5623,5000
1,200,57.0826071492086,53,81.4906238704401,48.3704478078401,1,5623,5000
1,200,55.9985772719189,48,79.001702159498,46.6732298137751,1,5623,5000
1,200,57.1239107238129,51,87.8467209342158,46.2530520741766,1,5623,5000
0.951,200,102.991285790503,54,220.287398999009,57.7150710601865,1,5623,5000
1,200,52.1659256624578,48,74.8435275720256,43.5150552263027,1,5623,5000
1,200,55.9989329539392,50,77.0414514495101,46.9455595768442,1,5623,5000
1,200,58.1652142984172,50,97.1252781959512,45.1339924054479,1,5623,5000
1,200,49.2495998577272,47,63.8336220899706,43.0034602546514,1,5623,5000
1,200,65.1231993597724,55,102.806294134086,50.8970819697605,1,5623,5000
1,200,66.9971545438378,51,113.370405331949,49.547357137035,1,5623,5000
1,200,51.666192423973,49,67.2401606558522,45.3683395639084,1,5623,5000
1,200,55.9994664769696,53,75.3732057564479,48.439962825628,1,5623,5000
1,200,61.4977769873733,49,97.3900813650144,48.5228841393342,1,5623,5000
1,200,58.1652142984172,50,88.4147648128858,45.5885154797896,1,5623,5000
0.999,200,81.9943090876756,50,139.103521110998,56.7835851337618,1,5623,5000
1,200,50.1244442468433,47,69.2358695103233,42.4067747210648,1,5623,5000
1,200,57.1239107238129,51,86.9960417116658,46.5023550675257,1,5623,5000
1,200,60.1652142984172,52,90.5603242220996,48.6915264273281,1,5623,5000
1,200,54.0826071492086,50,81.3190233172853,44.2252655367411,1,5623,5000
1,200,65.4975991463631,52,112.281885551476,48.7922892505695,1,5623,5000
1,200,50.0714158684993,50,62.9953312112031,45.1235101192593,1,5623,5000
1,200,63.6647696958919,53,101.766817750332,49.9001540476826,1,5623,5000
1,200,52.4991997154544,48,78.0831075355894,43.5885316863985,1,5623,5000
1,200,57.0826071492086,53,80.2998356840918,48.1800153035121,1,5623,5000
0.9875,200,90.9935977236351,55,186.877794021155,58.0244683942651,1,5623,5000
1,200,54.2488884936866,48,78.4618686294809,44.5916481066284,1,5623,5000
1,200,61.6647696958919,51,100.848271784465,47.4568792893558,1,5623,5000
0.999,200,66.9971545438378,51,112.842495751188,50.3530772912909,1,5623,5000
0.997,200,78.9955539747466,54,142.311367425147,54.8258614674732,1,5623,5000
1,200,53.9994664769696,51,77.2831687385144,45.7878815252831,1,5623,5000
1,200,59.9985772719189,52,88.2807414689533,48.786876983803,1,5623,5000
1,200,68.6637026498311,52,120.30867625452,49.9197735335527,1,5623,5000
