"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.341,100,100.178760768323,100.079503157308,100.981643249435,99.3614014323058,-1,1e+05,5000
0.851,100,99.562430688921,99.4643961623931,100.405567531802,98.7111538049671,-1,1e+05,5000
0.889,100,99.4836607098109,99.3857819535178,100.32944002123,98.6661444548307,-1,1e+05,5000
0.0535,100,100.680147510778,100.579889328729,101.519590480043,99.856610834436,-1,1e+05,5000
0.125,100,100.514516843698,100.414589749867,101.332901057374,99.6603337600691,-1,1e+05,5000
0.134,100,100.468142017238,100.368307526567,101.326236902693,99.6028291446018,-1,1e+05,5000
0.168,100,100.40866131364,100.308945533707,101.252144418508,99.5771440084225,-1,1e+05,5000
0.426,100,100.070880913761,99.9718379332542,100.894874133197,99.1964681966583,-1,1e+05,5000
0.5085,100,100.004590256595,99.9056790484104,100.840690883036,99.1450573769462,-1,1e+05,5000
0.9175,100,99.4097072084451,99.3119745850329,100.25898800147,98.5992118125457,-1,1e+05,5000
0.3295,100,100.185230317228,100.085959827457,101.011354387,99.3384274455018,-1,1e+05,5000
0.3405,100,100.179395040237,100.080136166631,101.043120439106,99.3539869684521,-1,1e+05,5000
0.7235,100,99.75524009042,99.6568237548543,100.597141532101,98.9434785761769,-1,1e+05,5000
0.8025,100,99.6380432534667,99.5398590842086,100.473074476566,98.7783187408398,-1,1e+05,5000
0.5915,100,99.9015620105088,99.8028554275597,100.786826195285,99.0397430679272,-1,1e+05,5000
0.5215,100,99.976359353661,99.8775042361545,100.804163309345,99.1307460409956,-1,1e+05,5000
0.2745,100,100.24203279884,100.142649198077,101.110306131563,99.3914889791899,-1,1e+05,5000
0.945,100,99.2999146985344,99.2023988251103,100.160743796917,98.4592667636916,-1,1e+05,5000
0.472,100,100.031548265175,99.9325834805324,100.861019361237,99.2102485064486,-1,1e+05,5000
0.4195,100,100.105540324457,100.006428413218,100.93320085535,99.2852861309872,-1,1e+05,5000
0.7915,100,99.6348545336507,99.536676677402,100.547038086988,98.7750815077012,-1,1e+05,5000
0.234,100,100.298664325378,100.199167889998,101.128925178574,99.4793785020581,-1,1e+05,5000
0.896,100,99.4582494759296,99.3604209447952,100.302308505694,98.6032825363119,-1,1e+05,5000
0.823,100,99.5980759132574,99.4999708564585,100.471871851372,98.7484664268912,-1,1e+05,5000
0.3705,100,100.145436663307,100.046245376463,100.961131641102,99.2868421700984,-1,1e+05,5000
0.1565,100,100.419690216618,100.319952430686,101.223161441095,99.5882285294068,-1,1e+05,5000
0.544,100,99.951003528106,99.8521987753727,100.784975029823,99.0869423792493,-1,1e+05,5000
0.8815,100,99.4801651777224,99.3822933310923,100.318923414661,98.5925723044243,-1,1e+05,5000
