"qtile","truediv","chaoest","obsD","l","inds","reps"
56.35,50,49.4999999999999,33.3333333333333,-1,100,500
18.4,50,56.8965517241378,36.4963503649635,-1,100,500
1.4,50,68.7499999999998,40.983606557377,-1,100,500
74.9,50,45.8333333333332,31.6455696202532,-1,100,500
69.45,50,47.142857142857,32.258064516129,-1,100,500
98.2,50,32.1428571428571,24.5098039215686,-1,100,500
58.75,50,49.0099009900989,33.112582781457,-1,100,500
36.85,50,53.2258064516128,34.965034965035,-1,100,500
5.8,50,60.3658536585365,37.8787878787879,-1,100,500
18.95,50,57.5581395348836,36.7647058823529,-1,100,500
75.15,50,45.4128440366971,31.4465408805031,-1,100,500
3.1,50,65.1315789473683,39.6825396825397,-1,100,500
89.35,50,41.9491525423728,29.7619047619048,-1,100,500
84.9,50,42.6724137931034,30.1204819277108,-1,100,500
30.65,50,54.9999999999999,35.7142857142857,-1,100,500
47.1,50,51.0309278350514,34.0136054421769,-1,100,500
70.55,50,45.4128440366971,31.4465408805031,-1,100,500
96.55,50,38.076923076923,27.7777777777778,-1,100,500
98.6,50,35.3571428571428,26.3157894736842,-1,100,500
6.8,50,62.6582278481011,38.7596899224806,-1,100,500
53.95,50,49.9999999999999,33.5570469798658,-1,100,500
39.95,50,52.659574468085,34.7222222222222,-1,100,500
47.35,50,51.0309278350514,34.0136054421769,-1,100,500
2.2,50,61.8749999999999,38.4615384615385,-1,100,500
52.35,50,49.9999999999999,33.5570469798658,-1,100,500
60.95,50,48.5294117647058,32.8947368421053,-1,100,500
69.5,50,46.6981132075471,32.0512820512821,-1,100,500
43.75,50,51.5624999999999,34.2465753424658,-1,100,500
62.8,50,47.5961538461537,32.4675324675325,-1,100,500
2.25,50,63.4615384615383,39.0625,-1,100,500
15.55,50,58.9285714285713,37.3134328358209,-1,100,500
56.85,50,49.4999999999999,33.3333333333333,-1,100,500
15.1,50,58.9285714285713,37.3134328358209,-1,100,500
13.25,50,57.5581395348836,36.7647058823529,-1,100,500
9.4,50,60.3658536585365,37.8787878787879,-1,100,500
0.85,50,67.808219178082,40.650406504065,-1,100,500
10.3,50,58.2352941176469,37.037037037037,-1,100,500
0.3,50,69.7183098591547,41.3223140495868,-1,100,500
30.8,50,53.2258064516128,34.965034965035,-1,100,500
54.65,50,49.4999999999999,33.3333333333333,-1,100,500
54.65,50,49.4999999999999,33.3333333333333,-1,100,500
24.15,50,54.9999999999999,35.7142857142857,-1,100,500
67.3,50,47.142857142857,32.258064516129,-1,100,500
70.75,50,47.142857142857,32.258064516129,-1,100,500
97.55,50,38.6718749999999,28.0898876404494,-1,100,500
96.9,50,36.9402985074626,27.1739130434783,-1,100,500
61.4,50,48.5294117647058,32.8947368421053,-1,100,500
51.6,50,49.9999999999999,33.5570469798658,-1,100,500
63.5,50,47.5961538461537,32.4675324675325,-1,100,500
18.35,50,58.2352941176469,37.037037037037,-1,100,500
31,50,54.3956043956043,35.4609929078014,-1,100,500
31.4,50,54.3956043956043,35.4609929078014,-1,100,500
38.8,50,52.659574468085,34.7222222222222,-1,100,500
55.4,50,49.4999999999999,33.3333333333333,-1,100,500
0.5,50,66.8918918918917,40.3225806451613,-1,100,500
71.4,50,46.2616822429905,31.8471337579618,-1,100,500
43.1,50,51.5624999999999,34.2465753424657,-1,100,500
87.5,50,41.2499999999999,29.4117647058824,-1,100,500
75.05,50,45.8333333333332,31.6455696202532,-1,100,500
95.3,50,35.8695652173912,26.5957446808511,-1,100,500
83.15,50,44.5945945945945,31.055900621118,-1,100,500
1.75,50,64.2857142857141,39.3700787401575,-1,100,500
32.45,50,53.2258064516128,34.965034965035,-1,100,500
14.55,50,57.5581395348836,36.7647058823529,-1,100,500
24.25,50,54.9999999999999,35.7142857142857,-1,100,500
41.65,50,52.659574468085,34.7222222222222,-1,100,500
37.9,50,52.659574468085,34.7222222222222,-1,100,500
1.65,50,63.4615384615383,39.0625,-1,100,500
87.2,50,41.5966386554621,29.585798816568,-1,100,500
46.7,50,51.0309278350514,34.0136054421769,-1,100,500
79.55,50,44.1964285714285,30.8641975308642,-1,100,500
79.8,50,44.9999999999999,31.25,-1,100,500
14,50,56.8965517241378,36.4963503649635,-1,100,500
73.7,50,45.4128440366971,31.4465408805031,-1,100,500
1.8,50,66.8918918918917,40.3225806451613,-1,100,500
97.05,50,38.9763779527558,28.2485875706215,-1,100,500
6.9,50,59.6385542168673,37.593984962406,-1,100,500
92.4,50,38.076923076923,27.7777777777778,-1,100,500
82.7,50,43.0434782608695,30.3030303030303,-1,100,500
88.25,50,41.2499999999999,29.4117647058824,-1,100,500
38.65,50,53.2258064516128,34.965034965035,-1,100,500
99.95,50,29.8192771084337,23.1481481481481,-1,100,500
20.3,50,56.8965517241378,36.4963503649635,-1,100,500
99.4,50,30.3680981595091,23.4741784037559,-1,100,500
2.95,50,61.8749999999999,38.4615384615385,-1,100,500
0,50,85.3448275862067,46.2962962962963,-1,100,500
44.5,50,52.1052631578946,34.4827586206897,-1,100,500
4.9,50,63.4615384615383,39.0625,-1,100,500
41.95,50,51.5624999999999,34.2465753424658,-1,100,500
18.7,50,57.5581395348836,36.7647058823529,-1,100,500
59.05,50,48.5294117647057,32.8947368421053,-1,100,500
38.7,50,52.1052631578946,34.4827586206897,-1,100,500
8.5,50,59.6385542168673,37.593984962406,-1,100,500
25.35,50,53.8043478260868,35.2112676056338,-1,100,500
26.15,50,56.8965517241378,36.4963503649635,-1,100,500
0.8,50,65.1315789473683,39.6825396825397,-1,100,500
25.05,50,56.2499999999999,36.231884057971,-1,100,500
56.5,50,49.4999999999999,33.3333333333333,-1,100,500
98,50,37.2180451127819,27.3224043715847,-1,100,500
95,50,38.9763779527558,28.2485875706215,-1,100,500
97,50,37.4999999999999,27.4725274725275,-1,100,500
54.4,50,49.4999999999999,33.3333333333333,-1,100,500
4.6,50,59.6385542168673,37.593984962406,-1,100,500
48.45,50,50.5102040816325,33.7837837837838,-1,100,500
0.5,50,66.8918918918917,40.3225806451613,-1,100,500
55.7,50,49.4999999999999,33.3333333333333,-1,100,500
81.45,50,43.0434782608695,30.3030303030303,-1,100,500
45.4,50,51.0309278350514,34.0136054421769,-1,100,500
63.65,50,48.0582524271843,32.6797385620915,-1,100,500
2,50,63.4615384615383,39.0625,-1,100,500
47.1,50,51.0309278350514,34.0136054421769,-1,100,500
78.65,50,45.4128440366971,31.4465408805031,-1,100,500
44,50,52.1052631578946,34.4827586206897,-1,100,500
43.95,50,51.5624999999999,34.2465753424658,-1,100,500
71.7,50,46.6981132075471,32.0512820512821,-1,100,500
51.6,50,49.9999999999999,33.5570469798658,-1,100,500
46.45,50,51.5624999999999,34.2465753424658,-1,100,500
69.55,50,46.6981132075471,32.0512820512821,-1,100,500
97.8,50,35.1063829787233,26.1780104712042,-1,100,500
24.6,50,56.2499999999999,36.231884057971,-1,100,500
7.4,50,61.8749999999998,38.4615384615385,-1,100,500
7.45,50,61.111111111111,38.1679389312977,-1,100,500
22.9,50,54.3956043956043,35.4609929078014,-1,100,500
4.9,50,62.6582278481011,38.7596899224806,-1,100,500
86.05,50,42.3076923076922,29.940119760479,-1,100,500
60.75,50,48.5294117647058,32.8947368421053,-1,100,500
61.6,50,48.0582524271843,32.6797385620915,-1,100,500
0.4,50,66.8918918918917,40.3225806451613,-1,100,500
38.7,50,52.659574468085,34.7222222222222,-1,100,500
74.05,50,45.4128440366971,31.4465408805031,-1,100,500
97.45,50,37.4999999999999,27.4725274725275,-1,100,500
13.8,50,57.5581395348836,36.7647058823529,-1,100,500
57.95,50,49.0099009900989,33.112582781457,-1,100,500
57.05,50,49.0099009900989,33.112582781457,-1,100,500
8.55,50,60.3658536585364,37.8787878787879,-1,100,500
7.4,50,63.4615384615383,39.0625,-1,100,500
61,50,48.5294117647058,32.8947368421053,-1,100,500
76.15,50,45.4128440366971,31.4465408805031,-1,100,500
5.15,50,59.6385542168673,37.593984962406,-1,100,500
93.45,50,40.2439024390243,28.9017341040462,-1,100,500
22,50,55.6179775280898,35.9712230215827,-1,100,500
2.9,50,61.111111111111,38.1679389312977,-1,100,500
23.2,50,56.2499999999999,36.231884057971,-1,100,500
7.45,50,62.6582278481011,38.7596899224806,-1,100,500
34.85,50,53.2258064516128,34.965034965035,-1,100,500
48.45,50,50.5102040816325,33.7837837837838,-1,100,500
37.65,50,53.8043478260868,35.2112676056338,-1,100,500
17.05,50,57.5581395348836,36.7647058823529,-1,100,500
70.9,50,46.6981132075471,32.0512820512821,-1,100,500
14,50,59.6385542168673,37.593984962406,-1,100,500
86.6,50,43.8053097345132,30.6748466257669,-1,100,500
52.9,50,49.9999999999999,33.5570469798658,-1,100,500
30.75,50,54.3956043956043,35.4609929078014,-1,100,500
20.15,50,54.9999999999999,35.7142857142857,-1,100,500
88.15,50,41.2499999999999,29.4117647058824,-1,100,500
68.8,50,47.142857142857,32.258064516129,-1,100,500
43.15,50,52.1052631578946,34.4827586206897,-1,100,500
97,50,35.3571428571428,26.3157894736842,-1,100,500
2.9,50,63.4615384615383,39.0625,-1,100,500
38,50,53.2258064516128,34.965034965035,-1,100,500
45.6,50,51.5624999999999,34.2465753424658,-1,100,500
75.9,50,45.4128440366972,31.4465408805031,-1,100,500
21.55,50,54.9999999999999,35.7142857142857,-1,100,500
37.95,50,53.2258064516128,34.965034965035,-1,100,500
4.6,50,62.6582278481011,38.7596899224806,-1,100,500
71.55,50,46.6981132075471,32.0512820512821,-1,100,500
80,50,42.6724137931034,30.1204819277108,-1,100,500
91.9,50,40.5737704918032,29.0697674418605,-1,100,500
69.5,50,46.2616822429906,31.8471337579618,-1,100,500
46.75,50,51.0309278350514,34.0136054421769,-1,100,500
12.9,50,60.3658536585364,37.8787878787879,-1,100,500
0.05,50,72.7941176470586,42.3728813559322,-1,100,500
2,50,66.8918918918917,40.3225806451613,-1,100,500
10.9,50,58.9285714285713,37.3134328358209,-1,100,500
72.8,50,46.2616822429905,31.8471337579618,-1,100,500
18,50,56.2499999999999,36.231884057971,-1,100,500
81.1,50,43.8053097345132,30.6748466257669,-1,100,500
74.05,50,46.2616822429905,31.8471337579618,-1,100,500
33.65,50,53.8043478260868,35.2112676056338,-1,100,500
50.25,50,50.5102040816325,33.7837837837838,-1,100,500
57.05,50,49.0099009900989,33.112582781457,-1,100,500
96.75,50,37.7862595419846,27.6243093922652,-1,100,500
24.85,50,54.9999999999999,35.7142857142857,-1,100,500
20.55,50,54.9999999999999,35.7142857142857,-1,100,500
1.2,50,65.9999999999998,40,-1,100,500
79.8,50,45.4128440366972,31.4465408805031,-1,100,500
87.6,50,41.5966386554621,29.5857988165681,-1,100,500
92.7,50,41.5966386554621,29.585798816568,-1,100,500
38.5,50,53.8043478260868,35.2112676056338,-1,100,500
57.1,50,49.4999999999999,33.3333333333333,-1,100,500
57.05,50,49.4999999999999,33.3333333333333,-1,100,500
0.55,50,71.7391304347824,42.0168067226891,-1,100,500
72.45,50,46.2616822429906,31.8471337579618,-1,100,500
93.2,50,39.9193548387096,28.735632183908,-1,100,500
57.65,50,49.0099009900989,33.112582781457,-1,100,500
43.4,50,51.5624999999999,34.2465753424658,-1,100,500
3.95,50,63.4615384615383,39.0625,-1,100,500
10.1,50,58.9285714285713,37.3134328358209,-1,100,500
49.5,50,49.9999999999999,33.5570469798658,-1,100,500
0.5,50,68.7499999999998,40.983606557377,-1,100,500
44.7,50,52.1052631578946,34.4827586206897,-1,100,500
0.2,50,70.7142857142856,41.6666666666667,-1,100,500
93.55,50,41.9491525423728,29.7619047619048,-1,100,500
45.35,50,51.5624999999999,34.2465753424657,-1,100,500
61.15,50,48.5294117647058,32.8947368421053,-1,100,500
0.35,50,68.7499999999998,40.983606557377,-1,100,500
71.4,50,46.2616822429905,31.8471337579618,-1,100,500
79.25,50,45.4128440366971,31.4465408805031,-1,100,500
12.65,50,58.2352941176469,37.037037037037,-1,100,500
91.2,50,42.6724137931033,30.1204819277108,-1,100,500
32.25,50,54.3956043956043,35.4609929078014,-1,100,500
14.9,50,59.6385542168673,37.593984962406,-1,100,500
3.95,50,62.6582278481011,38.7596899224806,-1,100,500
74.55,50,45.8333333333332,31.6455696202532,-1,100,500
3.15,50,67.808219178082,40.650406504065,-1,100,500
35.9,50,52.659574468085,34.7222222222222,-1,100,500
60.8,50,48.5294117647058,32.8947368421053,-1,100,500
13.25,50,59.6385542168673,37.593984962406,-1,100,500
49.45,50,51.0309278350514,34.0136054421769,-1,100,500
44.95,50,51.5624999999999,34.2465753424658,-1,100,500
29.8,50,55.6179775280898,35.9712230215827,-1,100,500
55.2,50,49.4999999999999,33.3333333333333,-1,100,500
90.5,50,42.3076923076922,29.940119760479,-1,100,500
61.6,50,48.0582524271843,32.6797385620915,-1,100,500
2.35,50,65.1315789473683,39.6825396825397,-1,100,500
80.2,50,44.1964285714285,30.8641975308642,-1,100,500
51.25,50,50.5102040816325,33.7837837837838,-1,100,500
43.3,50,52.1052631578946,34.4827586206897,-1,100,500
46.95,50,51.5624999999999,34.2465753424658,-1,100,500
36.6,50,53.8043478260868,35.2112676056338,-1,100,500
39.65,50,51.5624999999999,34.2465753424658,-1,100,500
31.6,50,53.8043478260868,35.2112676056338,-1,100,500
34.4,50,54.3956043956043,35.4609929078014,-1,100,500
75.8,50,45.8333333333332,31.6455696202532,-1,100,500
19.9,50,56.8965517241378,36.4963503649635,-1,100,500
44.6,50,51.5624999999999,34.2465753424658,-1,100,500
6.7,50,61.111111111111,38.1679389312977,-1,100,500
83.25,50,44.1964285714285,30.8641975308642,-1,100,500
12.4,50,58.2352941176469,37.037037037037,-1,100,500
22,50,56.8965517241378,36.4963503649635,-1,100,500
1.75,50,66.8918918918917,40.3225806451613,-1,100,500
