"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
1,100,33.9981024667932,28,59.638408765863,24.6478964318971,1,3162,50
0.9975,100,37.3979759645794,31,68.2162341641316,25.9773821717217,1,3162,50
0.989,100,41.1217979127135,31,83.5419769485796,26.0588966196739,1,3162,50
0.844,100,71.4881404174573,34,177.543452954981,33.6435829711454,1,3162,50
0.759,100,83.982605945604,29,175.983678317483,45.0222614926885,1,3162,50
0.9915,100,42.1217979127135,32,80.0686433088737,27.8342188939465,1,3162,50
0.9185,100,64.2404332700822,34,138.879220428256,37.1595018956821,1,3162,50
0.999,100,37.3316466371495,32,62.409639209437,27.4203918976091,1,3162,50
0.9915,100,40.2461258697027,28,78.3088150827849,24.4492720720322,1,3162,50
0.993,100,42.663293274299,32,79.5421101327184,28.6825671219657,1,3162,50
0.9975,100,40.3316466371495,35,68.2304089831318,29.8412881735176,1,3162,50
1,100,30.1240117014548,27,49.8774960918283,21.8850862246556,1,3162,50
0.999,100,38.5699828318424,34,62.1170724867501,29.0012834291916,1,3162,50
1,100,28.6426538357278,28,43.5454429125817,22.6511038866487,1,3162,50
1,100,27.1246442125237,26,41.4901386733457,21.4958312729662,1,3162,50
0.9735,100,50.1202166350411,35,101.760391606195,32.2823713658412,1,3162,50
0.999,100,37.9971537001898,29,66.2631317761827,26.3991611879474,1,3162,50
0.992,100,42.663293274299,32,82.1581742514658,29.1733545171205,1,3162,50
1,100,31.7851495436884,30,52.4210774756893,24.4286676085166,1,3162,50
0.944,100,55.9924098671727,32,127.875305637631,31.5051601600855,1,3162,50
0.996,100,36.9971537001898,28,68.5183088832352,25.0308009768468,1,3162,50
0.9985,100,37.9974699557242,30,70.1913294229027,25.9534261970962,1,3162,50
1,100,30.9993674889311,29,45.6173051833278,24.7896117403592,1,3162,50
0.9845,100,44.4957305502846,31,90.4018377685034,28.4204968450373,1,3162,50
1,100,33.8984503478811,29,58.8465572347218,24.6064402201741,1,3162,50
1,100,32.165348935273,28,56.9226086995058,23.5991847062526,1,3162,50
0.986,100,45.4957305502846,32,89.9561753535912,29.9745181745906,1,3162,50
0.981,100,43.4957305502846,30,93.8241178946982,25.8443582489044,1,3162,50
0.8865,100,68.6563356525406,36,165.322259390311,37.6943867358727,1,3162,50
0.996,100,40.7478652751423,34,67.2334407993798,29.9106493171955,1,3162,50
0.797,100,80.9841872232764,31,160.876663283391,45.5775909662924,1,3162,50
0.993,100,41.3306978705461,33,75.4291915373265,28.191920822589,1,3162,50
0.9965,100,37.3979759645794,31,67.418934521927,25.9304778489353,1,3162,50
0.9995,100,35.9981024667932,30,62.0944166711076,26.6037462093745,1,3162,50
0.9815,100,44.4960468058191,32,89.9014774821353,28.5859598772439,1,3162,50
0.9965,100,38.1230629348514,32,68.0872281131029,27.5984551845767,1,3162,50
0.9985,100,38.8984503478811,34,62.0092888934952,30.1619047785589,1,3162,50
0.971,100,48.6613957410921,32,103.80619244372,29.494786160777,1,3162,50
0.8225,100,75.2366382036686,33,179.837287385389,34.5060492449713,1,3162,50
0.9975,100,37.3316466371495,32,60.9588250305816,27.7180755049649,1,3162,50
0.9875,100,44.4957305502846,31,86.0448637571471,28.5614671727069,1,3162,50
0.9995,100,31.1240117014548,28,51.1580221587829,23.665454163843,1,3162,50
1,100,35.4985768500949,31,57.3597333007038,26.7684619534552,1,3162,50
0.994,100,41.4960468058191,29,74.4362888617613,28.9478321887695,1,3162,50
0.9985,100,35.8984503478811,31,60.7694437678835,26.6792793150056,1,3162,50
0.8845,100,71.4871916508539,31,144.388239304131,43.5019068141459,1,3162,50
0.9405,100,58.9898798228969,27,120.832068518456,32.2585074811376,1,3162,50
0.9875,100,42.4957305502846,29,89.4611926125154,24.6461493909257,1,3162,50
1,100,28.5623221062619,28,44.6437226228753,22.7493835969424,1,3162,50
0.998,100,37.1230629348514,31,65.7653937493212,26.5265417569113,1,3162,50
