"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.7765,2.99,2.9810832457398,2.98102418916902,3.00311731127558,2.95890451924362,-1,1e+05,50
0.5825,2.99,2.98725730652371,2.98719794321432,3.00916986165802,2.96456663323212,-1,1e+05,50
0.5025,2.99,2.99025768788364,2.99019817523455,3.01288962808901,2.96814544958948,-1,1e+05,50
0.7915,2.99,2.98036818342962,2.98030916233519,3.00300715023429,2.95837261038938,-1,1e+05,50
0.9405,2.99,2.9714368636881,2.97137828484124,2.99434418692355,2.94876568997742,-1,1e+05,50
0.517,2.99,2.98923075388252,2.98917129236789,3.01085934920055,2.96632278715508,-1,1e+05,50
0.9535,2.99,2.97183312558139,2.97177452714685,2.99356449601074,2.95004008487217,-1,1e+05,50
1,2.99,2.9473433871224,2.94728599334351,2.96867926952831,2.92584172949897,-1,1e+05,50
0.8175,2.99,2.97926912053562,2.97921015394902,3.00063442197377,2.95663432292699,-1,1e+05,50
0.9025,2.99,2.97573898830525,2.97568019663142,2.99777389905974,2.95375033363598,-1,1e+05,50
0.467,2.99,2.99072278205731,2.99066324624272,3.01316595087261,2.96852998149805,-1,1e+05,50
0.977,2.99,2.96799720969381,2.96793880074103,2.98965521962694,2.94709984573765,-1,1e+05,50
0.663,2.99,2.98545290624646,2.98539363266182,3.00872381737488,2.9636049768645,-1,1e+05,50
0.9745,2.99,2.96796210586334,2.9679036986432,2.99003946517323,2.94561337604037,-1,1e+05,50
0.388,2.99,2.99344688111761,2.99338720953364,3.01717050767729,2.97130778786128,-1,1e+05,50
0.1435,2.99,3.00187221077278,3.00181211833017,3.02495576692419,2.98028271554548,-1,1e+05,50
0.611,2.99,2.98677209685734,2.98671275768166,3.0087819824706,2.9648968005638,-1,1e+05,50
0.789,2.99,2.98088645375351,2.98082740694717,3.00232872230779,2.95920947825644,-1,1e+05,50
0.671,2.99,2.98507348094244,2.98501422621662,3.00728215554296,2.9623959169375,-1,1e+05,50
0.8505,2.99,2.97867548056341,2.97861654340821,2.99889200360455,2.95663598274791,-1,1e+05,50
0.324,2.99,2.99494320287092,2.99488345664695,3.01675888124478,2.97225853431444,-1,1e+05,50
0.4975,2.99,2.99048309191943,2.99042356804393,3.01269567643741,2.96892717036099,-1,1e+05,50
0.8175,2.99,2.97951814351472,2.97945916457997,3.00175647379414,2.95575656937289,-1,1e+05,50
0.606,2.99,2.9869874521269,2.98692810224028,3.00884126190404,2.96525268957731,-1,1e+05,50
0.68,2.99,2.98482837695307,2.9847691344083,3.00714467279743,2.96291655791645,-1,1e+05,50
0.7675,2.99,2.98201836040146,2.98195925742148,3.00367793102551,2.96058233788712,-1,1e+05,50
0.7255,2.99,2.98300597968679,2.98294682767283,3.00446349334987,2.96064213151025,-1,1e+05,50
0.5525,2.99,2.988337597665,2.98827818060641,3.0108254777867,2.9652157451623,-1,1e+05,50
0.9215,2.99,2.97404851316686,2.97398980516533,2.99573622520035,2.95198831392051,-1,1e+05,50
0.9285,2.99,2.97352923118397,2.97347054887351,2.99548402769617,2.95119008335301,-1,1e+05,50
0.6435,2.99,2.98590984678969,2.98585055048959,3.00823639612419,2.96365031599166,-1,1e+05,50
0.9265,2.99,2.9729312297085,2.972872576977,2.99587218223061,2.95159099355972,-1,1e+05,50
0.8595,2.99,2.97790585929255,2.97784696028303,2.99957327978104,2.95659642884937,-1,1e+05,50
0.3915,2.99,2.99334918096885,2.99328951425683,3.01622367669735,2.97129466810213,-1,1e+05,50
0.9275,2.99,2.97379642222186,2.97373772669301,2.99515852679274,2.95230589899883,-1,1e+05,50
0.7965,2.99,2.98054226043567,2.98048323070572,3.00334624247808,2.95895643409556,-1,1e+05,50
0.8415,2.99,2.9788062346571,2.97874729101998,3.00087798392744,2.95770820974505,-1,1e+05,50
0.4595,2.99,2.99085415945678,2.99079461709774,3.01244719869993,2.96887677322876,-1,1e+05,50
0.633,2.99,2.98604215698491,2.98598285410664,3.00784533321878,2.96436740535926,-1,1e+05,50
0.198,2.99,2.99959277601184,2.9995327975707,3.02270265969257,2.97698900735404,-1,1e+05,50
0.97,2.99,2.96922459855393,2.96916612900413,2.99114964789932,2.94765847382665,-1,1e+05,50
0.6105,2.99,2.98669001080552,2.98663067571222,3.00918781696947,2.96473621291195,-1,1e+05,50
0.9845,2.99,2.96617503482915,2.96611671578276,2.98808173051944,2.94377467079239,-1,1e+05,50
0.986,2.99,2.96538583306176,2.96532755293414,2.9873447193381,2.9429660391597,-1,1e+05,50
0.7595,2.99,2.98228133725737,2.98222222122285,3.00405184934982,2.96049196499995,-1,1e+05,50
0.4545,2.99,2.99158062787762,2.99152104932392,3.01533165464021,2.96953410450378,-1,1e+05,50
0.7285,2.99,2.98276865474146,2.98270951451215,3.00547975775904,2.95978391062964,-1,1e+05,50
0.991,2.99,2.96394181475534,2.96388360580588,2.98620478539043,2.94136714845808,-1,1e+05,50
0.5945,2.99,2.98761574164522,2.98755636050468,3.01093484997536,2.96660721479534,-1,1e+05,50
0.1595,2.99,3.00204056441604,3.00198046354943,3.02427486293188,2.97980441728863,-1,1e+05,50
