"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.3395,200,200.499995,200,203.2628961475,198.2629161475,1,1e+05,50
0.1225,200,200.99999,200,203.78284676125,199.78286676125,1,1e+05,50
0.3565,200,200,200,200.820495405,199.320500405,1,1e+05,50
0.3905,200,200,200,200.85137043125,199.35137543125,1,1e+05,50
0.0625,200,200,200,200.53087032625,199.03087532625,1,1e+05,50
0.3945,200,200,200,201.299991115,199.300001115,1,1e+05,50
0.3845,200,200,200,202.2077321325,198.2077521325,1,1e+05,50
0.1025,200,200,200,201.02261582375,199.02262582375,1,1e+05,50
0.066,200,200,200,200.53887027125,199.03887527125,1,1e+05,50
0.958,200,199,199,200.29986605125,198.29987605125,1,1e+05,50
0.185,200,200,200,201.0629079825,199.0629179825,1,1e+05,50
0.36,200,200.499995,200,204.2967195375,198.2967495375,1,1e+05,50
0.392,200,200,200,201.2922411825,199.2922511825,1,1e+05,50
0.3815,200,200,200,201.2852410825,199.2852510825,1,1e+05,50
0.1825,200,200,200,201.08761599875,199.08762599875,1,1e+05,50
0.3595,200,200,200,200.818495445,199.318500445,1,1e+05,50
0.961,200,199,199,200.0867408875,198.0867508875,1,1e+05,50
0.9955,200,199,199,199.14350012,198.14350012,1,1e+05,50
0.9965,200,199,199,199.0087500925,199.0087500925,1,1e+05,50
0.1915,200,200,200,201.03728332375,199.03729332375,1,1e+05,50
0.142,200,200,200,200.58599556,199.08600056,1,1e+05,50
0.9985,200,199,199,199.00650005,199.00650005,1,1e+05,50
0.181,200,200,200,201.07561613375,199.07562613375,1,1e+05,50
0.189,200,200,200,201.071157935,199.071167935,1,1e+05,50
0.171,200,200,200,201.07761599375,199.07762599375,1,1e+05,50
0.176,200,200,200,201.0842409525,199.0842509525,1,1e+05,50
0.9975,200,199,199,199.12862508875,198.12862508875,1,1e+05,50
0.999,200,199,199,199.01000005,199.01000005,1,1e+05,50
1,200,199,199,199.04450001,198.04450001,1,1e+05,50
1,200,199,199,199.0035,199.0035,1,1e+05,50
0.988,200,199,199,199.84737031625,198.34737531625,1,1e+05,50
0.3855,200,200,200,200.37387512625,199.37387512625,1,1e+05,50
0.337,200,200.499995,200,204.20451158125,198.20454158125,1,1e+05,50
0.376,200,200,200,200.83337044625,199.33337544625,1,1e+05,50
0.9955,200,199,199,199.0092501225,199.0092501225,1,1e+05,50
0.997,200,199,199,199.1335001,198.1335001,1,1e+05,50
0.345,200,200.499995,200,204.2253865975,198.2254165975,1,1e+05,50
0.123,200,200.99999,200,204.44108904875,199.44111904875,1,1e+05,50
0.4755,200,200.499995,200,203.963993183125,197.964023183125,1,1e+05,50
0.018,200,200,200,200.01237505625,200.01237505625,1,1e+05,50
0.388,200,200,200,201.32986563125,199.32987563125,1,1e+05,50
0.9355,200,199,199,200.13211645375,198.13212645375,1,1e+05,50
0.267,200,200,200,202.0238995675,198.0239195675,1,1e+05,50
0.2535,200,200,200,202.04252402625,199.04254402625,1,1e+05,50
0.406,200,200,200,201.30186617125,199.30187617125,1,1e+05,50
0.144,200,200.99999,200,202.99885568625,199.99886568625,1,1e+05,50
0.9955,200,199,199,199.1107501025,198.1107501025,1,1e+05,50
0.3795,200,200,200,201.32149064,199.32150064,1,1e+05,50
0.389,200,200,200,201.28161622875,199.28162622875,1,1e+05,50
0.056,200,200,200,200.536995195,199.037000195,1,1e+05,50
