"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.3415,25.75,25.9727643135933,25.9080647142004,27.0014274750258,24.9686503013283,-1,10000,50
0.0735,25.75,26.5532834294128,26.4856040147938,27.6197330615609,25.4921649326428,-1,10000,50
0.8195,25.75,25.2625674893824,25.2014223682785,26.2505344722868,24.2560306591239,-1,10000,50
0.989,25.75,24.6510905500455,24.5929255990222,25.6085700808931,23.6374352208023,-1,10000,50
0.6785,25.75,25.5141096930652,25.4517170746407,26.5433267536371,24.5099654285037,-1,10000,50
0.331,25.75,25.9960742002159,25.9312562397085,27.0579775673742,24.9724230560539,-1,10000,50
0.6235,25.75,25.5888585204067,25.5260927720316,26.5935653906329,24.6235942318792,-1,10000,50
0.249,25.75,26.1059453882107,26.0405680802008,27.1069458356552,25.0528197102905,-1,10000,50
0.133,25.75,26.3195577029784,26.2530860502652,27.3771183964446,25.2939559592929,-1,10000,50
0.2535,25.75,26.0952624532522,26.02993963657,27.1626994532651,25.1053845639833,-1,10000,50
0.126,25.75,26.3569103659444,26.2902464237378,27.423529169932,25.3361523492279,-1,10000,50
0.6685,25.75,25.5381424762217,25.4756300123302,26.5869406501856,24.5024605450832,-1,10000,50
0.4355,25.75,25.8305347455439,25.7665550115949,26.8634781641007,24.8316282096878,-1,10000,50
0.793,25.75,25.341356871388,25.2798223536324,26.3626974365006,24.3251742737826,-1,10000,50
0.0225,25.75,26.8321337275547,26.7629991901516,27.8957306985608,25.7847021312421,-1,10000,50
0.8005,25.75,25.3318294855504,25.2703421199998,26.3904489852794,24.3078952357277,-1,10000,50
0.2445,25.75,26.1197207418117,26.0542731352826,27.2154195759296,25.071613784427,-1,10000,50
0.42,25.75,25.859928619459,25.7958004436878,26.9335948885767,24.7692887079002,-1,10000,50
0.358,25.75,25.9403809674033,25.8758456226349,26.946700504187,24.9220931374885,-1,10000,50
0.763,25.75,25.3939116579363,25.3321167162078,26.3711892853372,24.3797716294176,-1,10000,50
0.9045,25.75,25.0785287263148,25.0182883687976,26.0927406028576,24.1173258977967,-1,10000,50
0.4625,25.75,25.8009812578411,25.7371505988778,26.9293622907434,24.7616898386671,-1,10000,50
0.636,25.75,25.5900504123226,25.5272787052973,26.6738498785087,24.6546164975329,-1,10000,50
0.308,25.75,26.0101532983653,25.9452637958751,27.015054773736,25.0095704978531,-1,10000,50
0.5995,25.75,25.6135441572993,25.5506549399381,26.5793732324493,24.596776494891,-1,10000,50
0.2215,25.75,26.1481493104044,26.0825565078587,27.2380082733653,25.1645039467174,-1,10000,50
0.1205,25.75,26.37875770007,26.3119811606215,27.4249840886245,25.4053112984632,-1,10000,50
0.8735,25.75,25.1462906014891,25.0857178980577,26.1738715427204,24.0743379126224,-1,10000,50
0.433,25.75,25.8305614369016,25.7665815682366,26.8905195608979,24.7713630636678,-1,10000,50
0.1205,25.75,26.3448271501111,26.2782254419472,27.4032116403394,25.3104953651392,-1,10000,50
0.799,25.75,25.2884179602144,25.2271452155205,26.3365345013101,24.2243347818189,-1,10000,50
0.177,25.75,26.2306968671644,26.1646815522773,27.2530838172531,25.2230233911244,-1,10000,50
0.8585,25.75,25.1918932442191,25.1310963641838,26.1963050921822,24.1625706532572,-1,10000,50
0.4495,25.75,25.8180625737503,25.7541457736159,26.9007453540875,24.7770448694984,-1,10000,50
0.218,25.75,26.1202802463912,26.054829783797,27.1110993299114,25.0908784614735,-1,10000,50
0.6625,25.75,25.5170917813988,25.454684298278,26.5751464532879,24.5009076541955,-1,10000,50
0.996,25.75,24.411060878974,24.3540454748479,25.4096646074392,23.4580295267958,-1,10000,50
0.8885,25.75,25.1055669127761,25.045194052668,26.1096906899007,24.1199053821227,-1,10000,50
0.4865,25.75,25.779694603822,25.7159712125132,26.8462619054754,24.8035428755586,-1,10000,50
0.743,25.75,25.4098639775599,25.3479898790546,26.4068747468004,24.3796095206019,-1,10000,50
0.5765,25.75,25.6509844806285,25.5879077688982,26.6715973965782,24.6114229858221,-1,10000,50
0.0575,25.75,26.5896906777859,26.5218221552694,27.7061102255487,25.5504778607159,-1,10000,50
0.665,25.75,25.5271891753894,25.4647313470843,26.4920815552095,24.5290055434475,-1,10000,50
0.402,25.75,25.8875126861499,25.8232450522663,26.9500337985556,24.8798572395851,-1,10000,50
0.693,25.75,25.4978051844263,25.4354938072203,26.5302782653826,24.4951049346543,-1,10000,50
0.4435,25.75,25.8338982910718,25.7699015795919,26.8208528062257,24.8212097017229,-1,10000,50
0.3395,25.75,25.9959119939975,25.9310948575009,27.0621021935167,24.9348750859187,-1,10000,50
0.177,25.75,26.2682806111244,26.2020724791248,27.3565305479207,25.1754936857958,-1,10000,50
0.9985,25.75,24.4010766831717,24.3441088473795,25.3635605299808,23.4563055088172,-1,10000,50
0.9295,25.75,24.9890162289903,24.9292134982717,26.0255191010101,23.9983075972022,-1,10000,50
