"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.0125,92.2018107716651,107.352142097458,74.0476492019428,122.794828906671,93.8203778636567,0,178,50
0.7675,92.2018107716651,88.6428155856482,66.5044046813636,98.7155908561816,79.0522009449555,0,178,50
0.299,92.2018107716651,95.5052388494626,69.4472959655667,107.755316671519,84.4527799152573,0,178,50
0.541,92.2018107716651,91.8958607305873,65.3877342307384,105.283462302255,80.4431857431529,0,178,50
0.588,92.2018107716651,91.2339099961268,66.6097276928231,103.465761777565,80.3592267876052,0,178,50
0.4305,92.2018107716651,93.7179716414951,64.9115328650807,108.571983353889,80.5392533498785,0,178,50
0.6395,92.2018107716651,90.4901133435612,65.7436208515524,103.068728207042,79.5747434644398,0,178,50
0.032,92.2018107716651,106.116425764651,71.6079843272489,121.901954410443,91.4872062041316,0,178,50
0.877,92.2018107716651,86.7026437644566,65.3557364069704,96.9608610466128,77.5989748660263,0,178,50
0.6545,92.2018107716651,89.9969924310253,65.0608621520838,102.101755248252,78.7348800526304,0,178,50
0.873,92.2018107716651,85.5786089495984,62.5534246718811,96.6814027193231,74.9874102026465,0,178,50
0.176,92.2018107716651,98.5317590351915,69.1670253621061,112.010119932548,86.4713493779286,0,178,50
0.2475,92.2018107716651,96.1503277504276,69.8296316178631,107.925307431923,85.6610688990788,0,178,50
0.488,92.2018107716651,92.5560179476493,67.2849550743489,104.381838438928,81.4607418737081,0,178,50
0.7155,92.2018107716651,89.6273548163373,68.586404685572,98.6335975937428,81.092626367812,0,178,50
0.533,92.2018107716651,91.8098561877517,65.3262520398572,104.793486890221,80.2915479615865,0,178,50
0.785,92.2018107716651,88.2838425348511,66.3457970511109,98.2167350081393,79.0637930478239,0,178,50
0.2905,92.2018107716651,96.089027341921,67.0522485729965,110.439394092164,83.7534093852965,0,178,50
0.862,92.2018107716651,87.2124127219072,66.3367722746043,97.3430101018505,78.3600825393281,0,178,50
0.586,92.2018107716651,91.1163846067578,67.7472669502057,101.650236465065,81.0544827953019,0,178,50
0.109,92.2018107716651,99.8765052588345,71.3609357338933,112.079238761569,87.9869114947965,0,178,50
0.5055,92.2018107716651,92.1939593124673,68.9690823616198,102.881633142174,82.7898262280497,0,178,50
0.2035,92.2018107716651,97.6269435976911,69.6246621016173,110.645929495186,86.1236220152533,0,178,50
0.813,92.2018107716651,87.6751469554477,65.1033229403337,98.8236284672017,77.392330136349,0,178,50
0.8025,92.2018107716651,88.0826608050237,66.3200012046751,98.3235160281056,78.7907011863633,0,178,50
0.3735,92.2018107716651,94.3284778020744,68.1381976353394,106.659404951869,82.9486999141802,0,178,50
0.805,92.2018107716651,87.5013007896868,64.4079542985789,98.9237812155046,77.3854230780185,0,178,50
0.043,92.2018107716651,105.785923311371,70.1627196361055,122.728547254751,89.7967621821355,0,178,50
0.8825,92.2018107716651,86.6094789380601,67.0867380553969,95.6730133412204,78.1186882479199,0,178,50
0.1365,92.2018107716651,102.025689812487,66.0996233079581,122.651781712943,86.4091799160366,0,178,50
0.052,92.2018107716651,102.24167411478,73.0121333667721,116.193569892671,90.5586683040238,0,178,50
0.4635,92.2018107716651,92.7838100411685,67.5856951938905,104.429480331808,82.1906294119208,0,178,50
0.619,92.2018107716651,90.8017170753261,68.8150735773381,100.728011999844,81.6420372758511,0,178,50
0.3415,92.2018107716651,95.3725245661932,66.3607889559324,109.826058045071,81.9561201819235,0,178,50
0.919,92.2018107716651,84.9934239362232,63.5096318331974,95.3851030090229,75.276400205141,0,178,50
0.206,92.2018107716651,98.8398378939497,65.7543342546769,117.043055864506,83.7137654842829,0,178,50
0.3355,92.2018107716651,94.7089473664855,69.1495387558187,106.458926728437,84.0587618953229,0,178,50
0.513,92.2018107716651,92.140419535344,69.4586129095978,102.267392484419,82.7262533330466,0,178,50
1,92.2018107716651,75.0794241994638,58.137334327374,83.8255934535547,66.1706006715449,0,178,50
0.655,92.2018107716651,90.0282068956103,64.6350036167059,102.116275453889,78.9907814587217,0,178,50
0.046,92.2018107716651,103.118124475203,72.0327746325704,117.560258372042,90.6115481502556,0,178,50
0.5025,92.2018107716651,92.4727085569868,66.167781910827,105.752705247383,81.0878033407625,0,178,50
0.9465,92.2018107716651,83.9237935960621,63.3128959867238,94.2822765291735,74.1364135917381,0,178,50
0.6055,92.2018107716651,90.7830732977742,66.7043475437583,102.051605176118,80.19584599272,0,178,50
0.5735,92.2018107716651,91.2839400427544,66.9293006992374,103.411955768959,81.1341347776058,0,178,50
0.989,92.2018107716651,81.8169320191367,63.618186087314,90.2733253386714,73.2981438630123,0,178,50
0.1815,92.2018107716651,98.6451234081527,68.351619795919,113.132994983656,85.1647196565964,0,178,50
0.453,92.2018107716651,93.3611769763237,65.837010388192,107.128092074959,80.4419566341444,0,178,50
0.776,92.2018107716651,88.4093627291817,66.7949367571282,98.658477343307,78.8851614887006,0,178,50
0.2245,92.2018107716651,96.7680762334572,69.9946393079141,108.989021560716,85.6328147957724,0,178,50
