"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.2265,1.99,1.99535953906618,1.99533967826236,2.00935772972511,1.98107531789065,-1,1e+05,50
0.49,1.99,1.99027049960035,1.9902507907339,2.00432115116124,1.97655129699029,-1,1e+05,50
0.4735,1.99,1.99046571877019,1.99044600408486,2.00486792971684,1.97651399726875,-1,1e+05,50
0.0565,1.99,2.00191466073811,2.00189460346257,2.01602893708212,1.98716833023978,-1,1e+05,50
0.986,1.99,1.97380004595835,1.97378082527976,1.98769371542751,1.95980793944556,-1,1e+05,50
0.827,1.99,1.98349269145375,1.98347318413994,1.9977521632469,1.96915027333488,-1,1e+05,50
0.298,1.99,1.99385807889071,1.99383826296804,2.00777451190485,1.97993039955444,-1,1e+05,50
0.676,1.99,1.98664070890661,1.98662110809403,2.00072108631588,1.97231844907635,-1,1e+05,50
0.18,1.99,1.99663639834519,1.99661649933842,2.01083159838609,1.98225560185642,-1,1e+05,50
0.8205,1.99,1.98331614207461,1.98329663999859,1.99751331850936,1.96921591150184,-1,1e+05,50
0.049,1.99,2.00222190789249,2.00220184138699,2.01650024988431,1.98822968038012,-1,1e+05,50
0.558,1.99,1.98906231937579,1.98904264650446,2.00336283953848,1.97451141587056,-1,1e+05,50
0.927,1.99,1.97979740751482,1.9797780097012,1.99380763203363,1.96540522171417,-1,1e+05,50
0.856,1.99,1.98218520978509,1.98216574124634,1.99670599001591,1.96732766056188,-1,1e+05,50
0.432,1.99,1.99143097402304,1.99141123055527,2.00596026452315,1.97754974427633,-1,1e+05,50
0.794,1.99,1.9840971806422,1.98407765538994,1.9980651704285,1.9704210073139,-1,1e+05,50
0.4065,1.99,1.99162893655545,1.99160918718245,2.00545384623525,1.97760348516833,-1,1e+05,50
0.0725,1.99,2.0002690964922,2.00024908861871,2.01438764022324,1.98677857585232,-1,1e+05,50
0.844,1.99,1.98298590832853,1.98296641604809,1.9971507413081,1.96858631561846,-1,1e+05,50
0.4545,1.99,1.99090011696739,1.99088038933128,2.00615383375118,1.97681008604049,-1,1e+05,50
0.0975,1.99,1.9995933298396,1.99957334223784,2.01417957756515,1.98541742504135,-1,1e+05,50
0.3385,1.99,1.9927555000796,1.99273571708618,2.00656153216623,1.97852842672922,-1,1e+05,50
0.6195,1.99,1.98781491383637,1.98779527809815,2.00223329660911,1.97393299866942,-1,1e+05,50
0.422,1.99,1.99169382631593,1.9916740750071,2.005872336847,1.97798104955204,-1,1e+05,50
0.431,1.99,1.99119585224149,1.99117611578642,2.00516653197082,1.97700757890078,-1,1e+05,50
0.3545,1.99,1.99258962456378,1.99256984652221,2.00671949403261,1.97905682824946,-1,1e+05,50
0.172,1.99,1.99667822739214,1.99665832713332,2.01078051079733,1.98176822389161,-1,1e+05,50
0.2065,1.99,1.99609733199507,1.99607744912084,2.01052905189039,1.98159653321985,-1,1e+05,50
0.175,1.99,1.99696823880158,1.99694832986099,2.01188583987593,1.98283179382183,-1,1e+05,50
0.4275,1.99,1.99129421676784,1.9912744773791,2.00548171179238,1.9770691514044,-1,1e+05,50
0.164,1.99,1.99715830450427,1.99713838987295,2.01064987516739,1.98321034673586,-1,1e+05,50
0.777,1.99,1.98451201795903,1.98449248039205,1.99920337788053,1.96975710277177,-1,1e+05,50
0.8415,1.99,1.98313343299808,1.98311393634195,1.99758226008242,1.96877169032809,-1,1e+05,50
0.268,1.99,1.99422549004739,1.99420566314636,2.0079933736846,1.97993448888939,-1,1e+05,50
0.5365,1.99,1.9892951345762,1.98927545477091,2.00391779149061,1.97533419405684,-1,1e+05,50
0.887,1.99,1.98140724432257,1.98138779883918,1.99522404636878,1.96713931249077,-1,1e+05,50
0.7395,1.99,1.98554127804863,1.98552170991259,2.00015399385514,1.97137243290689,-1,1e+05,50
0.6175,1.99,1.98794914725451,1.98792950752189,2.00208609478406,1.97421065669048,-1,1e+05,50
0.9895,1.99,1.97357329797369,1.97355408397811,1.98782400522988,1.95966591450221,-1,1e+05,50
0.1385,1.99,1.99791319077078,1.99789325353044,2.01260920672359,1.98306194792828,-1,1e+05,50
0.5565,1.99,1.98903705090716,1.98901737878833,2.00291908619216,1.97515080017313,-1,1e+05,50
0.082,1.99,1.99998390716857,1.99996390785133,2.01412034470436,1.98643288331141,-1,1e+05,50
0.697,1.99,1.98639734233142,1.9863777487541,1.99996800154118,1.97257793202737,-1,1e+05,50
0.2165,1.99,1.99555128102424,1.99553141448567,2.00965049865576,1.98168879410364,-1,1e+05,50
0.0345,1.99,2.00386988978671,2.0038497737422,2.01870721179479,1.98870812905009,-1,1e+05,50
0.766,1.99,1.98455861419141,1.98453907524099,1.99824237102,1.97064041739459,-1,1e+05,50
0.904,1.99,1.98097888947707,1.98095945668298,1.9949202268679,1.96698389611269,-1,1e+05,50
0.6255,1.99,1.98765714821528,1.98763751717127,2.0012684027982,1.97323070539698,-1,1e+05,50
0.752,1.99,1.98532282456354,1.98530326291734,1.99855841167421,1.97103208635125,-1,1e+05,50
0.0155,1.99,2.00567183030118,2.00565166002742,2.01998213798276,1.99166087539304,-1,1e+05,50
