"p","truediv","chaoest","obsD","upper","lower","l","inds","reps"
0.3975,1.99,1.99250590096083,1.99247073470979,2.01148727402705,1.97440099083376,-1,56234,50
0.507,1.99,1.98979190532121,1.98975688299921,2.00916461741852,1.97062588022269,-1,56234,50
0.0725,1.99,2.0036688988822,2.00363313787879,2.02346539508992,1.98585432997804,-1,56234,50
0.0475,1.99,2.0065079620917,2.00647204911924,2.02589559844082,1.98676713305531,-1,56234,50
0.8215,1.99,1.98121619329724,1.98118162404215,2.00006639576392,1.96310633872269,-1,56234,50
0.3225,1.99,1.99470643649513,1.99467115335264,2.01412605947917,1.97621658317226,-1,56234,50
0.4185,1.99,1.99201341344555,1.99197827333164,2.01036443878043,1.97370264834007,-1,56234,50
0.7515,1.99,1.98362970152343,1.98359500502376,2.00189585660619,1.9648754206453,-1,56234,50
0.083,1.99,2.00357008689892,2.00353433117956,2.02257916160208,1.98504465028907,-1,56234,50
0.4155,1.99,1.99188305486836,1.99184792167134,2.01073019912085,1.97294917465052,-1,56234,50
0.8775,1.99,1.97877617065006,1.97874172982684,1.99715650156862,1.96044926324595,-1,56234,50
0.0185,1.99,2.00973535993843,2.00969927386205,2.02833325619632,1.99104063489534,-1,56234,50
0.3705,1.99,1.99320043218133,1.9931652290557,2.01202305775609,1.97539077036193,-1,56234,50
0.7675,1.99,1.9832703407448,1.98323566320442,2.00217258175998,1.96448994141749,-1,56234,50
0.5595,1.99,1.98854708785086,1.98851213145657,2.00713832228774,1.97021042376721,-1,56234,50
0.6985,1.99,1.98490311614471,1.9848683524248,2.00381334528033,1.96567687648843,-1,56234,50
0.3475,1.99,1.99353871491481,1.9935034938226,2.01189357945989,1.97587694740978,-1,56234,50
0.9055,1.99,1.97777387655427,1.97773948842597,1.99635483984121,1.95908543610673,-1,56234,50
0.854,1.99,1.98008086217283,1.98004635270283,1.99798468945922,1.9622454366704,-1,56234,50
0.5775,1.99,1.98797860088471,1.98794367458017,2.00627343686046,1.96932050520057,-1,56234,50
0.0205,1.99,2.0087403324616,2.00870429979377,2.02711122068597,1.9907776354323,-1,56234,50
0.383,1.99,1.9928263403511,1.99279115708917,2.01130007026509,1.97263103499418,-1,56234,50
0.3265,1.99,1.99430474233224,1.99426948054041,2.01339217682624,1.97549401666044,-1,56234,50
0.5335,1.99,1.98919552768372,1.98916053695379,2.00861638909923,1.97071416604152,-1,56234,50
0.918,1.99,1.97673653198799,1.97670219835977,1.99537575810543,1.95883847420431,-1,56234,50
0.1105,1.99,2.00232582753548,2.00229013832398,2.02152002323921,1.9831151024153,-1,56234,50
0.1665,1.99,1.9990799535126,1.99904443753964,2.01756034075998,1.9802352418423,-1,56234,50
0.267,1.99,1.99592889540129,1.99589354724794,2.01509464424682,1.97680098282986,-1,56234,50
0.5855,1.99,1.98798801926295,1.98795309245999,2.00696071469761,1.96909851490321,-1,56234,50
0.3025,1.99,1.99475087895807,1.99471559345305,2.01425959515089,1.97701419423807,-1,56234,50
0.2075,1.99,1.99795442162703,1.99791896563838,2.01644224283403,1.97844512886331,-1,56234,50
0.5105,1.99,1.98982166722904,1.9897866433301,2.00965474707821,1.97074901882019,-1,56234,50
0.079,1.99,2.0037265955512,2.00369083146227,2.0219648686395,1.98371889219558,-1,56234,50
0.319,1.99,1.99472233589846,1.99468705191079,2.01406219758174,1.97576392716654,-1,56234,50
0.2665,1.99,1.99595534640891,1.9959199968483,2.01398767434834,1.97716611837091,-1,56234,50
0.576,1.99,1.98863081193293,1.98859585110619,2.00714605486585,1.97092593955154,-1,56234,50
0.8405,1.99,1.98061397305606,1.98057943551883,1.99938621359,1.96172785896885,-1,56234,50
0.621,1.99,1.98726390191548,1.98722901342329,2.006275573035,1.96911757857413,-1,56234,50
0.1005,1.99,2.00251884586597,2.00248314634091,2.02207644491555,1.98314360804249,-1,56234,50
0.009,1.99,2.01358558976235,2.01354929669141,2.03309142249295,1.99410132432189,-1,56234,50
0.5665,1.99,1.98835192243831,1.98831697637534,2.00724110916523,1.96936713624237,-1,56234,50
0.975,1.99,1.97194211036948,1.97190802813365,1.9900042642145,1.95357867672946,-1,56234,50
0.7695,1.99,1.98299601419125,1.98296135112079,2.00170860142477,1.96533313385876,-1,56234,50
0.4935,1.99,1.99023990804116,1.99020486197865,2.00922942136762,1.9716455435628,-1,56234,50
0.652,1.99,1.98629313205095,1.9862582948899,2.00514302800282,1.96763639581643,-1,56234,50
0.794,1.99,1.98213171802865,1.98209710052979,2.00125493932984,1.96304464933787,-1,56234,50
0.6715,1.99,1.98588306827341,1.98584825278513,2.00480495687049,1.96711270791508,-1,56234,50
0.181,1.99,1.99881855794135,1.99878305590328,2.01734738956832,1.97950299012537,-1,56234,50
0.2265,1.99,1.99717597423909,1.99714055971081,2.01605833587451,1.97896280708472,-1,56234,50
0.0595,1.99,2.00349087068076,2.00345511919729,2.0212806897562,1.98585335527588,-1,56234,50
