"bee","Cold Soil","IAS","URWA"
"Agapostemon_sericeus",0,2,0
"Agapostemon_virescens",0,13,0
"Andrena_wilkella",0,0,1
"Anthidiellum_notatum",0,0,1
"Anthidium_manicatum",6,0,0
"Anthophora_terminalis",0,0,1
"Augochlora_pura",12,0,4
"Augochlorella_aurata",4,10,12
"Augochloropsis_metallica",3,1,0
"Bombus_bimaculatus",0,3,0
"Bombus_fervidus",0,1,0
"Bombus_griseocollis",7,62,5
"Bombus_impatiens",100,32,16
"Calliopsis_andreniformis",1,0,0
"Ceratina_calcarata",16,51,24
"Ceratina_dupla",14,2,1
"Ceratina_mikmaqi",8,3,5
"Ceratina_strenua",28,6,6
"Coelioxys_banksi",1,0,0
"Halictus_confusus",12,4,0
"Halictus_ligatus",88,163,17
"Halictus_parallelus",0,2,0
"Halictus_rubicundus",0,1,0
"Heriades_carinatus",0,7,0
"Heriades_leavitti",0,3,0
"Heriades_variolosus",0,2,0
"Hylaeus_affinis_modestus",19,129,20
"Hylaeus_mesillae",3,37,22
"Lasioglossum_achilleae",1,0,0
"Lasioglossum_admirandum",1,0,1
"Lasioglossum_atwoodi",0,0,1
"Lasioglossum_callidum",1,2,0
"Lasioglossum_hitchensi_weemsi",2,1,2
"Lasioglossum_illinoense",9,1,0
"Lasioglossum_imitatum",23,13,0
"Lasioglossum_nymphaearum",8,0,0
"Lasioglossum_obscurum",0,0,1
"Lasioglossum_paradmirandum",1,0,0
"Lasioglossum_rozeni",0,1,0
"Lasioglossum_tegulare",0,1,0
"Lasioglossum_trigeminum",3,0,1
"Lasioglossum_versatum",12,6,6
"Lasioglossum_zephyrum",6,0,0
"Lithurgus_chrysurus",0,0,1
"Megachile_brevis",2,0,0
"Megachile_campanulae",0,1,0
"Megachile_exilis",0,3,0
"Megachile_frugalis",1,2,0
"Megachile_inimica",0,2,0
"Megachile_mendica",2,3,0
"Megachile_montivaga",3,1,0
"Megachile_pugnata",0,1,0
"Megachile_rotundata",1,2,0
"Megachile_sculpturalis",10,2,1
"Melissodes_agilis",0,1,0
"Melissodes_bimaculatus",3,0,0
"Melissodes_denticulatus",15,0,0
"Melissodes_desponsus",1,0,0
"Melissodes_trinodis",0,2,0
"Nomada_articulata",0,0,1
"Ptilothrix_bombiformis",0,1,0
"Sphecodes_heraclei",1,1,0
"Xylocopa_virginica",22,2,0
