"samp","chaoest","cover","coverage","l","size","comm","reps"
6.84931506849315,7.27941176470587,5.228,0.66,-1,100,1,1
12.0822916211055,15.8862311238782,6.769,0.66,0,100,1,1
27,52.344,8.673,0.66,1,100,1,1
13.9275766016713,16.0194174757281,11.872,0.662,-1,100,2,1
22.2131246449488,31.52493880357,16.343,0.662,0,100,2,1
37,65.2857142857143,22.246,0.662,1,100,2,1
17.7304964539007,21.3362068965517,17.73,0.661,-1,100,3,1
31.1036173383859,57.801493954556,31.104,0.661,0,100,3,1
49,130.745714285714,49,0.661,1,100,3,1
27.6243093922652,37.7862595419846,25.985,0.662,-1,100,4,1
36.4273551454326,64.4796729571572,33.299,0.662,0,100,4,1
49,116.956428571429,42.852,0.662,1,100,4,1
6.08684670681951,6.26800804828974,5.569,0.775,-1,177,1,1
12.8206814624486,14.4933238598907,9.386,0.775,0,177,1,1
33,39.0158192090395,16.103,0.775,1,177,1,1
16.4629532317394,18.0486674391657,14.632,0.775,-1,177,2,1
26.4575466500035,32.6482080269791,21.088,0.775,0,177,2,1
46,69.0121065375303,30.595,0.775,1,177,2,1
21.7110187110187,24.60663507109,21.711,0.775,-1,177,3,1
42.7896948616824,61.3978073124622,42.79,0.775,0,177,3,1
73,112.774011299435,73,0.775,1,177,3,1
31.2352941176471,37.7142857142857,27.874,0.775,-1,177,4,1
42.1915099591457,58.1306629863736,35.968,0.775,0,177,4,1
60,111.777239709443,46.762,0.775,1,177,4,1
6.76714556790458,6.893351800554,6.621,0.877,-1,316,1,1
15.2770582010445,17.2371621076779,13.592,0.877,0,316,1,1
49,68.9367088607595,33.913,0.877,1,316,1,1
18.4850055534987,19.5713723948093,17.768,0.877,-1,316,2,1
32.1035520391582,38.0850981865469,29.164,0.877,0,316,2,1
64,101.436708860759,50.829,0.877,1,316,2,1
19.4272373540856,20.6343283582089,19.326,0.877,-1,316,3,1
34.6906611453372,43.3489393511836,34.15,0.877,0,316,3,1
73,135.030350978136,69.882,0.877,1,316,3,1
37.4272863568216,42.3214285714285,37.427,0.877,-1,316,4,1
58.4129031360356,73.034189226786,58.413,0.877,0,316,4,1
96,124.07753164557,96,0.877,1,316,4,1
7.58365347675759,7.67370880591932,7.55,0.934,-1,562,1,1
17.2981479561769,19.1736084830814,16.753,0.934,0,562,1,1
69,107.159252669039,60.063,0.934,1,562,1,1
17.4711804403142,17.9996574560402,16.795,0.934,-1,562,2,1
29.6910746561776,31.6572515865892,27.198,0.934,0,562,2,1
61,67.0392348754448,49.297,0.934,1,562,2,1
20.0256150139488,20.7285996055228,20.006,0.934,-1,562,3,1
43.4773685173102,49.7233187578817,43.318,0.934,0,562,3,1
99,137.049822064057,97.962,0.934,1,562,3,1
38.9450061652281,41.7702702702703,38.945,0.934,-1,562,4,1
60.0736777027576,69.5261816688456,60.074,0.934,0,562,4,1
108,150.705126779359,108,0.934,1,562,4,1
6.93952894477523,6.98103450685522,6.902,0.956,-1,1000,1,1
16.7909754811548,17.6231598785236,16.08,0.956,0,1000,1,1
76,88.0213,62.05,0.956,1,1000,1,1
17.5131348511384,17.807486631016,17.229,0.956,-1,1000,2,1
31.6280636968707,33.4708104705916,30.067,0.956,0,1000,2,1
84,104.1465,68.702,0.956,1,1000,2,1
17.6622275601399,17.9618109245208,17.662,0.956,-1,1000,3,1
41.143862042425,45.0772544873448,41.144,0.956,0,1000,3,1
124,164.293,124,0.956,1,1000,3,1
38.8078236572493,40.3343023255812,38.471,0.956,-1,1000,4,1
63.5858821140557,69.4065842232053,62.333,0.956,0,1000,4,1
132,159.496285714286,124.745,0.956,1,1000,4,1
6.89869152678486,6.921667769341,6.88,0.978,-1,1778,1,1
17.2062128352075,17.7341507327447,16.781,0.978,0,1778,1,1
89,99.3156234934919,77.167,0.978,1,1778,1,1
18.8762673609038,19.0680885477018,18.692,0.978,-1,1778,2,1
34.1349782089329,35.1921355586392,33.12,0.978,0,1778,2,1
93,100.99550056243,80.094,0.978,1,1778,2,1
18.6374484141021,18.8242871271791,18.637,0.978,-1,1778,3,1
44.3062496788419,46.8307384405013,44.306,0.978,0,1778,3,1
149,178.612965046036,149,0.978,1,1778,3,1
39.2238324482605,40.0860970844224,39.189,0.978,-1,1778,4,1
68.5966101436494,72.7867252498054,68.428,0.978,0,1778,4,1
163,193.066413573303,161.444,0.978,1,1778,4,1
6.90927359724023,6.92221420389307,6.898,0.987,-1,3162,1,1
17.0530435505133,17.3888144897729,16.765,0.987,0,3162,1,1
101,115.445430107527,88.848,0.987,1,3162,1,1
20.1873798639939,20.3106663144419,20,0.987,-1,3162,2,1
34.4082913582502,34.9783809560093,33.556,0.987,0,3162,2,1
92,99.1405981747538,79.868,0.987,1,3162,2,1
18.705858581323,18.8112267943448,18.706,0.987,-1,3162,3,1
45.02799777383,46.667304553238,45.028,0.987,0,3162,3,1
172,208.352136162383,172,0.987,1,3162,3,1
38.9024621801656,39.374589317933,38.884,0.987,-1,3162,4,1
68.9143834272375,71.4516154419586,68.813,0.987,0,3162,4,1
182,210.870866540164,180.484,0.987,1,3162,4,1
7.01632979855373,7.02384630083054,7.009,0.994,-1,5623,1,1
17.8018298897116,17.9948364749617,17.604,0.994,0,5623,1,1
111,115.999110794949,101.916,0.994,1,5623,1,1
18.6035940834481,18.6620285864737,18.543,0.994,-1,5623,2,1
33.6470840280843,34.0020621711701,33.28,0.994,0,5623,2,1
106,112.721026735432,96.407,0.994,1,5623,2,1
20.4894620776715,20.5607388011068,20.489,0.994,-1,5623,3,1
48.8380916027106,49.8745729662208,48.838,0.994,0,5623,3,1
190,221.994309087676,190,0.994,1,5623,3,1
40.0675295677089,40.347908992748,40.048,0.994,-1,5623,4,1
70.133612242284,71.5868731284683,70.032,0.994,0,5623,4,1
197,216.110237175238,195.033,0.994,1,5623,4,1
6.8605183890021,6.8645417686668,6.855,0.997,-1,10000,1,1
17.6192069012765,17.7211882461942,17.463,0.997,0,10000,1,1
111,112.9998,104.224,0.997,1,10000,1,1
19.9288063322586,19.9666045110668,19.868,0.997,-1,10000,2,1
35.0442637727196,35.2386717283415,34.717,0.997,0,10000,2,1
108,108.89991,101.414,0.997,1,10000,2,1
20.477251002771,20.5172168977,20.477,0.997,-1,10000,3,1
49.4434527520856,50.0975301268047,49.443,0.997,0,10000,3,1
209,253.9955,209,0.997,1,10000,3,1
37.5051850918389,37.6426138934714,37.468,0.997,-1,10000,4,1
67.6966589860596,68.4513911292037,67.483,0.997,0,10000,4,1
203,211.594378571429,197.818,0.997,1,10000,4,1
6.8703175847108,6.87258653840341,6.867,0.999,-1,17782,1,1
17.5584150618697,17.6168301794882,17.463,0.999,0,17782,1,1
115,116.499915645034,109.883,0.999,1,17782,1,1
19.4614143336425,19.4816414668195,19.437,0.999,-1,17782,2,1
35.0541697495582,35.1706040204989,34.905,0.999,0,17782,2,1
115,115.999943763356,109.193,0.999,1,17782,2,1
19.6039624119184,19.6244951924659,19.604,0.999,-1,17782,3,1
48.2306770774989,48.5751032690803,48.231,0.999,0,17782,3,1
221,242.998762793836,221,0.999,1,17782,3,1
37.7542834818433,37.8324852639824,37.73,0.999,-1,17782,4,1
68.5588416214312,69.0128990105012,68.419,0.999,0,17782,4,1
216,226.888276534323,211.951,0.999,1,17782,4,1
6.83283687601895,6.83409749952577,6.831,1,-1,31622,1,1
17.3608016456845,17.3935679014763,17.324,1,0,31622,1,1
118,118.399987350579,115.039,1,1,31622,1,1
19.3396284079211,19.3508515642749,19.326,1,-1,31622,2,1
35.1780014173326,35.2426913772657,35.097,1,0,31622,2,1
116,116,113.986,1,1,31622,2,1
20.1898423790424,20.2021024328487,20.19,1,-1,31622,3,1
49.1582482020049,49.3520433641106,49.158,1,0,31622,3,1
234,241.999747011574,234,1,1,31622,3,1
38.5757326663004,38.6216273547865,38.573,1,-1,31622,4,1
69.8680584501733,70.1344671134556,69.85,1,0,31622,4,1
226,234.642583825004,225.271,1,1,31622,4,1
6.80307436235739,6.80377649137279,6.802,1,-1,56234,1,1
17.3524166868032,17.3709183049742,17.331,1,0,56234,1,1
120,120,119.087,1,1,56234,1,1
19.3156686166012,19.3219619790863,19.311,1,-1,56234,2,1
34.9450847966777,34.9824198657586,34.917,1,0,56234,2,1
120,120,119.005,1,1,56234,2,1
19.7461278325783,19.7527127004907,19.746,1,-1,56234,3,1
48.8588261647952,48.9633049039686,48.855,1,0,56234,3,1
236,236.961521362658,235.794,1,1,56234,3,1
38.594493572598,38.620313128974,38.594,1,-1,56234,4,1
69.6459839369759,69.7930912554161,69.646,1,0,56234,4,1
232,233.799967990895,232,1,1,56234,4,1
6.78968907008632,6.79008219866451,6.789,1,-1,1e+05,1,1
17.2982176518894,17.3085579227183,17.281,1,0,1e+05,1,1
120,120,119.34,1,1,1e+05,1,1
19.2278208662989,19.2313263530716,19.224,1,-1,1e+05,2,1
34.8584207495303,34.8793032444607,34.836,1,0,1e+05,2,1
120,120,118.968,1,1,1e+05,2,1
19.9022920852824,19.9060548235351,19.901,1,-1,1e+05,3,1
48.8784325485127,48.9370944012036,48.864,1,0,1e+05,3,1
238,238.33333,237.345,1,1,1e+05,3,1
38.7617271667457,38.7763699401955,38.762,1,-1,1e+05,4,1
69.9848413822983,70.0686052180639,69.985,1,0,1e+05,4,1
234,236.499975,234,1,1,1e+05,4,1
7.01262272089761,7.46606334841626,6.693,0.732,-1,100,1,2
15.0056709096285,20.3598158441015,12.569,0.732,0,100,1,2
33,55.336875,23.027,0.732,1,100,1,2
18.0505415162455,21.806167400881,17.119,0.732,-1,100,2,2
26.2555870650872,41.6895348462147,23.883,0.732,0,100,2,2
40,97.024,33.925,0.732,1,100,2,2
15.9235668789809,18.7499999999999,15.414,0.732,-1,100,3,2
27.9152808526686,40.9700861127142,25.982,0.732,0,100,3,2
43,69.1855,38.529,0.732,1,100,3,2
26.0416666666667,34.8591549295774,26.042,0.731,-1,100,4,2
36.1400178688387,59.8758186368954,36.14,0.731,0,100,4,2
48,99.5507142857143,48,0.731,1,100,4,2
5.49921011058452,5.64347826086957,5.173,0.831,-1,177,1,2
10.4543748240467,13.2654859769901,8.331,0.831,0,177,1,2
31,111.542372881356,15.522,0.831,1,177,1,2
15.395085995086,16.7664155005382,14.665,0.832,-1,177,2,2
24.8370349292843,32.1058865387544,22.304,0.832,0,177,2,2
46,89.834274952919,36.191,0.832,1,177,2,2
20.9278557114228,23.6,20.695,0.831,-1,177,3,2
35.703758745569,46.516315306453,34.815,0.831,0,177,3,2
60,82.6525423728814,57.432,0.831,1,177,3,2
29.8655862726406,35.7247706422018,29.866,0.831,-1,177,4,2
45.2610523953522,61.5812054832715,45.261,0.831,0,177,4,2
