"samp","chaoest","cover","coverage","l","size","comm","reps"
57.4712643678161,133.783783783783,32.726,0.233,-1,100,"soil.Brazil",1
68.1204192907687,280.620616396443,35.513,0.233,0,100,"soil.Brazil",1
77,414.92,37.524,0.233,1,100,"soil.Brazil",1
54.9450549450549,120.731707317073,41.189,0.231,-1,100,"soil.Florida",1
71.3235849818203,265.27566043629,48.824,0.231,0,100,"soil.Florida",1
81,316.6695,53.307,0.231,1,100,"soil.Florida",1
68.4931506849315,215.217391304347,56.36,0.232,-1,100,"soil.Illinois",1
77.7198337637129,311.352071944873,62.224,0.232,0,100,"soil.Illinois",1
84,340.608,66.149,0.232,1,100,"soil.Illinois",1
71.4285714285714,247.499999999999,71.429,0.231,-1,100,"soil.Canada",1
79.9601661470554,522.925935441354,79.96,0.231,0,100,"soil.Canada",1
86,672.971,86,0.231,1,100,"soil.Canada",1
84.7567567567568,345.333333333333,84.757,0.243,-1,112,"soil.Brazil",1
91.7271924747663,450.429450681086,91.727,0.243,0,112,"soil.Brazil",1
97,494.80505952381,97,0.243,1,112,"soil.Brazil",1
53.1525423728814,100.258064516129,37.377,0.242,-1,112,"soil.Florida",1
74.0325787646683,336.843166516472,45.014,0.242,0,112,"soil.Florida",1
88,507.71875,49.839,0.242,1,112,"soil.Florida",1
72.9302325581395,207.2,50.814,0.242,-1,112,"soil.Illinois",1
82.4417577250337,281.114124276256,55.063,0.242,0,112,"soil.Illinois",1
90,316.129464285714,58.184,0.242,1,112,"soil.Illinois",1
83.6266666666667,327.157894736842,71.367,0.242,-1,112,"soil.Canada",1
89.903374293665,334.829452659174,75.966,0.242,0,112,"soil.Canada",1
95,338.956043956044,79.549,0.242,1,112,"soil.Canada",1
89.2857142857143,310,89.286,0.265,-1,125,"soil.Brazil",1
98.8841224290641,458.890540902102,98.884,0.265,0,125,"soil.Brazil",1
106,525.8144,106,0.265,1,125,"soil.Brazil",1
61.7588932806324,121.09375,55.318,0.265,-1,125,"soil.Florida",1
86.7018539001551,367.700786149975,73.457,0.265,0,125,"soil.Florida",1
101,485.1024,83.74,0.265,1,125,"soil.Florida",1
85.3825136612022,267.241379310345,80.612,0.265,-1,125,"soil.Illinois",1
97.0668763346021,382.483369545851,90.823,0.265,0,125,"soil.Illinois",1
105,414.046153846154,97.724,0.265,1,125,"soil.Illinois",1
84.4594594594595,258.333333333333,68.578,0.266,-1,125,"soil.Canada",1
94.1982194281283,351.520322163682,74.729,0.266,0,125,"soil.Canada",1
102,400.633333333333,79.406,0.266,1,125,"soil.Canada",1
80.4898785425101,186.22641509434,64.005,0.249,-1,141,"soil.Brazil",1
100.976554882675,375.796055600447,75.286,0.249,0,141,"soil.Brazil",1
