"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
17.1232876712329,20.4545454545454,15.852,0.723,67,-1,100,"comm1",1
25.155517483257,38.2092315483544,21.907,0.723,67,0,100,"comm1",1
39,82.6425,30.684,0.723,67,1,100,"comm1",1
22.6244343891403,28.9473684210526,19.953,0.724,62,-1,100,"comm2",1
29.6041041422567,41.6706979269638,25.001,0.724,62,0,100,"comm2",1
40,62.336875,31.337,0.724,62,1,100,"comm2",1
29.7619047619048,41.9491525423728,28.831,0.724,90,-1,100,"comm3",1
38.5112664087877,57.6953106076375,36.924,0.724,90,0,100,"comm3",1
49,71.0982142857143,46.37,0.724,90,1,100,"comm3",1
32.258064516129,47.142857142857,32.258,0.723,100,-1,100,"comm4",1
42.5554611535114,66.6398046944592,42.555,0.723,100,0,100,"comm4",1
53,78.872,53,0.723,100,1,100,"comm4",1
15.0047846889952,17.171270718232,12.776,0.752,47,-1,112,"comm1",1
21.2055848187791,30.0338982357641,16.447,0.752,47,0,112,"comm1",1
34,87.5178571428571,21.548,0.752,47,1,112,"comm1",1
20.4967320261438,24.864,18.543,0.752,70,-1,112,"comm2",1
28.72924381601,37.5326512081902,24.706,0.752,70,0,112,"comm2",1
41,52.9341517857143,32.745,0.752,70,1,112,"comm2",1
33.7204301075269,47.8153846153846,32.973,0.751,104,-1,112,"comm3",1
42.0427607655826,61.6330158008852,40.881,0.751,104,0,112,"comm3",1
53,75.3321428571429,51.074,0.751,104,1,112,"comm3",1
34.4615384615385,49.3333333333333,34.462,0.752,112,-1,112,"comm4",1
43.1145833876479,66.7410988782043,43.115,0.752,112,0,112,"comm4",1
54,89.3181818181818,54,0.752,112,1,112,"comm4",1
12.2934697088906,13.5253054101221,8.472,0.651,21,-1,125,"comm1",1
17.8517363954836,21.9239744208677,10.252,0.651,21,0,125,"comm1",1
31,47.2026666666667,12.26,0.651,21,1,125,"comm1",1
20.0064020486556,23.6280487804878,14.509,0.651,36,-1,125,"comm2",1
27.0242395133958,33.4868419922086,17.573,0.651,36,0,125,"comm2",1
39,47.8378181818182,20.992,0.651,36,1,125,"comm2",1
31.4386317907445,41.6666666666666,27.388,0.65,78,-1,125,"comm3",1
42.2439523214989,75.9773770698182,34.611,0.65,78,0,125,"comm3",1
58,165.136,43.247,0.65,78,1,125,"comm3",1
46.6417910447761,73.8095238095237,46.642,0.649,125,-1,125,"comm4",1
57.1832906011546,109.709734895268,57.183,0.649,125,0,125,"comm4",1
70,166.0256,70,0.649,125,1,125,"comm4",1
12.9349381912817,14.1404011461318,11.101,0.781,48,-1,141,"comm1",1
19.3200940917339,26.846155952937,14.749,0.781,48,0,141,"comm1",1
35,124.609929078014,20.171,0.781,48,1,141,"comm1",1
20.9936642027455,24.4913151364765,18.932,0.783,80,-1,141,"comm2",1
28.9672466473758,37.2130655759131,24.731,0.783,80,0,141,"comm2",1
44,63.913317572892,33.582,0.783,80,1,141,"comm2",1
32.0144927536232,41.1250000000001,31.756,0.781,136,-1,141,"comm3",1
43.8650328328905,63.1430386118717,43.336,0.781,136,0,141,"comm3",1
60,91.9148936170213,58.922,0.781,136,1,141,"comm3",1
40.1636363636364,55.7627118644069,40.164,0.782,141,-1,141,"comm4",1
51.2105887198007,74.4351062641959,51.211,0.782,141,0,141,"comm4",1
65,93.0642469753859,65,0.782,141,1,141,"comm4",1
13.8381374722838,15.0704738760632,11.812,0.766,51,-1,158,"comm1",1
20.9021828018132,26.2716357361675,15.645,0.766,51,0,158,"comm1",1
39,68.8929324894515,21.596,0.766,51,1,158,"comm1",1
23.2873134328358,27.1400437636761,19.984,0.768,73,-1,158,"comm2",1
33.0775762654521,42.1569444785046,26.5,0.768,73,0,158,"comm2",1
48,70.4196993670886,34.237,0.768,73,1,158,"comm2",1
38.2883435582822,50.2145748987854,37.684,0.766,148,-1,158,"comm3",1
51.1726262980644,74.3015682833497,50.015,0.766,148,0,158,"comm3",1
69,104.801377513031,66.723,0.766,148,1,158,"comm3",1
35.867816091954,46.1078066914498,35.868,0.767,158,-1,158,"comm4",1
48.3140045441927,74.8590536861653,48.314,0.767,158,0,158,"comm4",1
67,135.016772151899,67,0.767,158,1,158,"comm4",1
15.0403264522324,16.3441762854145,13.261,0.786,66,-1,177,"comm1",1
23.1952015064404,28.1016562998354,18.237,0.786,66,0,177,"comm1",1
43,60.9480225988701,26.231,0.786,66,1,177,"comm1",1
22.7847272727273,26.0033388981636,20.54,0.787,94,-1,177,"comm2",1
35.1243389441728,46.025732698311,29.481,0.787,94,0,177,"comm2",1
54,91.5722356739306,40.555,0.787,94,1,177,"comm2",1
33.3642172523962,40.8818897637795,33.329,0.785,176,-1,177,"comm3",1
47.1730710626005,68.9752847287608,47.089,0.785,176,0,177,"comm3",1
70,125.2246849196,69.785,0.785,176,1,177,"comm3",1
42.5088195386703,55.6285714285714,42.509,0.786,177,-1,177,"comm4",1
56.2367046474821,84.1609569151311,56.237,0.786,177,0,177,"comm4",1
75,134.826741996234,75,0.786,177,1,177,"comm4",1
15.9360160965795,17.2362204724409,13.704,0.814,63,-1,199,"comm1",1
22.7761170454096,29.2100052223003,17.802,0.814,63,0,199,"comm1",1
41,130.79648241206,24.288,0.814,63,1,199,"comm1",1
