"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
13.6239782016349,15.6151419558359,10.383,0.69,29,-1,100,"comm1",1
19.0503731265465,26.4472514230279,12.705,0.69,29,0,100,"comm1",1
31,66.76375,15.576,0.69,29,1,100,"comm1",1
20.6611570247934,25.7812499999999,16.069,0.69,41,-1,100,"comm2",1
26.4200882559075,39.4287891335857,19.289,0.69,41,0,100,"comm2",1
36,89.46,22.947,0.69,41,1,100,"comm2",1
35.2112676056338,53.8043478260868,35.211,0.692,100,-1,100,"comm3",1
43.943086009159,73.4764732985493,43.943,0.692,100,0,100,"comm3",1
54,93.64125,54,0.692,100,1,100,"comm3",1
29.7619047619048,41.9491525423728,27.747,0.693,80,-1,100,"comm4",1
38.4939374921623,60.4051161812041,35.091,0.693,80,0,100,"comm4",1
49,82.462,43.357,0.693,80,1,100,"comm4",1
11.8787878787879,13.1694915254237,8.971,0.715,26,-1,112,"comm1",1
16.7278589036752,23.2474908486778,10.976,0.715,26,0,112,"comm1",1
29,92.4285714285714,13.503,0.715,26,1,112,"comm1",1
26.2426778242678,33.9672131147541,23.691,0.716,76,-1,112,"comm2",1
34.424386821382,51.6044169446464,29.859,0.716,76,0,112,"comm2",1
47,85.7137276785714,37.972,0.716,76,1,112,"comm2",1
26.9184549356223,35.1186440677966,26.918,0.716,112,-1,112,"comm3",1
39.6229975721656,63.6858845988306,39.623,0.716,112,0,112,"comm3",1
55,97.2857142857143,55,0.716,112,1,112,"comm3",1
43.8601398601399,71.4482758620689,41.918,0.718,100,-1,112,"comm4",1
50.7477152745324,77.0213033050077,48.358,0.718,100,0,112,"comm4",1
59,81.8529411764706,55.811,0.718,100,1,112,"comm4",1
14.2694063926941,15.979381443299,9.992,0.663,25,-1,125,"comm1",1
20.0684292447065,27.4109130154138,12.001,0.663,25,0,125,"comm1",1
34,87.568,14.335,0.663,25,1,125,"comm1",1
23.7101669195751,29.0262172284644,18.037,0.664,46,-1,125,"comm2",1
31.3199278952036,42.6696095543843,21.853,0.664,46,0,125,"comm2",1
44,72.3428571428571,26.227,0.664,46,1,125,"comm2",1
30.9405940594059,40.7894736842105,26.007,0.665,70,-1,125,"comm3",1
41.2044629378144,59.2767700177187,32.713,0.665,70,0,125,"comm3",1
54,82.1818181818182,39.889,0.665,70,1,125,"comm3",1
41.2269129287599,61.023622047244,41.227,0.666,125,-1,125,"comm4",1
53.5385203055636,94.8957373317963,53.539,0.666,125,0,125,"comm4",1
68,135.303384615385,68,0.666,125,1,125,"comm4",1
17.0068434559453,19.2023346303502,14.733,0.76,60,-1,141,"comm1",1
24.7346624443951,32.1671852908514,19.449,0.76,60,0,141,"comm1",1
41,69.3687943262411,26.305,0.76,60,1,141,"comm1",1
23.3619271445358,27.8028169014085,20.105,0.761,70,-1,141,"comm2",1
31.5848534571172,39.6291503615153,25.661,0.761,70,0,141,"comm2",1
45,56.9562647754137,32.793,0.761,70,1,141,"comm2",1
38.7543859649123,53.0645161290323,37.283,0.761,123,-1,141,"comm3",1
49.3387382337727,72.3137514268868,46.972,0.761,123,0,141,"comm3",1
63,97.3698854337152,58.948,0.761,123,1,141,"comm3",1
