"chaotile","l","inds","reps","comm"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
41.6,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
43.3,-1,150,60,"com1"
