"comm1","comm2","comm3","comm4"
162888,325937,162888,325937
121610,109808,121610,109808
116555,91181,116555,91181
105093,75916,105093,75916
84851,62372,84851,62372
68008,61512,68008,61512
55740,41716,55740,41716
52531,37176,52531,37176
47100,31343,47100,31343
30293,22565,30293,22565
26122,20010,26122,20010
23614,18393,23614,18393
16850,14661,16850,14661
12301,12758,12301,12758
11514,12039,11514,12039
10526,10597,10526,10597
9027,9807,9027,9807
8212,8446,8212,8446
7913,6833,7913,6833
5723,5647,5723,5647
5262,5626,5262,5626
3455,3335,3455,3335
2984,3003,2984,3003
2781,2153,2781,2153
2404,2051,2404,2051
2166,1824,2166,1824
1934,1757,1934,1757
1890,662,1890,662
517,570,517,570
136,302,136,302
0,0,325937,325937
0,0,109808,109808
0,0,91181,91181
0,0,75916,75916
0,0,62372,62372
0,0,61512,61512
0,0,41716,41716
0,0,37176,37176
0,0,31343,31343
0,0,22565,22565
0,0,20010,20010
0,0,18393,18393
0,0,14661,14661
0,0,12758,12758
0,0,12039,12039
0,0,10597,10597
0,0,9807,9807
0,0,8446,8446
0,0,6833,6833
0,0,5647,5647
0,0,5626,5626
0,0,3335,3335
0,0,3003,3003
0,0,2153,2153
0,0,2051,2051
0,0,1824,1824
0,0,1757,1757
0,0,662,662
0,0,570,570
0,0,302,302
