"samp","chaoest","cover","coverage","cov_size","l","size","comm","reps"
5.55555555555555,11.25,3.689,0.444,5,-1,10,"comm1",1
5.74349177498518,7.90184936083771,3.908,0.444,5,0,10,"comm1",1
6,6.45,4.111,0.444,5,1,10,"comm1",1
3.33333333333333,4.5,2.077,0.44,3,-1,10,"comm2",1
4.47213595499958,9.29141088987769,2.258,0.44,3,0,10,"comm2",1
6,15,2.417,0.44,3,1,10,"comm2",1
3.125,4.09090909090909,1.607,0.406,2,-1,10,"comm3",1
3.89322047476173,6.10545189739505,1.688,0.406,2,0,10,"comm3",1
5,9.05,1.756,0.406,2,1,10,"comm3",1
7.14285714285714,22.5,7.143,0.441,10,-1,10,"comm4",1
7.57858283255199,17.6852212069341,7.579,0.441,10,0,10,"comm4",1
8,16.1,8,0.441,10,1,10,"comm4",1
7.11764705882353,18.3333333333334,7.118,0.594,11,-1,11,"comm1",1
7.53693041596068,13.6042981982316,7.537,0.594,11,0,11,"comm1",1
8,11.7878787878788,8,0.594,11,1,11,"comm1",1
4.84,7.85714285714286,3.667,0.582,6,-1,11,"comm2",1
5.3261329320071,8.42867084239533,3.997,0.582,6,0,11,"comm2",1
6,10.0909090909091,4.333,0.582,6,1,11,"comm2",1
4.48148148148148,6.87500000000001,3.738,0.615,7,-1,11,"comm3",1
5.16412000863939,7.57447463887135,4.201,0.615,7,0,11,"comm3",1
6,8.04545454545454,4.688,0.615,7,1,11,"comm3",1
3.66666666666667,5.00000000000001,3.333,0.6,8,-1,11,"comm4",1
4.66601703852399,8.35508704318407,4.031,0.6,8,0,11,"comm4",1
6,13.2727272727273,4.855,0.6,8,1,11,"comm4",1
7.2,16.5,3.385,0.242,4,-1,12,"comm1",1
7.55952629936924,11.7892044111677,3.526,0.242,4,0,12,"comm1",1
8,9.83333333333333,3.636,0.242,4,1,12,"comm1",1
6,11,2.538,0.259,3,-1,12,"comm2",1
6.44741959094125,9.30319147315905,2.648,0.259,3,0,12,"comm2",1
7,8.375,2.732,0.259,3,1,12,"comm2",1
8,22,8,0.267,12,-1,12,"comm3",1
9.11802822781911,37.4390774272508,9.118,0.267,12,0,12,"comm3",1
10,43,10,0.267,12,1,12,"comm3",1
5.14285714285714,8.24999999999999,1.784,0.224,2,-1,12,"comm4",1
6,9.63565783172702,1.839,0.224,2,0,12,"comm4",1
7,10.6666666666667,1.879,0.224,2,1,12,"comm4",1
6.53333333333333,11.375,4.168,0.445,6,-1,14,"comm1",1
7.17197765411391,11.1961815209964,4.495,0.445,6,0,14,"comm1",1
8,11.7142857142857,4.791,0.445,6,1,14,"comm1",1
6.53333333333333,11.375,4.952,0.452,8,-1,14,"comm2",1
7.72862659571668,14.7650751693257,5.547,0.452,8,0,14,"comm2",1
9,17.3571428571429,6.084,0.452,8,1,14,"comm2",1
5.76470588235294,9.09999999999999,3.473,0.467,5,-1,14,"comm3",1
6.25753005169251,9.33544296846767,3.74,0.467,5,0,14,"comm3",1
7,11.1785714285714,3.984,0.467,5,1,14,"comm3",1
7,13,7,0.439,14,-1,14,"comm4",1
8.53309557943133,26.0935651226927,8.533,0.439,14,0,14,"comm4",1
10,39.7142857142857,10,0.439,14,1,14,"comm4",1
4.59183673469388,6.1764705882353,1.721,0.293,2,-1,15,"comm1",1
5.52604724796058,8.7950177965456,1.788,0.293,2,0,15,"comm1",1
7,14.4666666666667,1.838,0.293,2,1,15,"comm1",1
6.81818181818182,11.6666666666667,3.723,0.348,5,-1,15,"comm2",1
7.8547059211547,12.5727205784827,4.001,0.348,5,0,15,"comm2",1
9,12.8888888888889,4.227,0.348,5,1,15,"comm2",1
9.78260869565217,26.25,9.783,0.343,15,-1,15,"comm3",1
10.9781630153572,44.4181192565496,10.978,0.343,15,0,15,"comm3",1
12,58.6666666666667,12,0.343,15,1,15,"comm3",1
5.76923076923077,8.75,2.442,0.304,3,-1,15,"comm4",1
6.67872291803412,11.7257304968374,2.57,0.304,3,0,15,"comm4",1
8,17.3333333333333,2.67,0.304,3,1,15,"comm4",1
7.04878048780488,11.3333333333333,4.163,0.428,6,-1,17,"comm1",1
7.91305159872434,11.39914238492,4.51,0.428,6,0,17,"comm1",1
9,11.5098039215686,4.817,0.428,6,1,17,"comm1",1
7.04878048780488,11.3333333333333,5.276,0.421,9,-1,17,"comm2",1
8.99578197394309,19.2294569030088,6.097,0.421,9,0,17,"comm2",1
11,26.0588235294118,6.814,0.421,9,1,17,"comm2",1
8.75757575757576,17,6.12,0.424,9,-1,17,"comm3",1
9.79992150704503,19.2634881477996,6.651,0.424,9,0,17,"comm3",1
11,22.5294117647059,7.129,0.424,9,1,17,"comm3",1
10.7037037037037,27.2,10.704,0.426,17,-1,17,"comm4",1
11.8965344258285,32.564369907992,11.897,0.426,17,0,17,"comm4",1
13,36.5294117647059,13,0.426,17,1,17,"comm4",1
7.68085106382979,12.2142857142857,2.578,0.227,3,-1,19,"comm1",1
8.66881077677152,13.4937841373797,2.683,0.227,3,0,19,"comm1",1
10,15.9210526315789,2.761,0.227,3,1,19,"comm1",1
4.24705882352941,5.18181818181818,1,0.193,1,-1,19,"comm2",1
4.89758914520744,5.86846387848829,1,0.193,1,0,19,"comm2",1
6,6.94736842105263,1,0.193,1,1,19,"comm2",1
11.6451612903226,28.5,5.783,0.224,7,-1,19,"comm3",1
12.8338382707068,29.0260694314566,6.077,0.224,7,0,19,"comm3",1
14,29.7894736842105,6.299,0.224,7,1,19,"comm3",1
15.695652173913,85.5,15.696,0.222,19,-1,19,"comm4",1
16.4202159723505,73.0916414982193,16.42,0.222,19,0,19,"comm4",1
17,70.2894736842105,17,0.222,19,1,19,"comm4",1
6.72222222222222,9.24000000000001,4.244,0.567,7,-1,22,"comm1",1
7.27574283678375,8.69792556541385,4.655,0.567,7,0,22,"comm1",1
8,8.15909090909091,5.063,0.567,7,1,22,"comm1",1
3.18421052631579,3.55384615384616,1.92,0.549,3,-1,22,"comm2",1
4.60118313288013,7.30265967386123,2.098,0.549,3,0,22,"comm2",1
8,22.3181818181818,2.269,0.549,3,1,22,"comm2",1
10.0833333333333,17.7692307692308,7.412,0.547,12,-1,22,"comm3",1
10.9086563351434,15.8413078245626,8.058,0.547,12,0,22,"comm3",1
12,14.9829545454545,8.714,0.547,12,1,22,"comm3",1
10.0833333333333,17.7692307692308,10.083,0.55,22,-1,22,"comm4",1
11.8978060768513,32.5121401513184,11.898,0.55,22,0,22,"comm4",1
14,61.7272727272727,14,0.55,22,1,22,"comm4",1
7.91139240506329,11.1111111111111,3.676,0.381,5,-1,25,"comm1",1
8.74758070946434,11.2820988871584,3.945,0.381,5,0,25,"comm1",1
10,12.16,4.172,0.381,5,1,25,"comm1",1
7.71604938271605,10.7142857142857,3.641,0.37,5,-1,25,"comm2",1
9.14681637930035,12.0731184823054,3.93,0.37,5,0,25,"comm2",1
11,12.92,4.169,0.37,5,1,25,"comm2",1
16.8918918918919,50,16.892,0.37,25,-1,25,"comm3",1
18.5540301996757,56.8576756713332,18.554,0.37,25,0,25,"comm3",1
20,60.96,20,0.37,25,1,25,"comm3",1
14.5348837209302,33.3333333333333,11.034,0.376,16,-1,25,"comm4",1
16.2623651586554,39.2768200077487,12.024,0.376,16,0,25,"comm4",1
18,45.04,12.887,0.376,16,1,25,"comm4",1
12.25,21,9.649,0.594,17,-1,28,"comm1",1
13.4864093318155,19.2063784761566,10.63,0.594,17,0,28,"comm1",1
15,17.8928571428571,11.653,0.594,17,1,28,"comm1",1
6.125,7.56,4.736,0.579,11,-1,28,"comm2",1
8.76998550471494,17.5530499107672,5.773,0.579,11,0,28,"comm2",1
13,52.0535714285714,6.902,0.579,11,1,28,"comm2",1
12.25,21,11.455,0.582,24,-1,28,"comm3",1
14.4382424029098,27.9928136428497,13.323,0.582,24,0,28,"comm3",1
17,36.4464285714286,15.38,0.582,24,1,28,"comm3",1
12.6451612903226,22.2352941176471,12.645,0.582,28,-1,28,"comm4",1
15.3183946638373,29.9716658804155,15.318,0.582,28,0,28,"comm4",1
18,35.3571428571429,18,0.582,28,1,28,"comm4",1
9.33009708737864,12.9166666666667,6.481,0.63,12,-1,31,"comm1",1
10.3366660702778,13.5395385190418,7.186,0.63,12,0,31,"comm1",1
12,15.8709677419355,7.944,0.63,12,1,31,"comm1",1
5.89570552147239,7.04545454545454,4.013,0.614,8,-1,31,"comm2",1
7.4625119024509,9.05298989443406,4.601,0.614,8,0,31,"comm2",1
10,11.4516129032258,5.22,0.614,8,1,31,"comm2",1
15.7540983606557,31,15.754,0.625,31,-1,31,"comm3",1
17.8227932328641,31.6017461356877,17.823,0.625,31,0,31,"comm3",1
20,31.6129032258065,20,0.625,31,1,31,"comm3",1
9.15238095238095,12.5675675675676,7.651,0.622,18,-1,31,"comm4",1
11.6488665542816,17.4484704235755,9.185,0.622,18,0,31,"comm4",1
15,22.741935483871,10.906,0.622,18,1,31,"comm4",1
12.6288659793814,19.1935483870968,12.629,0.719,35,-1,35,"comm1",1
14.9006123737764,24.6954013027943,14.901,0.719,35,0,35,"comm1",1
18,34.1904761904762,18,0.719,35,1,35,"comm1",1
5.75117370892019,6.68539325842698,5.081,0.718,18,-1,35,"comm2",1
8.30605421702816,13.6360698678881,6.649,0.718,18,0,35,"comm2",1
13,44.0857142857143,8.776,0.718,18,1,35,"comm2",1
11.2385321100917,16.0810810810811,10.579,0.721,29,-1,35,"comm3",1
13.7657757042185,19.6396675548833,12.785,0.721,29,0,35,"comm3",1
17,22.1809523809524,15.477,0.721,29,1,35,"comm3",1
11.8932038834951,17.5,11.011,0.724,28,-1,35,"comm4",1
14.1373709047395,20.8487992847463,12.949,0.724,28,0,35,"comm4",1
17,24.7714285714286,15.242,0.724,28,1,35,"comm4",1
8.79190751445087,11.0597014925373,6.235,0.635,13,-1,39,"comm1",1
10.9114739569688,18.1158382538726,7.148,0.635,13,0,39,"comm1",1
15,50.0769230769231,8.152,0.635,13,1,39,"comm1",1
5.29965156794425,5.97580645161291,3.848,0.657,9,-1,39,"comm2",1
7.26898932397631,9.56229730222942,4.581,0.657,9,0,39,"comm2",1
11,23.1794871794872,5.396,0.657,9,1,39,"comm2",1
12.168,17.2325581395349,9.916,0.649,22,-1,39,"comm3",1
14.7595908338608,21.2040196067543,11.63,0.649,22,0,39,"comm3",1
18,25.7948717948718,13.451,0.649,22,1,39,"comm3",1
9.94117647058824,13,9.941,0.644,39,-1,39,"comm4",1
14.1205942535891,29.0537952756547,14.121,0.644,39,0,39,"comm4",1
20,67.7435897435898,20,0.644,39,1,39,"comm4",1
6.72222222222222,7.75409836065574,4.628,0.683,10,-1,44,"comm1",1
8.13309203790534,9.86743746595004,5.296,0.683,10,0,44,"comm1",1
11,16.8636363636364,6.046,0.683,10,1,44,"comm1",1
5.86666666666667,6.61538461538462,4.236,0.696,10,-1,44,"comm2",1
7.54498956360063,9.4806400485153,4.971,0.696,10,0,44,"comm2",1
11,20.7727272727273,5.804,0.696,10,1,44,"comm2",1
14.8923076923077,22,12.941,0.687,30,-1,44,"comm3",1
17.4442582295476,25.670253127536,14.914,0.687,30,0,44,"comm3",1
21,30.7727272727273,17.264,0.687,30,1,44,"comm3",1
12.5714285714286,17.2,12.571,0.685,44,-1,44,"comm4",1
16.495055577059,29.642801055747,16.495,0.685,44,0,44,"comm4",1
22,53.9242424242424,22,0.685,44,1,44,"comm4",1
8.50340136054422,10.0409836065574,7.374,0.821,25,-1,50,"comm1",1
10.6507172905261,12.8540546250113,8.992,0.821,25,0,50,"comm1",1
14,17.92,11.088,0.821,25,1,50,"comm1",1
5.81395348837209,6.44736842105265,5.428,0.822,29,-1,50,"comm2",1
8.49626205224904,11.6765497044037,7.462,0.822,29,0,50,"comm2",1
14,38.01,10.759,0.822,29,1,50,"comm2",1
14.7058823529412,20.4166666666667,14.706,0.823,50,-1,50,"comm3",1
17.1957700801989,24.0519139998077,17.196,0.823,50,0,50,"comm3",1
21,30.9225,21,0.823,50,1,50,"comm3",1
13.2978723404255,17.7536231884058,13.16,0.816,48,-1,50,"comm4",1
16.5455052130441,22.779199213971,16.335,0.816,48,0,50,"comm4",1
21,28.938,20.636,0.816,48,1,50,"comm4",1
9.38922155688623,11.0791366906475,7.598,0.745,22,-1,56,"comm1",1
12.0410514079154,14.366507787981,9.258,0.745,22,0,56,"comm1",1
16,18.6190476190476,11.282,0.745,22,1,56,"comm1",1
6.34817813765182,7.03196347031962,5.463,0.749,21,-1,56,"comm2",1
9.67777680916771,11.3261427903965,7.445,0.749,21,0,56,"comm2",1
15,16.5714285714286,10.006,0.749,21,1,56,"comm2",1
15.2233009708738,20.5333333333333,13.439,0.749,37,-1,56,"comm3",1
18.5454578999347,25.1446259762998,16.066,0.749,37,0,56,"comm3",1
23,30.9553571428571,19.194,0.749,37,1,56,"comm3",1
12.1550387596899,15.2475247524752,12.155,0.751,56,-1,56,"comm4",1
16.2190834302864,31.1207541435826,16.219,0.751,56,0,56,"comm4",1
23,119.25,23,0.751,56,1,56,"comm4",1
9.8,11.421052631579,7.633,0.793,21,-1,63,"comm1",1
11.4802076574464,13.3105964509324,8.8,0.793,21,0,63,"comm1",1
15,17.6243386243386,10.311,0.793,21,1,63,"comm1",1
7.61804222648752,8.528384279476,6.669,0.795,27,-1,63,"comm2",1
10.6601228471655,12.3617171297482,8.696,0.795,27,0,63,"comm2",1
16,17.5746031746032,11.572,0.795,27,1,63,"comm2",1
13.4542372881356,16.8362068965517,13.366,0.789,61,-1,63,"comm3",1
19.2526427800559,26.6842243676523,19.047,0.789,61,0,63,"comm3",1
27,36.2398589065256,26.583,0.789,61,1,63,"comm3",1
13.0131147540984,16.1404958677686,13.013,0.796,63,-1,63,"comm4",1
17.7424640072848,25.9046246006959,17.742,0.796,63,0,63,"comm4",1
25,45.7896825396825,25,0.796,63,1,63,"comm4",1
8.53658536585366,9.58333333333332,7.272,0.842,27,-1,70,"comm1",1
10.7035339179005,12.2270449999089,8.814,0.842,27,0,70,"comm1",1
15,17.6285714285714,10.986,0.842,27,1,70,"comm1",1
7.37951807228916,8.13131313131311,6.686,0.846,33,-1,70,"comm2",1
10.3746784629494,12.2376360139497,8.897,0.846,33,0,70,"comm2",1
16,22.1607142857143,12.201,0.846,33,1,70,"comm2",1
13.2432432432432,16.1,13.209,0.843,69,-1,70,"comm3",1
18.5446161054212,24.9297872145309,18.471,0.843,69,0,70,"comm3",1
26,37.9271428571429,25.843,0.843,69,1,70,"comm3",1
10.7929515418502,12.578125,10.793,0.844,70,-1,70,"comm4",1
15.7278037668675,21.1468468662734,15.728,0.844,70,0,70,"comm4",1
24,38.9089285714286,24,0.844,70,1,70,"comm4",1
8.31025299600532,9.16964285714288,7.434,0.851,35,-1,79,"comm1",1
10.8727752034044,12.6963397480722,9.267,0.851,35,0,79,"comm1",1
17,22.9240506329114,12.379,0.851,35,1,79,"comm1",1
4.68895567242675,4.92172523961662,4.557,0.85,49,-1,79,"comm2",1
8.30721613891899,9.93170222113813,7.572,0.85,49,0,79,"comm2",1
18,25.8987341772152,14.292,0.85,49,1,79,"comm2",1
15.3341523341523,18.7865853658537,15.334,0.849,79,-1,79,"comm3",1
20.3761489747522,27.6426491641128,20.376,0.849,79,0,79,"comm3",1
28,45.7721518987342,28,0.849,79,1,79,"comm3",1
13.7770419426049,16.475935828877,13.626,0.85,74,-1,79,"comm4",1
19.5160590022518,25.0902787830746,19.182,0.85,74,0,79,"comm4",1
28,35.4667721518987,27.277,0.85,74,1,79,"comm4",1
9.48622754491018,10.4986595174263,8.823,0.877,50,-1,89,"comm1",1
12.9398367122759,15.7845772068199,11.606,0.877,50,0,89,"comm1",1
20,35.8202247191011,15.974,0.877,50,1,89,"comm1",1
7.32747456059204,7.89516129032259,7.03,0.877,56,-1,89,"comm2",1
11.343728084306,13.4173890470874,10.417,0.877,56,0,89,"comm2",1
20,28.0749063670412,16.8,0.877,56,1,89,"comm2",1
12.9216965742251,14.9465648854962,12.704,0.877,79,-1,89,"comm3",1
17.7366213858287,22.3385114265,17.285,0.877,79,0,89,"comm3",1
26,38.3595505617978,24.826,0.877,79,1,89,"comm3",1
10.4086727989488,11.6547619047619,10.409,0.878,89,-1,89,"comm4",1
15.7864394968319,19.9173094893572,15.786,0.878,89,0,89,"comm4",1
26,37.9640449438202,26,0.878,89,1,89,"comm4",1
10.989010989011,12.2222222222222,10.212,0.911,57,-1,100,"comm1",1
13.305572556765,15.3544028858185,12.203,0.911,57,0,100,"comm1",1
19,27.91,15.907,0.911,57,1,100,"comm1",1
4.71253534401508,4.89614243323441,4.634,0.911,69,-1,100,"comm2",1
7.7576251766229,8.71467583564792,7.38,0.911,69,0,100,"comm2",1
17,21.455,14.72,0.911,69,1,100,"comm2",1
18.5185185185185,22.5,18.485,0.91,99,-1,100,"comm3",1
22.8329598073399,27.7859830435027,22.786,0.91,99,0,100,"comm3",1
30,35.7278571428571,29.91,0.91,99,1,100,"comm3",1
11.5207373271889,12.890625,11.521,0.911,100,-1,100,"comm4",1
15.9245275493392,19.0728066318706,15.925,0.911,100,0,100,"comm4",1
25,33.019,25,0.911,100,1,100,"comm4",1
11.7453183520599,13.0041841004184,11.077,0.921,69,-1,112,"comm1",1
14.8462357555612,16.5408699107355,13.832,0.921,69,0,112,"comm1",1
21,22.9821428571429,18.661,0.921,69,1,112,"comm1",1
6.59516298633018,6.94525139664803,6.402,0.921,70,-1,112,"comm2",1
10.3328119116278,11.5324351768058,9.702,0.921,70,0,112,"comm2",1
19,23.1294642857143,16.521,0.921,70,1,112,"comm2",1
17.6676056338028,20.7892976588629,17.668,0.921,112,-1,112,"comm3",1
23.3256275456536,27.9671615424968,23.326,0.921,112,0,112,"comm3",1
32,37.0172991071429,32,0.921,112,1,112,"comm3",1
15.1132530120482,17.3147632311978,14.967,0.92,104,-1,112,"comm4",1
20.410118898449,24.0355819891149,20.142,0.92,104,0,112,"comm4",1
29,33.530612244898,28.397,0.92,104,1,112,"comm4",1
11.4805290227774,12.5404530744336,10.65,0.913,65,-1,125,"comm1",1
14.1783022014032,15.6701112543743,12.924,0.913,65,0,125,"comm1",1
21,23.48,17.311,0.913,65,1,125,"comm1",1
8.16779926816519,8.66890380313198,7.754,0.913,65,-1,125,"comm2",1
12.6906619118239,13.9560863262332,11.567,0.913,65,0,125,"comm2",1
21,22.5872,17.672,0.913,65,1,125,"comm2",1
11.7392937640872,12.8524046434494,11.194,0.913,80,-1,125,"comm3",1
17.2746578953484,19.9545532049517,16.064,0.913,80,0,125,"comm3",1
26,34.1013333333333,22.912,0.913,80,1,125,"comm3",1
14.6713615023474,16.4893617021276,14.671,0.913,125,-1,125,"comm4",1
20.5560856406188,24.4094284823723,20.556,0.913,125,0,125,"comm4",1
32,38.6684444444444,32,0.913,125,1,125,"comm4",1
12.0710382513661,13.1075697211156,11.553,0.916,90,-1,141,"comm1",1
15.671671557107,17.5742326409451,14.712,0.916,90,0,141,"comm1",1
25,29.8652482269504,21.674,0.916,90,1,141,"comm1",1
5.60818053596615,5.79905992949472,5.406,0.916,66,-1,141,"comm2",1
9.50401454842304,10.4332247312954,8.642,0.916,66,0,141,"comm2",1
20,24.468085106383,15.541,0.916,66,1,141,"comm2",1
15.519906323185,17.3157894736842,14.633,0.915,89,-1,141,"comm3",1
20.441290632055,23.0160783252052,18.985,0.915,89,0,141,"comm3",1
29,31.4822695035461,26.095,0.915,89,1,141,"comm3",1
12.5749525616698,13.7083333333333,12.575,0.915,141,-1,141,"comm4",1
20.0642146915013,23.9686390699412,20.064,0.915,141,0,141,"comm4",1
34,45.9148936170213,34,0.915,141,1,141,"comm4",1
10.5333333333333,11.2142857142857,9.606,0.918,61,-1,158,"comm1",1
13.2829363852277,14.3750625185671,11.795,0.918,61,0,158,"comm1",1
21,23.4841772151899,15.781,0.918,61,1,158,"comm1",1
5.98370086289549,6.17987045341304,5.804,0.918,80,-1,158,"comm2",1
10.4780346111667,11.3808202704463,9.653,0.918,80,0,158,"comm2",1
22,24.4841772151899,17.868,0.918,80,1,158,"comm2",1
20.4288052373159,23.3139097744361,19.658,0.918,120,-1,158,"comm3",1
25.1793046127234,29.5275381297457,24.067,0.918,120,0,158,"comm3",1
35,47.4208860759494,32.29,0.918,120,1,158,"comm3",1
14.2164009111617,15.523153942428,14.216,0.918,158,-1,158,"comm4",1
21.1466900087224,25.4105160507529,21.147,0.918,158,0,158,"comm4",1
35,55.9912974683544,35,0.918,158,1,158,"comm4",1
11.0585951288387,11.7289156626506,9.898,0.903,58,-1,177,"comm1",1
14.2282817763367,15.4674089970357,12.34,0.903,58,0,177,"comm1",1
22,29.954802259887,16.771,0.903,58,1,177,"comm1",1
7.691873312055,7.9958932238193,7.079,0.904,54,-1,177,"comm2",1
11.0277052871191,11.9834549236268,9.58,0.904,54,0,177,"comm2",1
20,29.9435028248588,14.348,0.904,54,1,177,"comm2",1
14.7430588235294,15.9917864476386,14.743,0.904,177,-1,177,"comm3",1
21.8938313344767,26.9796390952508,21.894,0.904,177,0,177,"comm3",1
39,74.9209039548023,39,0.904,177,1,177,"comm3",1
14.9399141630901,16.225,14.476,0.904,126,-1,177,"comm4",1
21.5194366793454,24.8352121700336,20.383,0.904,126,0,177,"comm4",1
36,46.227602905569,31.886,0.904,126,1,177,"comm4",1
9.9375156838143,10.4072900158478,9.392,0.95,87,-1,199,"comm1",1
12.5053227984922,13.3981527742176,11.629,0.95,87,0,199,"comm1",1
20,27.9597989949749,16.632,0.95,87,1,199,"comm1",1
7.03517498667614,7.25635359116022,6.859,0.95,108,-1,199,"comm2",1
11.2217714455371,11.9750218363954,10.622,0.95,108,0,199,"comm2",1
22,24.6532663316583,19.116,0.95,108,1,199,"comm2",1
17.9271163422363,19.6029850746268,17.927,0.95,199,-1,199,"comm3",1
26.153308536968,29.825293930136,26.153,0.95,199,0,199,"comm3",1
40,48.2914572864322,40,0.95,199,1,199,"comm3",1
12.551822503962,13.32949932341,12.501,0.95,186,-1,199,"comm4",1
21.6159745252892,24.356895319023,21.43,0.95,186,0,199,"comm4",1
38,43.75664034458,37.383,0.95,186,1,199,"comm4",1
10.5291128520008,11.0013333333333,10.215,0.951,130,-1,223,"comm1",1
14.1809109069037,15.0954629637499,13.516,0.951,130,0,223,"comm1",1
25,26.5928251121076,22.118,0.951,130,1,223,"comm1",1
5.48219600926028,5.59516274864376,5.371,0.951,110,-1,223,"comm2",1
9.77498454844162,10.3424849534072,9.214,0.951,110,0,223,"comm2",1
22,23.9910313901345,18.547,0.951,110,1,223,"comm2",1
14.2612560940637,15.1672794117647,14.261,0.951,223,-1,223,"comm3",1
22.6839726390388,25.4899487809647,22.684,0.951,223,0,223,"comm3",1
40,47.5285874439462,40,0.951,223,1,223,"comm3",1
14.902307461792,15.897880539499,14.835,0.951,208,-1,223,"comm4",1
22.9860842722381,25.7204859749365,22.798,0.951,208,0,223,"comm4",1
39,46.1108263933376,38.297,0.951,208,1,223,"comm4",1
9.87631290170873,10.2398825065274,9.203,0.94,82,-1,251,"comm1",1
12.8870168110114,13.5965722286831,11.675,0.94,82,0,251,"comm1",1
22,25.9840637450199,17.024,0.94,82,1,251,"comm1",1
5.67423218949833,5.78234426833763,5.464,0.94,82,-1,251,"comm2",1
9.77384980804698,10.2281458755109,8.888,0.94,82,0,251,"comm2",1
21,22.1205179282869,16.227,0.94,82,1,251,"comm2",1
16.5923097181986,17.6959954878736,16.122,0.94,171,-1,251,"comm3",1
22.4076049652851,24.706724839167,21.457,0.94,171,0,251,"comm3",1
37,45.3001328021248,33.095,0.94,171,1,251,"comm3",1
15.9617430960223,16.9778138528138,15.962,0.94,251,-1,251,"comm4",1
23.834425787454,27.187582949833,23.834,0.94,251,0,251,"comm4",1
43,61.6752988047809,43,0.94,251,1,251,"comm4",1
11.5322038849131,11.9829424307036,10.986,0.954,121,-1,281,"comm1",1
14.6776664875035,15.4999476229998,13.731,0.954,121,0,281,"comm1",1
25,29.1518386714116,20.441,0.954,121,1,281,"comm1",1
6.38894732583542,6.51432356350389,6.264,0.954,138,-1,281,"comm2",1
10.9107663069635,11.4909607692742,10.336,0.954,138,0,281,"comm2",1
25,27.491103202847,20.764,0.954,138,1,281,"comm2",1
14.5175583747012,15.2539744086855,14.518,0.954,281,-1,281,"comm3",1
21.2366091428202,23.5994473922193,21.237,0.954,281,0,281,"comm3",1
39,55.8398576512456,39,0.954,281,1,281,"comm3",1
14.0625111308994,14.750656167979,13.89,0.954,222,-1,281,"comm4",1
21.8931152559597,24.0830636367203,21.374,0.954,222,0,281,"comm4",1
40,49.9644128113879,37.624,0.954,222,1,281,"comm4",1
