"p","p_no_mc","upper","lower","upper_no_mc","lower_no_mc","truemu","obsD","l","size"
0.4715,0.4715,95.4425,85.4425,90,80,91.4068,91,1,562
0.592,0.592,95.0915,86.0915,90,81,91.4068,91,1,562
0.9305,0.9305,93.088,83.088,89,79,91.4068,88,1,562
0.4375,0.4375,97.0505,87.0505,93,83,91.4068,92,1,562
0.0225,0.0225,100.415,91.415,94,85,91.4068,96,1,562
0.257,0.257,100.3765,87.3765,97,84,91.4068,94,1,562
0.4125,0.4125,96.982,86.982,91,81,91.4068,92,1,562
0.536,0.536,94.8525,85.8525,91,82,91.4068,91,1,562
0.649,0.649,94.469,85.469,89,80,91.4068,90,1,562
0.8375,0.8375,93.953,83.953,89,79,91.4068,89,1,562
0.7175,0.7175,95.009,85.009,91,81,91.4068,90,1,562
0.8355,0.8355,93.739,84.739,91,82,91.4068,89,1,562
0.191,0.191,99.0305,89.0305,94,84,91.4068,94,1,562
0.97,0.97,92.2175,82.2175,88,78,91.4068,87,1,562
0.2015,0.2015,99.781,87.781,96,84,91.4068,94,1,562
0.119,0.119,98.6275,88.6275,93,83,91.4068,94,1,562
0.2845,0.2845,98.7085,86.7085,96,84,91.4068,93,1,562
0.7865,0.7865,94.912,82.912,94,82,91.4068,89,1,562
0.7365,0.7365,94.0025,85.0025,90,81,91.4068,90,1,562
0.5785,0.5785,94.934,86.934,91,83,91.4068,91,1,562
0.6105,0.6105,96.237,85.237,92,81,91.4068,91,1,562
0.708,0.708,95.039,84.039,90,79,91.4068,90,1,562
0.375,0.375,96.7715,86.7715,92,82,91.4068,92,1,562
0.878,0.878,93.128,84.128,90,81,91.4068,89,1,562
0.931,0.931,92.429,81.429,88,77,91.4068,87,1,562
0.555,0.555,95.8885,85.8885,91,81,91.4068,91,1,562
0.742,0.742,95.0565,85.0565,88,78,91.4068,90,1,562
0.8865,0.8865,92.4605,82.4605,89,79,91.4068,88,1,562
0.916,0.916,92.7995,82.7995,86,76,91.4068,88,1,562
0.593,0.593,96.0615,86.0615,92,82,91.4068,91,1,562
0.141,0.141,99.5555,88.5555,94,83,91.4068,94,1,562
0.4145,0.4145,97.06,87.06,91,81,91.4068,92,1,562
0.5415,0.5415,95.713,86.713,90,81,91.4068,91,1,562
0.103,0.103,100.029,89.029,95,84,91.4068,95,1,562
0.0015,0.0015,102.511,92.511,96,86,91.4068,98,1,562
0.759,0.759,94.093,85.093,89,80,91.4068,90,1,562
0.7275,0.7275,95.0825,85.0825,91,81,91.4068,90,1,562
0.378,0.378,96.7295,86.7295,91,81,91.4068,92,1,562
0.7105,0.7105,94.8855,84.8855,90,80,91.4068,90,1,562
0.3725,0.3725,97.6375,86.6375,92,81,91.4068,92,1,562
0.497,0.497,96.4775,85.4775,91,80,91.4068,91,1,562
0.2365,0.2365,100.142,87.142,98,85,91.4068,94,1,562
0.463,0.463,97.2885,86.2885,93,82,91.4068,92,1,562
0.6125,0.6125,95.265,86.265,89,80,91.4068,91,1,562
0.338,0.338,97.439,86.439,92,81,91.4068,92,1,562
0.1385,0.1385,98.027,89.027,92,83,91.4068,94,1,562
0.3145,0.3145,97.406,87.406,91,81,91.4068,93,1,562
0.686,0.686,94.8775,84.8775,90,80,91.4068,90,1,562
0.193,0.193,97.4215,88.4215,92,83,91.4068,93,1,562
0.4225,0.4225,97.0565,87.0565,93,83,91.4068,92,1,562
0.6945,0.6945,96.0585,84.0585,93,81,91.4068,90,1,562
0.616,0.616,97.3935,84.3935,95,82,91.4068,91,1,562
0.7425,0.7425,94.0675,85.0675,90,81,91.4068,90,1,562
0.399,0.399,96.8505,85.8505,92,81,91.4068,92,1,562
0.2855,0.2855,98.1175,88.1175,94,84,91.4068,93,1,562
0.539,0.539,95.809,85.809,91,81,91.4068,91,1,562
0.414,0.414,96.942,85.942,91,80,91.4068,92,1,562
0.9495,0.9495,91.602,84.602,88,81,91.4068,88,1,562
0.769,0.769,94.255,85.255,90,81,91.4068,90,1,562
0.394,0.394,96.8015,86.8015,92,82,91.4068,92,1,562
0.833,0.833,93.8325,83.8325,89,79,91.4068,89,1,562
0.1655,0.1655,99.4495,88.4495,95,84,91.4068,94,1,562
0.3145,0.3145,98.1345,88.1345,94,84,91.4068,93,1,562
0.7385,0.7385,95.105,85.105,90,80,91.4068,90,1,562
0.2825,0.2825,97.898,86.898,92,81,91.4068,93,1,562
0.0755,0.0755,99.7805,89.7805,94,84,91.4068,95,1,562
0.1675,0.1675,98.372,89.372,93,84,91.4068,94,1,562
0.8445,0.8445,93.45,82.45,91,80,91.4068,88,1,562
0.3365,0.3365,98.2075,87.2075,94,83,91.4068,93,1,562
0.5265,0.5265,96.7105,85.7105,91,80,91.4068,91,1,562
0.5265,0.5265,95.698,85.698,90,80,91.4068,91,1,562
0.2235,0.2235,97.754,87.754,93,83,91.4068,93,1,562
0.4435,0.4435,96.161,87.161,92,83,91.4068,92,1,562
0.532,0.532,96.756,84.756,92,80,91.4068,91,1,562
0.0755,0.0755,99.105,90.105,94,85,91.4068,95,1,562
0.463,0.463,97.238,86.238,92,81,91.4068,92,1,562
0.244,0.244,97.5875,87.5875,92,82,91.4068,93,1,562
0.2445,0.2445,97.775,87.775,92,82,91.4068,93,1,562
0.3505,0.3505,96.564,86.564,92,82,91.4068,92,1,562
0.3835,0.3835,95.853,87.853,91,83,91.4068,92,1,562
0.617,0.617,95.336,85.336,93,83,91.4068,91,1,562
0.824,0.824,93.529,84.529,89,80,91.4068,89,1,562
0.3645,0.3645,96.7025,86.7025,91,81,91.4068,92,1,562
0.889,0.889,93.1545,84.1545,89,80,91.4068,89,1,562
0.32,0.32,98.327,88.327,92,82,91.4068,93,1,562
0.6045,0.6045,95.1595,86.1595,90,81,91.4068,91,1,562
0.75,0.75,95.166,85.166,91,81,91.4068,90,1,562
0.5555,0.5555,95.9425,85.9425,91,81,91.4068,91,1,562
0.977,0.977,90.7425,80.7425,88,78,91.4068,86,1,562
0.42,0.42,97.9735,85.9735,94,82,91.4068,92,1,562
0.097,0.097,100.7695,88.7695,95,83,91.4068,95,1,562
0.6265,0.6265,96.339,85.339,90,79,91.4068,91,1,562
0.7885,0.7885,94.3455,85.3455,91,82,91.4068,90,1,562
0.644,0.644,94.5,84.5,91,81,91.4068,90,1,562
