lab,yval,ell,colr,yfixed,yoff
0,-80,2,black,-60,-0.15
1.5,-60,2,black,-45,0.5
2,-44.44444444,2,blue,-33.33333333,-0.15
3,0,2,red,0,0.5
sqrt(14),44.44444444,2,blue,33.33333333,-0.15
4,62.22222222,2,black,46.66666667,0.5
4.5,100,2,black,75,-0.15
1 million,3.70E+12,2,black,2.78E+12,0.5
0,-100,1,black,-100,-0.15
1.5,-50,1,black,-50,0.5
2,-33.33333333,1,blue,-33.33333333,-0.15
3,0,1,red,0,0.5
sqrt(14),24.72191289,1,black,24.72191289,-0.15
4,33.33333333,1,blue,33.33333333,0.5
4.5,50,1,black,50,-0.15
6,100,1,black,100,0.5
1 million,33333233.33,1,black,33333233.33,-0.15
1.5,-100,0,black,-56.98370971,0.5
2,-58.49625007,0,blue,-33.33333333,-0.15
3,0,0,red,0,0.5
sqrt(14),31.87149603,0,black,18.16156078,-0.15
4,41.50374993,0,black,23.65037638,0.5
4.5,58.49625007,0,blue,33.33333333,-0.15
6,100,0,black,56.98370971,0.5
1 million,1834.660607,0,black,1045.457674,-0.15
1.5,-100,-1,black,-66.666666,0.5
2,-50,-1,blue,-33.333333,-0.15
3,0,-1,red,0,0.5
sqrt(14),19.82162743,-1,black,13.21441815,-0.15
4,25,-1,black,16.6666665,0.5
4.5,33.33333333,-1,black,22.222222,-0.15
6,50,-1,blue,33.333333,0.5
1 million,99.9997,-1,black,66.666466,-0.15
