Id,Observation Date,Family,Genus,Species,Names of Collectors,Diameter at 1.3m,Max Diameter,Max Diameter POM,Condition Codes,Location Codes,Sampling Period,Comments,Data Level,Sampling Unit Name,Latitude,Longitude,Method,Subplot Number,1ha Plot X Coordinate,1ha Plot Y Coordinate,Tree Number,Site Name,1ha Plot Number,Elevation,Protocol Version,Data Set Creator Institution,Data Set Creator Scientist
442077,4/28/11,Fabaceae,Bauhinia,reflexa,Biancolini Castro,17.9,,,,,2010.01,,Level 0,VL-BCI-1-804639,,,,21,,,804639,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442078,4/28/11,Fabaceae,Machaerium,milleflorum,Roni Saenz,11.1,,,,,2010.01,,Level 0,VL-BCI-1-804640,,,,22,,,804640,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442079,4/28/11,Celastraceae,Prionostemma,asperum,Roni Saenz,11.2,,,,,2010.01,,Level 0,VL-BCI-1-804641,,,,22,,,804641,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442080,4/28/11,Celastraceae,Prionostemma,asperum,Roni Saenz,12.5,,,,,2010.01,,Level 0,VL-BCI-1-804642,,,,22,,,804642,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442085,4/27/11,Fabaceae,Bauhinia,guianensis,Guillermo Aguilar,13,,,,,2010.01,,Level 0,VL-BCI-1-828543,,,,2,,,828543,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442086,4/27/11,Fabaceae,Bauhinia,guianensis,Guillermo Aguilar,13.5,,,,,2010.01,,Level 0,VL-BCI-1-828544,,,,2,,,828544,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442087,4/28/11,Celastraceae,Prionostemma,asperum,Guillermo Aguilar,14.4,,,,,2010.01,,Level 0,VL-BCI-1-828545,,,,24,,,828545,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442088,4/28/11,Dilleniaceae,Doliocarpus,dentatus,Guillermo Aguilar,11.6,,,,,2010.01,,Level 0,VL-BCI-1-828546,,,,24,,,828546,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442089,4/28/11,Combretaceae,Combretum,fruticosum,Guillermo Aguilar,11.5,,,,,2010.01,,Level 0,VL-BCI-1-828547,,,,24,,,828547,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442090,4/29/11,Fabaceae,Bauhinia,reflexa,Guillermo Aguilar,15,,,,,2010.01,,Level 0,VL-BCI-1-828548,,,,12,,,828548,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442093,4/28/11,Fabaceae,Bauhinia,guianensis,Roni Saenz,15.5,,,,,2010.01,,Level 0,VL-BCI-1-839556,,,,4,,,839556,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
442094,4/28/11,Celastraceae,Prionostemma,asperum,Roni Saenz,13.8,,,,,2010.01,,Level 0,VL-BCI-1-839557,,,,5,,,839557,Barro Colorado Nature Monument - Soberania National Park,VG-BCI-1,49.6334228,Vegetation - Trees & Lianas 1.5,Smithsonian Tropical Research Institute,
